N	3gram	Losev_Vesc	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	3	7
3	с точки зрения	6	6
4	во всяком случае	2	6
5	друг с другом	2	5
6	по крайней мере	10	5
7	до сих пор	1	5
8	для того чтобы	2	5
9	более или менее	4	5
10	и вместе с	1	4
11	но все же	2	4
12	о том что	4	4
13	в том что	9	3
14	в конце концов	2	3
15	и таким образом	2	3
16	так же как	2	3
17	в связи с	1	3
18	а так как	2	3
19	тем не менее	11	3
20	так или иначе	5	3
21	и потому что	1	2
22	такое положение дела	1	2
23	то что он	2	2
24	на то что	7	2
25	то ясно что	2	2
26	то или иное	1	2
27	то ни было	12	2
28	есть как бы	3	2
29	этой точки зрения	3	2
30	то же самое	1	2
31	с тех пор	1	2
32	по сравнению с	7	2
33	можно сказать что	3	2
34	бы то ни	12	2
35	в этом отношении	2	2
36	то же время	4	2
37	в то же	5	2
38	с этой точки	3	2
39	но и для	1	2
40	и в этом	2	2
41	может быть и	1	2
42	мы видели что	3	1
43	но совершенно ясно	1	1
44	сами по себе	3	1
45	к нему именно	1	1
46	если подойти к	1	1
47	в первом случае	2	1
48	не потому что	5	1
49	именно потому что	1	1
50	с тем или	1	1
51	есть ли это	1	1
52	в свою очередь	5	1
53	совершенно самостоятельные и	1	1
54	в одном и	2	1
55	и тот же	1	1
56	а не живая	1	1
57	не только не	4	1
58	смысле этого слова	1	1
59	принято во внимание	1	1
60	от нее не	1	1
61	и том же	1	1
62	но в то	1	1
63	что это есть	3	1
64	речь идет о	1	1
65	то не только	3	1
66	мы видим что	2	1
67	есть один из	1	1
68	все что мы	1	1
69	и только в	1	1
70	которым они относятся	1	1
71	не может быть	22	1
72	и в то	3	1
73	так как по	1	1
74	в данном случае	2	1
75	в том или	2	1
76	и все же	1	1
77	не указывает на	3	1
78	из двух или	1	1
79	а потому что	1	1
80	ничем не отличаются	1	1
81	а в том	1	1
82	в одном смысле	1	1
83	не имеет никакого	2	1
84	и в результате	1	1
85	в себе не	1	1
86	одно из двух	1	1
87	и того же	1	1
88	один и тот	1	1
89	не может не	3	1
90	с тем что	1	1
91	и есть то	2	1
92	чтобы она была	1	1
93	и не потому	1	1
94	ясно что и	1	1
95	психологической точки зрения	1	1
96	в самом деле	7	1
97	тех пор как	1	1
98	или по крайней	2	1
99	указывает на то	3	1
100	что эти явления	1	1
101	а следовательно и	2	1
102	на более мелкие	2	1
103	несмотря на все	1	1
104	и что он	1	1
105	только то что	3	1
106	крайней мере в	2	1
107	и что она	2	1
108	с другой стороны	3	1
109	с ними в	1	1
110	можно только в	1	1
111	о том как	4	1
112	на этой точке	1	1
113	не в том	1	1
114	это однако не	1	1
115	одном и том	1	1
116	свидетельствует о том	3	1
117	в то время	4	1
118	но и всякий	1	1
119	и в смысле	2	1
120	только тогда когда	2	1
121	это и есть	4	1
122	что именно надо	1	1
123	к которым они	1	1
124	что и в	1	1
125	станет ясным что	1	1
126	при таких условиях	1	1
127	ни на какие	1	1
128	и сил на	1	1
129	еще и потому	1	1
130	одного и того	1	1
