N	2gram	Savitsky_P	Sovremen
1	не может	4	17
2	может быть	5	12
3	точки зрения	3	12
4	мы не	3	9
5	в каждом	1	8
6	в этом	10	7
7	и в	14	7
8	мы можем	1	6
9	в результате	1	6
10	как и	1	6
11	и не	12	6
12	с точки	3	5
13	в стадии	1	5
14	прежде всего	3	5
15	в условиях	1	5
16	а в	4	4
17	вопрос о	1	4
18	это не	3	4
19	не только	17	4
20	мы должны	4	4
21	в развитии	1	4
22	как бы	4	4
23	если мы	1	4
24	вместе с	1	4
25	в том	9	4
26	из них	2	4
27	и к	4	3
28	и потому	4	3
29	на этой	1	3
30	и мы	2	3
31	уже в	1	3
32	то же	9	3
33	у каждого	1	3
34	не в	5	3
35	а не	2	3
36	для нас	2	3
37	все это	2	3
38	к действию	1	3
39	в наших	1	3
40	было бы	6	3
41	в этой	1	3
42	из двух	1	3
43	на две	1	3
44	в себе	3	3
45	ясно что	1	3
46	одна из	2	3
47	все же	1	3
48	в области	11	3
49	может не	1	3
50	отнюдь не	2	3
51	в нем	3	3
52	но в	9	3
53	еще не	1	3
54	с этим	2	2
55	что в	4	2
56	этих двух	1	2
57	в самом	1	2
58	мы видим	1	2
59	и что	1	2
60	отличие от	1	2
61	друг с	1	2
62	и пр	5	2
63	с одной	3	2
64	в отличие	1	2
65	из этих	1	2
66	в его	2	2
67	во всяком	1	2
68	не будем	2	2
69	мы знаем	1	2
70	в которую	2	2
71	еще более	2	2
72	что это	1	2
73	что при	1	2
74	только один	1	2
75	говорить о	2	2
76	в живом	1	2
77	в виде	2	2
78	как известно	1	2
79	в которой	1	2
80	к чему	2	2
81	тот или	1	2
82	настоящее время	1	2
83	она может	1	2
84	развития в	1	2
85	тем же	1	2
86	могут быть	3	2
87	и есть	2	2
88	что все	1	2
89	или иной	1	2
90	и именно	1	2
91	говорить об	1	2
92	не менее	2	2
93	и по	1	2
94	в и	1	2
95	с другом	1	2
96	в настоящее	1	2
97	знаем что	1	2
98	тот же	3	2
99	всяком случае	1	2
100	во всех	2	1
101	к началу	2	1
102	и некоторой	1	1
103	поскольку она	1	1
104	с двух	1	1
105	но как	1	1
106	в данном	1	1
107	не хотим	1	1
108	только к	1	1
109	и более	1	1
110	осуществляется в	2	1
111	по преимуществу	1	1
112	которой расположены	1	1
113	если в	2	1
114	должно быть	2	1
115	с и	1	1
116	в о	7	1
117	происходящего в	1	1
118	она не	1	1
119	что уже	1	1
120	единства в	1	1
121	одной стороны	3	1
122	она всегда	1	1
123	в древней	1	1
124	почва под	1	1
125	в ней	6	1
126	из всех	1	1
127	мира но	1	1
128	что эта	1	1
129	хотя и	3	1
130	с другой	5	1
131	под ногами	1	1
132	подчеркнуть что	1	1
133	выработанные в	1	1
134	два основных	1	1
135	какой бы	1	1
136	что с	1	1
137	те же	1	1
138	что дело	1	1
139	а затем	1	1
140	и вся	1	1
141	только на	1	1
142	и всегда	1	1
143	всего мы	1	1
144	науке и	1	1
145	xix в	1	1
146	и критика	1	1
147	и при	1	1
148	в известном	1	1
149	для них	2	1
150	xix века	6	1
151	в начале	2	1
152	еще в	1	1
153	мире можно	1	1
154	более как	1	1
155	стороны и	2	1
156	весь мир	1	1
157	и само	1	1
158	только в	7	1
159	различия между	1	1
160	же время	7	1
161	в ином	1	1
162	так же	1	1
163	его в	1	1
164	в большинстве	1	1
165	пример такого	1	1
166	не было	2	1
167	два направления	1	1
168	с его	1	1
169	и первое	1	1
170	не более	1	1
171	если бы	4	1
172	заключает в	2	1
173	можно говорить	1	1
174	xviii и	1	1
175	промежуток времени	1	1
176	и еще	1	1
177	что его	1	1
178	может ли	2	1
179	в эту	2	1
180	для каждого	1	1
181	известном смысле	1	1
182	сами по	3	1
183	же как	1	1
184	но для	1	1
185	когда и	1	1
186	xviii века	1	1
187	именно в	2	1
188	в своем	4	1
189	этом смысле	1	1
190	может оказаться	1	1
191	в какой	1	1
192	работы в	1	1
193	во всей	2	1
194	его строить	1	1
195	же в	4	1
196	том что	4	1
197	в мире	2	1
198	всеми его	1	1
199	но не	3	1
200	дело идет	1	1
201	бы эти	1	1
202	они не	1	1
203	по себе	4	1
204	не имеет	1	1
205	в природе	1	1
206	бы ее	1	1
207	там где	1	1
208	в то	7	1
209	и только	1	1
210	этой области	1	1
211	когда в	1	1
212	с ее	1	1
213	и это	2	1
214	и если	4	1
215	должен быть	1	1
216	и особенно	1	1
217	есть не	2	1
218	образом на	2	1
219	которая и	1	1
220	никогда не	1	1
