N	2gram	Vinokur_Ku	Vladivir
1	вл соловьева	1	559
2	и в	44	116
3	то что	14	71
4	и не	23	67
5	в году	3	65
6	у него	3	65
7	не только	29	65
8	в этом	31	53
9	в том	47	52
10	том что	30	51
11	что в	25	48
12	но и	13	47
13	в конце	5	41
14	в его	16	40
15	и с	11	39
16	и даже	5	36
17	сказать что	5	36
18	также и	7	36
19	учение о	4	35
20	так что	5	35
21	же с	1	34
22	потому что	40	33
23	что он	7	32
24	еще и	7	32
25	не может	13	31
26	о том	10	30
27	только в	15	30
28	как мы	2	29
29	никогда не	2	29
30	для него	2	29
31	вовсе не	18	27
32	а в	7	27
33	не было	6	26
34	соловьева к	1	26
35	в себе	4	25
36	но в	11	25
37	в то	4	25
38	и то	7	25
39	и его	8	25
40	а также	3	24
41	даже и	5	24
42	точки зрения	25	23
43	между прочим	4	23
44	он не	4	23
45	может быть	25	23
46	что же	11	23
47	кроме того	2	22
48	он был	1	22
49	ни в	3	22
50	так как	16	22
51	в виде	1	22
52	об этом	4	22
53	в своей	4	21
54	вместе с	8	21
55	а именно	4	20
56	и что	11	20
57	в своем	4	20
58	для нас	6	20
59	прежде всего	14	20
60	не менее	12	19
61	в дальнейшем	1	19
62	и вообще	1	19
63	по поводу	2	19
64	как раз	10	19
65	тем не	10	19
66	таким образом	17	19
67	так и	10	19
68	и потому	6	19
69	как и	3	18
70	не мог	2	18
71	не в	18	18
72	не был	2	18
73	хотя и	7	18
74	как это	6	18
75	с его	4	18
76	в письме	1	17
77	то это	3	17
78	что и	5	17
79	в этой	8	17
80	едва ли	1	17
81	и если	4	17
82	а не	17	17
83	у нас	19	17
84	все же	17	16
85	уже не	13	16
86	к тому	8	16
87	не есть	4	16
88	совсем не	1	16
89	для себя	1	16
90	и все	4	16
91	было бы	28	16
92	того что	11	16
93	в котором	4	16
94	и к	1	15
95	то же	12	15
96	в своих	2	15
97	к этому	4	15
98	в эти	1	15
99	несмотря на	6	15
100	в связи	4	15
101	письме к	2	15
102	иной раз	2	15
103	разного рода	1	15
104	до конца	3	15
105	но это	4	15
106	это было	2	15
107	того же	6	14
108	все эти	17	14
109	раз и	1	14
110	же касается	4	14
111	мы уже	1	14
112	в москве	2	14
113	и на	8	14
114	с а	1	14
115	уже в	5	14
116	и как	3	14
117	во всем	1	13
118	в результате	8	13
119	с тем	5	13
120	можно сказать	6	13
121	так же	8	13
122	не просто	7	13
123	на этот	4	13
124	и от	2	13
125	что это	11	13
126	да и	5	13
127	дело в	2	13
128	жизни и	1	13
129	по себе	10	12
130	только на	1	12
131	некоторого рода	1	12
132	и это	3	12
133	и у	3	12
134	и по	4	12
135	в нем	7	12
136	если не	4	12
137	всяком случае	8	12
138	ничего не	6	12
139	во всяком	8	12
140	есть только	1	12
141	связи с	8	12
142	учения о	1	12
143	при этом	6	11
144	но что	3	11
145	более или	3	11
146	т i	1	11
147	всякого рода	2	11
148	в данном	8	11
149	хотя бы	19	11
150	тому же	2	11
151	в которой	7	11
152	я не	5	11
153	на то	6	11
154	он уже	1	11
155	и здесь	8	11
156	в основном	1	11
157	никак не	5	11
158	в отношении	2	11
159	это есть	2	11
160	п д	1	11
161	все это	10	11
162	то он	1	11
163	или менее	3	11
164	мы должны	2	11
165	не очень	1	11
166	и о	3	11
167	конце концов	3	11
168	в самом	20	10
169	даже в	4	10
170	вот что	1	10
171	что все	6	10
172	такого рода	1	10
173	с точки	16	10
174	в качестве	12	10
175	что его	2	10
176	можно было	14	10
177	что для	3	10
178	отнюдь не	5	10
179	к нему	1	10
180	с ним	5	10
181	в россии	1	10
182	еще не	10	10
183	собственно говоря	1	10
184	в истории	3	10
185	здесь не	5	10
186	он и	1	10
187	о нем	2	10
188	в ней	6	10
189	но не	11	10
190	о чем	2	9
191	и сам	1	9
192	именно в	7	9
193	с этим	6	9
194	смысле слова	3	9
195	с другой	14	9
196	мы знаем	3	9
197	и притом	1	9
198	но он	2	9
199	а только	10	9
200	но как	2	9
201	а с	3	9
202	не будет	1	9
203	этом смысле	8	9
204	мы будем	1	9
205	в начале	1	9
206	это время	1	9
207	отношения к	2	9
208	своей жизни	1	9
209	что мы	6	9
210	что если	4	9
211	для меня	1	9
212	в университете	1	9
213	это не	13	9
214	же время	4	9
215	по существу	9	9
216	этот раз	1	9
217	что касается	4	9
218	в целом	5	9
219	с этой	4	8
220	это значит	1	8
221	не столько	2	8
222	в этих	5	8
223	тем что	9	8
224	в это	3	8
225	можно считать	2	8
226	конечно не	3	8
227	себя в	1	8
228	и он	4	8
229	это мы	1	8
230	в смысле	2	8
231	в чем	2	8
232	значит что	1	8
233	как в	6	8
234	со стороны	8	8
235	свое время	4	8
236	должно быть	6	8
237	после смерти	1	8
238	как бы	11	8
239	и для	3	8
240	тот же	7	8
241	xix века	5	8
242	только и	3	8
243	когда он	4	8
244	из этих	5	8
245	отношение к	2	8
246	мы и	1	7
247	к этой	3	7
248	в одном	4	7
249	в них	10	7
250	но все	5	7
251	а а	4	7
252	на первый	1	7
253	что этот	2	7
254	но даже	3	7
255	точно так	4	7
256	в нашем	8	7
257	и мы	2	7
258	себе и	3	7
259	м и	1	7
260	даже не	1	7
261	о его	1	7
262	был в	2	7
263	и есть	3	7
264	который был	1	7
265	мы видели	3	7
266	здесь мы	2	7
267	если бы	21	7
268	но вот	3	7
269	к его	1	7
270	не имеет	6	7
271	в каком	6	7
272	ничего общего	2	7
273	бы и	6	7
274	и вот	4	7
275	того чтобы	25	7
276	из его	1	7
277	но если	2	7
