N	2gram	Losev_Vlad	Freidism
1	таким образом	6	34
2	и не	33	34
3	точки зрения	4	31
4	не может	12	30
5	и пр	1	29
6	в этом	30	28
7	может быть	12	28
8	и в	56	28
9	прежде всего	5	26
10	в его	18	25
11	и его	12	22
12	с помощью	1	20
13	мы можем	1	20
14	как бы	5	19
15	как мы	17	18
16	то что	30	17
17	к отцу	1	16
18	вовсе не	8	16
19	точка зрения	1	15
20	все эти	6	15
21	так как	11	15
22	с ним	10	14
23	в своей	7	14
24	так и	11	14
25	самом деле	1	14
26	в душе	1	13
27	и все	8	13
28	как и	7	13
29	по отношению	1	13
30	но в	19	13
31	во всех	4	13
32	в самом	3	12
33	то же	10	12
34	ни в	4	12
35	что он	22	12
36	том что	22	12
37	для него	16	12
38	все это	7	12
39	и потому	8	12
40	и наконец	2	12
41	мы видели	1	12
42	только в	11	11
43	мы знаем	5	11
44	сказать что	14	11
45	его в	3	11
46	все что	2	10
47	один из	4	10
48	не только	35	10
49	и с	27	10
50	но и	26	10
51	конечно не	5	10
52	что же	11	10
53	тот же	7	10
54	никогда не	15	10
55	в том	26	10
56	мы уже	8	10
57	он не	13	10
58	за пределы	3	10
59	не в	12	10
60	и на	7	9
61	те же	2	9
62	уже не	6	9
63	во всяком	8	9
64	совершенно не	2	9
65	мы не	2	9
66	с его	15	9
67	к этому	11	9
68	к нему	6	9
69	в чем	4	9
70	а не	5	9
71	мы должны	3	9
72	и др	1	9
73	при этом	5	8
74	все же	11	8
75	еще не	2	8
76	с этим	3	8
77	было бы	7	8
78	и вот	5	8
79	знаем что	2	8
80	а в	20	8
81	по мнению	1	8
82	с другими	1	8
83	на этом	3	8
84	в ней	5	8
85	всяком случае	8	8
86	что в	24	7
87	и к	10	7
88	не могут	2	7
89	связь с	1	7
90	в жизни	4	7
91	роль в	1	7
92	так сказать	2	7
93	с сознанием	1	7
94	его жизни	12	7
95	хотя бы	5	7
96	в каком	3	7
97	до конца	8	7
98	что все	2	7
99	и для	4	7
100	из них	3	7
101	на протяжении	1	7
102	того что	6	7
103	но не	5	7
104	я и	2	7
105	об этом	13	7
106	и у	4	7
107	с самого	1	7
108	в нем	7	7
109	быть и	1	7
110	в этой	4	7
111	отношение к	7	7
112	в себе	5	7
113	жизни и	8	7
114	и прежде	1	7
115	в то	15	7
116	учение о	2	6
117	одно из	1	6
118	если он	1	6
119	не менее	9	6
120	но мы	3	6
121	к тому	5	6
122	можно сказать	10	6
