N	4gram	Berdyaev_V	Otkroven
1	в легенде о великом	1	3
2	легенде о великом инквизиторе	1	3
3	легенда о великом инквизиторе	2	2
4	душа что не в	1	1
5	малосильны порочны ничтожны и	1	1
6	человеческого общества невыносимее свободы	1	1
7	не чудесной жаждал свободной	1	1
8	но вспомни что их	1	1
9	что есть необычайного гадательного	3	1
10	чудом и жаждал свободной	1	1
11	порочны ничтожны и бунтовщики	1	1
12	а с ним вот	1	1
13	гордостью указать на этих	1	1
14	великих и сильных? нет	2	1
15	их веры тебе была	1	1
16	мучениями душевное царство человека	1	1
17	чтобы овладеть свободой людей	1	1
18	ее мучениями душевное царство	1	1
19	человека чтобы свободно пошел	1	1
20	в глазах слабого вечно	1	1
21	он за тобою прельщенный	1	1
22	которого боятся они и	1	1
23	любви человека чтобы свободно	1	1
24	человек был устроен бунтовщиком	1	1
25	вместо того чтобы овладеть	2	1
26	страшных даров? да неужто	1	1
27	остальные? и чем виноваты	1	1
28	и вечно неблагородного людского	1	1
29	как бы и не	2	1
30	христа в аристократизме в	1	1
31	душевное царство человека вовеки	1	1
32	вспомни что их было	1	1
33	тогда полторы тысячи лет	1	1
34	навсегда его ужаснувшим но	1	1
35	свободной любви человека чтобы	1	1
36	твое но вспомни что	1	1
37	ушел от гордых и	1	1
38	не сошел с креста	1	1
39	потому что опять-таки не	1	1
40	свободной и великолепной жертвы	1	1
41	мир и идешь с	1	1
42	но может ли он	1	1
43	и своим что наконец-то	1	1
44	свободой ты умножил ее	1	1
45	могут и осмыслить которого	1	1
46	несколько тысяч да и	1	1
47	вдоволь для всякого вместе	1	1
48	ты судил о людях	1	1
49	может ли он сравниться	1	1
50	необычайного гадательного и неопределенного	2	1
51	было не по силам	1	1
52	о людях слишком высоко	1	1
53	ставит в заслугу себе	1	1
54	сильных? нет нам дороги	2	1
55	и страшатся ибо ничего	1	1
56	ты умножил ее и	1	1
57	десятки тысяч великих и	2	1
58	детей свободы свободной любви	1	1
59	от гордых и воротился	1	1
60	что малосильны порочны ничтожны	1	1
61	а не чудесной жаждал	1	1
62	столь страшных даров? да	1	1
63	что не в силах	1	1
64	идти в мир и	1	1
65	идешь с голыми руками	1	1
66	не могли вытерпеть того	1	1
67	силах вместить столь страшных	1	1
68	их было всего только	1	1
69	но и тут ты	1	1
70	чем виновата слабая душа	1	1
71	свободы свободной любви свободной	1	1
72	лишь десятки тысяч великих	2	1
73	небесный но может ли	1	1
74	я ушел от гордых	1	1
75	им ее еще больше	1	1
76	заслугу себе и своим	1	1
77	ты лишь к избранным	1	1
78	впрямь приходил ты лишь	1	1
79	свободно пошел он за	1	1
80	своем не могут и	1	1
81	свобода их веры тебе	1	1
82	и не любя их	1	1
83	ты можешь с гордостью	1	1
84	жаждал свободной любви а	1	1
85	так часто тогда говорил	1	1
86	ли он сравниться в	1	1
87	любви а не рабских	1	1
88	веры а не чудесной	1	1
89	мы не с тобой	1	1
90	порочного и вечно неблагородного	1	1
91	они и страшатся ибо	1	1
92	взял все что есть	1	1
93	всего еще тогда полторы	1	1
94	лет назад не ты	1	1
95	потому поступил как бы	1	1
96	поработить человека чудом и	1	1
97	с каким-то обетом свободы	1	1
98	вместить столь страшных даров?	1	1
99	дороже всего еще тогда	1	1
100	руками с каким-то обетом	1	1
101	страшатся ибо ничего и	1	1
102	судил о людях слишком	1	1
103	все что есть необычайного	3	1
104	лишь к избранным и	1	1
105	себе и своим что	1	1
106	разве бунтовщики могут быть	1	1
107	слабые люди что не	1	1
108	была дороже всего еще	1	1
109	чудесной жаждал свободной любви	1	1
110	сделали так для того	1	1
111	овладеть свободой людей ты	1	1
112	а потому поступил как	1	1
113	увеличил им ее еще	1	1
114	ибо конечно они невольники	1	1
115	и жаждал свободной веры	1	1
116	слишком высоко ибо конечно	1	1
117	что было не по	1	1
118	бунтовщиком разве бунтовщики могут	1	1
119	высоко ибо конечно они	1	1
120	по силам людей а	1	1
121	единственный путь которым можно	1	1
122	можешь с гордостью указать	1	1
123	во имя твое но	1	1
124	еще тогда полторы тысячи	1	1
125	было всего только несколько	1	1
126	великолепной жертвы их во	1	1
127	неблагородного людского племени с	1	1
128	свободной веры а не	1	1
129	умножил ее и обременил	1	1
130	для человека и для	1	1
131	жаждал свободной веры а	1	1
132	могли вытерпеть того что	1	1
133	человека и для человеческого	1	1
134	путь которым можно было	2	1
135	их во имя твое	1	1
136	хочешь идти в мир	1	1
137	кто знает может быть	1	1
138	ты увеличил им ее	1	1
139	ничего и никогда не	1	1
140	веры тебе была дороже	1	1
141	и идешь с голыми	1	1
142	ты ли так часто	1	1
143	и сделали так для	1	1
144	нам дороги и слабые	1	1
145	избранным и для избранных?	1	1
146	чем виноваты остальные слабые	1	1
147	с тобой а с	1	1
148	ты хочешь идти в	1	1
149	слабого вечно порочного и	1	1
150	в силах вместить столь	1	1
151	а остальные? и чем	1	1
152	тобой а с ним	1	1
153	не по силам людей	1	1
154	жертвы их во имя	1	1
155	не было для человека	1	1
156	слабая душа что не	1	1
157	не рабских восторгов невольника	1	1
158	того чтобы овладеть свободой	1	1
159	был устроен бунтовщиком разве	1	1
160	тобою прельщенный и плененный	1	1
161	голыми руками с каким-то	1	1
162	что их было всего	1	1
163	устроен бунтовщиком разве бунтовщики	1	1
164	только несколько тысяч да	1	1
165	и впрямь приходил ты	1	1
166	что опять-таки не захотел	1	1
167	боятся они и страшатся	1	1
168	и тут ты судил	1	1
169	всего только несколько тысяч	1	1
170	свободной любви а не	1	1
171	в простоте своей и	1	1
172	бы и не любя	2	1
173	тысячи лет назад не	1	1
174	с ним вот наша	1	1
175	ли так часто тогда	1	1
176	ужаснувшим но и тут	1	1
177	своим что наконец-то они	1	1
178	что не могли вытерпеть	1	1
179	свобода и хлеб земной	1	1
180	и то богов а	1	1
181	дороги лишь десятки тысяч	2	1
182	и никогда не было	1	1
183	или тебе дороги лишь	1	1
184	людей а потому поступил	1	1
185	не в силах вместить	1	1
186	что не могут быть	1	1
187	поступил как бы и	2	1
188	ним вот наша тайна	1	1
189	в заслугу себе и	1	1
190	не могут быть никогда	1	1
191	осмыслить которого боятся они	1	1
192	и осмыслить которого боятся	1	1
193	чтобы свободно пошел он	1	1
194	полторы тысячи лет назад	1	1
195	остальные слабые люди что	1	1
196	людей ты увеличил им	1	1
197	того что могучие? чем	1	1
198	возжелал свободной любви человека	1	1
199	и обременил ее мучениями	1	1
200	и великолепной жертвы их	1	1
201	а не рабских восторгов	1	1
202	ибо ничего и никогда	1	1
203	не могут и осмыслить	1	1
204	указать на этих детей	1	1
205	захотел поработить человека чудом	1	1
206	бесчинстве своем не могут	1	1
207	да неужто же и	1	1
208	в мир и идешь	1	1
209	хлеб земной вдоволь для	1	1
210	и чем виноваты остальные	1	1
211	с гордостью указать на	1	1
212	ты не сошел с	1	1
213	с голыми руками с	1	1
214	ее и обременил ее	1	1
215	отверг единственный путь которым	1	1
216	обременил ее мучениями душевное	1	1
217	назад не ты ли	1	1
218	на этих детей свободы	1	1
219	все что было не	1	1
220	земной вдоволь для всякого	1	1
221	нет нам дороги и	2	1
222	он сравниться в глазах	1	1
223	что могучие? чем виновата	1	1
224	за тобою прельщенный и	1	1
225	да и то богов	1	1
226	любви свободной и великолепной	1	1
227	потому что малосильны порочны	1	1
228	опять-таки не захотел поработить	1	1
229	же и впрямь приходил	1	1
230	и сильных? нет нам	2	1
231	обетом свободы которого они	1	1
232	есть необычайного гадательного и	3	1
233	не захотел поработить человека	1	1
234	неужто же и впрямь	1	1
235	то богов а остальные?	1	1
236	тысяч да и то	1	1
237	свободы которого они в	1	1
238	каким-то обетом свободы которого	1	1
239	глазах слабого вечно порочного	1	1
240	тебе дороги лишь десятки	2	1
241	свободой людей ты увеличил	1	1
242	тут ты судил о	1	1
243	они в простоте своей	1	1
244	пошел он за тобою	1	1
245	бунтовщики могут быть счастливыми?	1	1
246	могут быть никогда и	1	1
247	вечно неблагородного людского племени	1	1
248	даров? да неужто же	1	1
249	вытерпеть того что могучие?	1	1
250	никогда не было для	1	1
251	имя твое но вспомни	1	1
252	могучие? чем виновата слабая	1	1
253	виноваты остальные слабые люди	1	1
254	люди что не могли	1	1
255	приходил ты лишь к	1	1
256	было для человека и	1	1
257	этих детей свободы свободной	1	1
258	человека чудом и жаждал	1	1
259	вечно порочного и вечно	1	1
260	сравниться в глазах слабого	1	1
261	свободной любви свободной и	1	1
262	богов а остальные? и	1	1
263	которого они в простоте	1	1
264	гордых и воротился к	1	1
265	не с тобой а	1	1
266	силам людей а потому	1	1
267	его ужаснувшим но и	1	1
268	и хлеб земной вдоволь	1	1
269	для человеческого общества невыносимее	1	1
270	к избранным и для	1	1
271	и для человеческого общества	1	1
272	людях слишком высоко ибо	1	1
273	тебе была дороже всего	1	1
274	виновата слабая душа что	1	1
275	не ты ли так	1	1
