N	3gram	Vygotskiy_	NovoeSre
1	в высшей степени	1	6
2	не может быть	4	4
3	подобно тому как	1	3
4	в средние века	1	3
5	вопрос о том	3	2
6	в том и	3	2
7	ни одна из	2	2
8	том и заключается	3	2
9	вместе с тем	4	2
10	равно как и	2	2
11	так же как	3	2
12	в нем нет	3	2
13	и заключается что	2	2
14	в этом смысле	3	2
15	что в нем	3	2
16	когда мы говорим	1	2
17	с одной стороны	15	2
18	с другой стороны	8	2
19	быть не может	1	1
20	сами по себе	2	1
21	в том что	30	1
22	не в том	1	1
23	хотим сказать что	1	1
24	в том случае	1	1
25	в употреблении слов	1	1
26	до сих пор	9	1
27	он не хочет	1	1
28	как будто бы	1	1
29	того чтобы разобраться	1	1
30	могут быть отнесены	1	1
31	в зависимости от	7	1
32	как я уже	1	1
33	можно было бы	4	1
34	то что он	5	1
35	жизни для этого	1	1
36	том смысле в	1	1
37	мы должны перейти	1	1
38	говорит что в	1	1
39	только потому что	1	1
40	не только в	5	1
41	чтобы разобраться в	1	1
42	бы сказать что	2	1
43	в том чтобы	6	1
44	но все время	2	1
45	в том смысле	1	1
46	в отличие от	3	1
47	но она не	1	1
48	человека в самом	1	1
49	всей нашей жизни	1	1
50	о том что	15	1
51	же как и	1	1
52	что в этом	6	1
53	и того же	2	1
54	не могут быть	1	1
55	потому что не	1	1
56	заключает в себе	6	1
57	быть отнесены к	1	1
58	а не в	1	1
59	то что в	4	1
60	и не в	1	1
61	во всяком случае	1	1
62	и во всех	1	1
63	других людей и	1	1
64	никогда не могла	1	1
65	еще не было	1	1
66	в своем развитии	1	1
67	никогда еще не	1	1
68	для того и	1	1
69	и для того	1	1
70	в то время	4	1
71	это и есть	1	1
72	то время как	4	1
73	о том чтобы	1	1
74	я уже говорил	1	1
75	ни в чем	1	1
76	не хотим сказать	1	1
77	одного и того	2	1
78	может быть только	1	1
