N	2gram	Medvedev_I	VelikijI
1	и не	2	20
2	и в	1	16
3	того что	1	5
4	все это	1	5
5	в этом	2	4
6	так и	1	4
7	говорить о	1	4
8	что в	2	3
9	в них	1	3
10	от этого	1	3
11	жизни и	1	3
12	все эти	1	3
13	никогда не	1	3
14	самого себя	2	2
15	более чем	1	2
16	не так	1	2
17	того чтобы	1	2
18	для него	1	2
19	а с	1	2
20	а в	1	2
21	и сам	1	2
22	тем что	1	2
23	к нам	1	2
24	его личности	1	1
25	было не	1	1
26	имя отца	1	1
27	на котором	1	1
28	в руки	1	1
29	ненависть к	1	1
30	для того	1	1
31	ушел от	1	1
32	другой стороны	1	1
33	я не	1	1
34	с другой	1	1
35	и с	3	1
36	то и	1	1
37	бы все	1	1
38	ничего не	2	1
39	и очень	1	1
40	человеке и	1	1
41	не случайно	1	1
42	в целом	1	1
43	бы в	1	1
