N	2gram	Savitsky_P	Tragedij
1	и в	14	18
2	в этом	10	9
3	не только	17	8
4	и на	1	7
5	и не	12	7
6	может быть	5	7
7	и с	2	7
8	как бы	4	7
9	же время	7	6
10	но в	9	6
11	это не	3	5
12	что это	1	5
13	к жизни	1	5
14	все же	1	5
15	то же	9	5
16	как и	1	5
17	не может	4	5
18	в то	7	5
19	а я	5	5
20	что в	4	4
21	в себе	3	4
22	все это	2	4
23	прежде всего	3	4
24	еще не	1	4
25	но и	6	4
26	том что	4	4
27	и что	1	4
28	так же	1	4
29	то что	4	4
30	в этой	1	4
31	в нем	3	4
32	что с	1	3
33	должно быть	2	3
34	в основном	1	3
35	уже в	1	3
36	в его	2	3
37	в своем	4	3
38	iii в	2	3
39	и как	3	3
40	в мире	2	3
41	тем самым	3	3
42	с ее	1	3
43	отнюдь не	2	3
44	в самом	1	2
45	и то	1	2
46	в душе	1	2
47	xix веке	2	2
48	и здесь	1	2
49	в том	9	2
50	с тем	3	2
51	в ее	2	2
52	что и	1	2
53	бы и	1	2
54	в русском	2	2
55	что все	1	2
56	в виде	2	2
57	его в	1	2
58	не в	5	2
59	было в	2	2
60	еще в	1	2
61	вопрос о	1	2
62	и это	2	2
63	не имеет	1	2
64	и я	1	2
65	в данном	1	2
66	только к	1	2
67	отличие от	1	2
68	она должна	1	2
69	он был	1	2
70	потому что	3	2
71	и дети	2	2
72	в частности	2	2
73	в это	1	2
74	в отличие	1	2
75	в ходе	1	2
76	столь же	3	2
77	русской литературы	1	2
78	одна из	2	2
79	с его	1	2
80	не просто	1	2
81	и ее	1	2
82	никогда не	1	2
83	друг друга	1	2
84	от нее	1	1
85	могут быть	3	1
86	к сожалению	1	1
87	мы видим	1	1
88	что оно	1	1
89	по природе	1	1
90	на путях	4	1
91	иногда значит	1	1
92	только что	1	1
93	также что	1	1
94	к этой	1	1
95	если он	1	1
96	и который	1	1
97	с одной	3	1
98	и вот	2	1
99	должна быть	1	1
100	что уже	1	1
101	из авторов	1	1
102	и при	1	1
103	она всегда	1	1
104	в применении	1	1
105	начала и	2	1
106	что эта	1	1
107	отдельные черты	1	1
108	т е	3	1
109	подчеркнуть что	1	1
110	вот как	1	1
111	что при	1	1
112	того что	2	1
113	– но	1	1
114	в недрах	2	1
115	не как	1	1
116	а затем	1	1
117	для нас	2	1
118	где он	1	1
119	по-видимому не	2	1
120	и всегда	1	1
121	из предшествующего	1	1
122	и достоевский	1	1
123	одно из	1	1
124	на общество	1	1
125	xix века	6	1
126	в результате	1	1
127	есть с	1	1
128	иными словами	1	1
129	быть может	6	1
130	это значит?	1	1
131	с собой	1	1
132	и теперь	1	1
133	только в	7	1
134	не столько	2	1
135	по себе	4	1
136	от социализма	1	1
137	вопрос об	1	1
138	и притом	1	1
139	не было	2	1
140	в борьбе	1	1
141	а также	4	1
142	начала в	1	1
143	в россии	3	1
144	заключается в	3	1
145	на нее	1	1
146	и судьбы	1	1
147	мысль о	2	1
148	капитализма в	1	1
149	на себя	1	1
150	что не	1	1
151	нигилизма в	1	1
152	развития в	1	1
153	в эпоху	1	1
154	не есть	1	1
155	xviii века	1	1
156	именно в	2	1
157	ведет к	1	1
158	и пусть	2	1
159	я и	3	1
160	эти черты	1	1
161	из тех	1	1
162	с ними	3	1
163	есть в	2	1
164	вместе с	1	1
165	стремление к	1	1
166	не менее	2	1
167	и т	3	1
168	русской интеллигенции	1	1
169	к россии	1	1
170	полноте и	1	1
171	и жизнь	1	1
172	века в	1	1
173	с чертами	1	1
174	в иной	1	1
175	ними как	1	1
176	сравнению с	1	1
177	когда в	1	1
178	xix век	2	1
179	в момент	1	1
180	у в	1	1
181	смысл этого	1	1
182	злого начала	1	1
183	времени так	1	1
184	в них	2	1
185	во всех	2	1
186	говорится о	1	1
187	во всяком	1	1
188	и потому	4	1
189	тем чем	1	1
190	но как	1	1
191	более чем	2	1
192	за то	1	1
193	в котором	4	1
194	и первое	1	1
195	восходит к	1	1
196	применении к	1	1
197	на свои	1	1
198	на милость	1	1
199	хотя бы	8	1
200	она не	1	1
201	и великого	1	1
202	того чтобы	1	1
203	и если	4	1
204	власть и	1	1
205	но не	3	1
206	ощущение что	1	1
207	этом мире	1	1
208	между тем	3	1
209	представляет собой	1	1
210	и должна	1	1
211	в ней	6	1
212	в отношениях	1	1
213	в условиях	1	1
214	в развитии	1	1
215	в которой	1	1
216	именно на	1	1
217	только один	1	1
218	об отношении	1	1
219	а не	2	1
220	только на	1	1
221	есть и	1	1
222	не могла	1	1
223	связь между	1	1
224	к смерти	1	1
225	тем и	1	1
226	в xix	2	1
227	не вполне	1	1
228	в истории	1	1
229	человека с	1	1
230	самые страшные	1	1
231	над ним	1	1
232	литературы и	1	1
233	всего что	1	1
234	того кто	1	1
235	россии эта	1	1
236	к ним	1	1
237	и еще	1	1
238	и любви	1	1
239	может ли	2	1
240	и особенно	1	1
241	на две	1	1
242	и о	5	1
243	наряду с	3	1
244	ответа на	1	1
245	по сравнению	2	1
246	какой она	1	1
247	и политических	1	1
248	во времена	1	1
249	и поныне	1	1
250	и есть	2	1
251	с которым	1	1
252	входят в	1	1
253	мы отнюдь	1	1
254	в общем	2	1
255	пришел в	1	1
256	например в	2	1
257	первый вариант	1	1
258	что именно	1	1
259	без которой	1	1
260	в сфере	2	1
261	в области	11	1
262	и по	1	1
263	как никогда	2	1
264	это в	1	1
265	в и	1	1
266	всяком случае	1	1
267	распадается на	1	1
268	опирающаяся на	1	1
269	с того	1	1
270	государства но	1	1
271	не к	2	1
272	обратиться к	1	1
