N	2gram	Medvedev_V	Dialekti
1	и не	1	120
2	и в	2	77
3	так как	1	46
4	потому что	1	45
5	в том	2	40
6	в этом	1	39
7	то же	1	39
8	том что	2	37
9	ясно что	1	31
10	все это	1	31
11	крайней мере	1	26
12	по крайней	1	26
13	и то	1	25
14	но это	1	24
15	я не	1	22
16	только в	1	20
17	в самом	1	19
18	как же	1	19
19	и его	1	19
20	хотя бы	1	18
21	одно и	1	16
22	да и	1	16
23	самом деле	1	15
24	и только	1	14
25	именно в	1	12
26	даже не	1	12
27	тем более	1	12
28	в их	1	10
29	в частности	1	10
30	имеется в	1	9
31	чего не	1	8
32	все время	1	8
33	в конце	2	7
34	а только	1	7
35	без знания	1	7
36	в другом	1	6
37	ни к	1	6
38	по существу	1	6
39	и почти	1	6
40	к этому	1	5
41	гораздо более	1	5
42	то я	1	5
43	ведь это	1	5
44	говоря о	1	5
45	конце концов	2	5
46	к чему	1	4
47	главным образом	1	4
48	но разве	1	3
49	и мало	1	3
50	совершенно ясно	1	3
51	чем больше	1	3
52	в которых	1	3
53	и сводится	1	3
54	так в	1	3
55	далеко не	1	3
56	это далеко	1	2
57	эпоха не	1	2
58	хочу сказать	1	2
59	образы которые	1	2
60	ничуть не	1	2
61	все то	1	2
62	бы уже	1	2
63	и заключается	1	2
64	дело в	1	2
65	на одном	1	2
66	то чего	1	2
67	что имеется	1	2
68	ибо никакой	1	1
69	своим словесным	1	1
70	все дело	1	1
71	о теории	1	1
72	другое дело	1	1
73	оно с	1	1
74	не одно	1	1
75	разве это	1	1
76	один пример	1	1
77	время в	1	1
78	я занимаюсь	1	1
79	же все	1	1
80	сказать чтобы	1	1
81	же две	1	1
82	и положения	1	1
83	в устах	1	1
84	есть ряд	1	1
85	же с	1	1
86	знания без	1	1
87	не хочу	1	1
88	две большие	1	1
89	для них	1	1
90	теснейшим образом	1	1
91	собственно и	1	1
92	от других	1	1
93	уже известно	1	1
94	том же	1	1
95	говорится в	1	1
96	связаны и	1	1
97	этом и	1	1
98	не будем	1	1
99	столь же	1	1
100	что сами	1	1
101	одном и	1	1
102	вращаясь в	1	1
103	их как	1	1
104	не хотел	1	1
105	с головой	1	1
