N	2gram	Berdyaev_M	Analitik
1	не только	42	71
2	и в	61	66
3	но и	34	57
4	в том	9	52
5	может быть	42	52
6	в этом	34	51
7	в частности	1	51
8	как и	14	50
9	и не	26	48
10	а не	36	42
11	том что	7	40
12	то есть	3	35
13	так и	5	35
14	в мире	12	31
15	как бы	10	29
16	не может	39	29
17	а в	4	28
18	в его	10	27
19	и его	13	27
20	не в	16	26
21	но не	8	26
22	всего лишь	1	24
23	в себе	12	24
24	не случайно	1	24
25	что в	12	22
26	и даже	1	22
27	к тому	6	22
28	в этой	12	22
29	лишь в	8	21
30	о том	5	20
31	я в	1	20
32	в самом	15	19
33	то же	4	19
34	в своей	18	19
35	по отношению	4	19
36	с его	6	19
37	но в	12	19
38	в то	2	18
39	отношению к	4	18
40	с другой	1	17
41	только в	7	17
42	такого рода	1	17
43	что и	6	16
44	могут быть	2	16
45	то что	10	16
46	в пределах	1	16
47	и на	9	15
48	не есть	21	15
49	между тем	2	15
50	уже не	8	15
51	прежде всего	18	15
52	в сущности	2	15
53	в их	4	15
54	не менее	1	14
55	себя в	6	14
56	я и	3	14
57	мы имеем	1	14
58	в отличие	1	14
59	отличие от	1	14
60	по себе	2	13
61	точки зрения	6	13
62	он не	34	13
63	этого слова	1	13
64	ничего не	4	13
65	для него	28	13
66	а также	1	13
67	в начале	2	13
68	и к	9	12
69	и сам	1	12
70	никогда не	30	12
71	как в	9	12
72	еще не	1	12
73	есть не	9	12
74	в той	3	11
75	по своей	4	11
76	в свою	5	11
77	той же	3	11
78	это не	10	11
79	и как	3	11
80	во второй	1	11
81	не с	1	11
82	все же	2	10
83	в конце	11	10
84	было бы	11	10
85	подобно тому	2	10
86	отношения к	6	10
87	перед лицом	1	10
88	со своей	2	10
89	особенно в	3	10
90	и самого	2	10
91	один из	9	10
92	на себя	1	10
93	говорить о	1	9
94	говорит о	1	9
95	не столько	1	9
96	в своем	17	9
97	по поводу	1	9
98	во всех	3	9
99	в русской	4	9
100	за пределы	5	9
101	особого рода	1	9
102	вместе с	7	9
103	вступает в	1	9
104	тому как	2	9
105	того что	13	9
106	личности в	4	9
107	о чем	3	8
108	роль в	2	8
109	не всегда	1	8
110	между двумя	1	8
111	одной из	1	8
112	в сторону	1	8
113	о его	1	8
114	с ним	5	8
