N	4gram	Vygotskiy_	Hudozhes
1	в то же время	1	7
2	состоит в том что	2	4
3	одно и то же	3	3
4	одного и того же	2	3
5	и в самом деле	2	2
6	в том что он	2	2
7	бы то ни было	1	2
8	приводит к тому что	1	2
9	с этой точки зрения	3	2
10	том что он не	1	1
11	не что иное как	2	1
12	за минуту до этого	1	1
13	заключается в том что	6	1
14	так же точно и	2	1
15	находятся между собой в	1	1
16	а с другой стороны	3	1
17	что в основе его	1	1
18	брожу ли я вдоль	1	1
19	с одной стороны и	1	1
20	то же разница в	1	1
21	одним и тем же	3	1
22	какой бы то ни	1	1
23	мы имеем дело с	1	1
24	искусства и в частности	1	1
25	а чем-то другим и	1	1
26	я вдоль улиц шумных	1	1
27	ли я вдоль улиц	1	1
28	в том или ином	1	1
