N	2gram	Medvedev_I	SlovoVZh
1	и в	1	12
2	отношению к	1	11
3	по отношению	1	11
4	и не	2	10
5	если бы	1	9
6	и др	1	5
7	никогда не	1	5
8	с другой	1	4
9	так и	1	4
10	жизни и	1	4
11	в этом	2	4
12	и с	3	3
13	с героем	1	3
14	для него	1	3
15	того что	1	3
16	все это	1	3
17	в них	1	3
18	произведения и	1	3
19	все эти	1	3
20	в художественном	1	3
21	художественного творчества	1	3
22	что в	2	2
23	не так	1	2
24	автора и	1	2
25	и та	1	2
26	другой стороны	1	2
27	в материале	1	2
28	для других	1	2
29	не остается	1	2
30	он не	2	2
31	как только	1	2
32	ничего не	2	2
33	а с	1	1
34	от нее	1	1
35	ненависть к	1	1
36	в значительной	1	1
37	того чтобы	1	1
38	в основе	1	1
39	точно и	1	1
40	с жизнью	1	1
41	и тот	1	1
42	и о	1	1
43	что для	1	1
44	следующим образом	1	1
45	из подполья	1	1
46	и без	1	1
47	как о	1	1
48	то она	1	1
49	есть только	1	1
50	записок из	2	1
51	в целом	1	1
52	себя в	1	1
53	только для	1	1
