N	2gram	Propp_Russ	VerxiiNi
1	и в	59	26
2	таким образом	10	22
3	с тем	14	18
4	в этом	18	15
5	вместе с	16	15
6	точки зрения	3	13
7	как бы	18	12
8	в том	33	11
9	не только	28	10
10	и с	12	10
11	может быть	14	10
12	из этих	6	10
13	после смерти	1	10
14	что в	35	9
15	так как	25	9
16	связи с	6	9
17	но и	20	9
18	в области	3	9
19	в общем	1	8
20	и у	5	8
21	и не	6	8
22	как на	2	8
23	главным образом	5	8
24	с другой	1	8
25	но не	7	8
26	с одной	1	7
27	но все	3	7
28	связанные с	5	7
29	том что	33	7
30	потому что	15	7
31	одной стороны	1	7
32	а с	6	7
33	то что	10	7
34	но в	5	7
35	из них	12	7
36	к нему	3	7
37	так и	8	6
38	в конце	1	6
39	несмотря на	4	6
40	все это	12	6
41	что и	8	6
42	представление о	5	6
43	все эти	5	6
44	все же	7	6
45	к тому	4	6
46	о том	14	6
47	во всяком	1	6
48	и потому	3	6
49	всяком случае	1	6
50	мы должны	3	6
51	с точки	3	6
52	в себе	1	6
53	того же	1	6
54	и к	3	5
55	в его	3	5
56	к жизни	3	5
57	тому же	1	5
58	более или	1	5
59	не имеет	9	5
60	с другом	1	5
61	или менее	1	5
62	того чтобы	6	5
63	для того	6	5
64	так же	7	5
65	отношение к	1	5
66	образом в	2	5
67	в силу	2	5
68	друг с	1	5
69	а не	3	5
70	и для	3	5
71	никогда не	1	5
72	то есть	3	4
73	и по	10	4
74	то же	6	4
75	из которых	2	4
76	только в	4	4
77	в этих	3	4
78	должен был	3	4
79	с другими	3	4
80	целый ряд	1	4
81	что он	2	4
82	в которых	8	4
83	к своим	1	4
84	в котором	2	4
85	в течение	7	4
86	он не	1	4
87	и что	8	4
88	далеко не	5	4
89	а в	16	4
90	в этой	4	4
91	и от	2	4
92	не может	6	4
93	что все	2	4
94	на этот	3	4
95	в виде	10	4
96	в то	3	4
97	в нем	3	4
98	во время	23	4
99	в так	1	4
100	к сожалению	1	3
101	и другие	24	3
102	на западе	2	3
103	с этой	2	3
104	и при	2	3
105	при этом	11	3
106	для него	1	3
