N	2gram	Medvedev_I	KFilosof
1	и не	2	28
2	и в	1	28
3	по отношению	1	26
4	отношению к	1	22
5	в этом	2	15
6	для него	1	13
7	все эти	1	11
8	все это	1	10
9	в целом	1	10
10	если бы	1	8
11	жизни и	1	8
12	себя в	1	8
13	должен быть	2	7
14	я не	1	6
15	он не	2	6
16	в основе	1	5
17	а в	1	5
18	никогда не	1	5
19	что в	2	4
20	могло бы	1	4
21	нисколько не	1	4
22	того что	1	3
23	и тот	1	3
24	тем что	1	3
25	не дает	1	3
26	для того	1	3
27	и та	1	3
28	ничего не	2	3
29	так и	1	2
30	со всеми	1	2
31	не остается	1	2
32	от этого	1	2
33	это было	1	2
34	а для	1	2
35	а с	1	2
36	того чтобы	1	2
37	другое дело	1	2
38	а по	1	2
39	говорить о	1	2
40	хотя его	1	2
41	понятий и	1	1
42	автор и	1	1
43	и очень	1	1
44	только что	1	1
45	самого себя	2	1
46	это сам	1	1
47	знать и	1	1
48	художественного творчества	1	1
49	бы что	2	1
50	за границей	1	1
51	и с	3	1
52	как о	1	1
53	есть только	1	1
54	и смыслы	1	1
55	в эту	1	1
56	еще одной	1	1
57	только для	1	1
58	более чем	1	1
59	по поводу	1	1
60	при такой	1	1
61	бы его	1	1
62	и др	1	1
63	и о	1	1
64	в значительной	1	1
65	того же	1	1
66	не случайно	1	1
67	нее и	1	1
