N	3gram	Tiupa_Narr	VelikijI
1	в первый раз	1	3
2	к тому что	4	3
3	то что мы	1	3
4	и т д	1	2
5	в том что	11	2
6	которым можно было	1	2
7	вместо того чтобы	1	2
8	но и в	4	2
9	не верит в	1	2
10	то что я	1	2
11	не могли бы	1	1
12	так и в	1	1
13	и в жизни	2	1
14	никогда не было	1	1
15	по сравнению с	1	1
16	что я не	1	1
17	как и в	1	1
18	и что в	1	1
19	по крайней мере	1	1
20	как бы в	2	1
21	ведет не к	1	1
22	но все же	1	1
23	с другой стороны	1	1
24	в известном смысле	4	1
25	в последних словах	1	1
26	бы то ни	1	1
27	все что было	1	1
