N	2gram	Losev_Dial	FransuaR
1	и в	35	367
2	то есть	1	209
3	в этом	18	112
4	и не	51	101
5	таким образом	5	100
6	и его	6	99
7	в его	4	98
8	прежде всего	14	92
9	не только	26	87
10	мы уже	8	85
11	но и	17	84
12	как бы	19	82
13	все эти	4	79
14	вовсе не	19	77
15	как и	10	76
16	в нем	25	75
17	но в	8	75
18	в эпоху	2	75
19	и др	2	72
20	в том	20	71
21	как мы	5	71
22	то же	21	66
23	и все	11	66
24	в них	4	65
25	в этой	3	65
26	так и	18	65
27	и с	10	64
28	в сущности	2	64
29	в то	10	63
30	во время	2	63
31	во всех	3	62
32	все это	14	62
33	же время	9	55
34	что в	19	52
35	в своем	7	51
36	только в	7	48
37	так как	24	46
38	и до	2	46
39	том что	18	45
40	уже говорили	1	44
41	то что	25	41
42	здесь в	3	41
43	у него	2	40
44	жизни и	9	40
45	в самом	6	38
46	точки зрения	25	37
47	в ней	4	37
48	о том	8	35
49	он был	1	35
50	может быть	30	35
51	мы видим	6	35
52	сказать что	19	34
53	и даже	23	34
54	в себе	23	34
55	в конце	5	32
56	он не	5	32
57	для него	2	32
58	в литературе	1	31
59	в своей	9	31
60	нового времени	1	31
61	так же	6	30
62	но он	3	30
63	один из	3	30
64	потому что	23	30
65	той же	1	30
66	и потому	6	30
67	никогда не	18	30
68	тела и	3	30
69	в духе	1	29
70	в одном	4	29
71	еще не	4	29
72	связи с	3	29
73	в этих	6	29
74	что он	16	29
75	не может	16	29
76	в особенности	6	29
77	при этом	2	29
78	его в	3	29
79	не в	12	29
80	и к	8	28
81	из них	5	28
82	всех этих	4	28
83	также и	7	28
84	в той	4	28
85	в основе	4	28
86	и другие	1	27
87	сих пор	4	27
88	до сих	4	27
89	все же	9	27
90	по своему	4	27
91	и их	5	27
92	кроме того	2	26
93	все они	2	26
94	на самом	5	25
95	в области	2	25
96	и образы	2	25
97	но это	12	25
98	мира и	2	25
99	он и	2	24
100	но не	9	24
101	например в	2	24
102	в ее	3	24
103	и у	2	24
104	и от	5	24
105	как в	3	24
106	того чтобы	1	24
107	времени и	10	24
108	в частности	4	24
109	отношение к	5	24
110	так сказать	1	23
111	и здесь	1	23
112	с ним	9	23
113	и для	2	23
114	в их	5	23
115	есть и	11	23
116	к нему	12	23
117	это не	18	23
118	еще и	4	23
119	даже в	6	22
120	не было	7	22
121	а в	8	22
122	тем что	2	22
123	что и	7	22
124	и других	1	22
125	там где	1	22
126	поэтому и	3	22
127	вместе с	3	22
128	и во	1	22
129	форм и	2	22
130	и о	4	22
131	в своих	1	21
132	именно в	4	21
133	культуры и	1	21
134	в отношении	5	21
135	уже в	5	21
136	и как	14	21
137	есть в	2	21
138	в качестве	2	21
139	что это	21	21
140	ни в	20	21
141	и наконец	1	21
142	в виду	9	20
143	в связи	3	20
144	и это	6	20
145	этом отношении	2	20
146	с точки	18	20
147	как раз	7	20
148	в образе	1	20
149	они были	2	20
150	а также	1	20
151	самом деле	6	20
152	во всем	3	19
153	их в	2	19
154	к этому	2	19
155	в эту	1	19
156	того же	1	19
157	за пределы	4	19
158	было бы	14	19
159	в дальнейшем	6	19
160	с другой	10	19
161	хотя и	4	19
162	в ту	1	19
163	далеко не	2	19
164	мы находим	7	18
165	на мир	2	18
166	со всеми	2	18
167	это и	6	18
168	здесь не	1	18
169	одна из	1	18
170	но они	2	18
171	превращается в	2	18
172	весь мир	2	18
173	на этом	4	18
174	связанные с	3	18
175	перед нами	3	18
176	это в	1	18
177	большей или	1	17
178	и смерти	1	17
179	для того	2	17
180	конечно не	9	17
181	в результате	2	17
182	можно было	5	17
183	на его	1	17
184	такой же	2	17
185	еще более	3	17
186	но все	5	17
187	связана с	1	17
188	и вот	10	17
189	того что	6	17
190	а не	24	17
191	в другом	6	16
192	с одной	4	16
193	между ними	1	16
194	между тем	3	16
195	нужно сказать	1	16
196	и одновременно	1	16
197	тот же	1	16
198	или меньшей	1	16
199	вернемся к	1	16
200	ничего не	19	16
201	они не	3	16
202	дело в	1	16
203	мысли и	3	15
204	в которой	3	15
205	на весь	1	15
206	не были	1	15
207	никто не	2	15
208	из этих	2	15
209	мы еще	2	15
210	с их	2	15
211	и вообще	10	15
212	одно из	2	15
213	почти все	2	15
214	как на	1	15
215	телом и	1	15
216	еще в	2	15
217	в истории	1	15
218	и образ	6	14
219	в котором	5	14
220	характер и	1	14
221	в чем	9	14
222	образом в	1	14
223	и по	5	14
224	мы не	1	14
225	на них	1	14
226	здесь только	1	14
227	все что	2	14
228	в данном	5	14
229	все образы	1	14
230	и он	6	14
231	несмотря на	12	14
232	земли и	1	14
233	по существу	2	14
234	и сам	1	13
235	о мире	2	13
236	с этим	5	13
237	во все	1	13
238	и еще	4	13
239	что все	2	13
240	его к	1	13
241	на все	2	13
242	в одной	4	13
243	о чем	4	13
244	в жизни	3	13
245	одной стороны	3	13
246	здесь нет	1	13
247	не знает	2	13
248	отличие от	1	13
249	в мире	3	13
250	в других	1	13
251	бы в	3	13
252	и есть	20	13
253	они и	1	13
254	только на	3	13
255	не на	1	13
256	мир и	1	13
257	или в	2	13
258	и эта	3	13
259	так в	1	13
260	это было	4	13
261	жизнь и	5	13
262	как он	5	13
263	другой стороны	7	12
264	не был	3	12
265	во всей	1	12
266	вещей и	5	12
267	главным образом	2	12
268	и ее	1	12
269	та же	6	12
270	жизни в	1	12
271	в новой	1	12
272	начиная с	1	12
273	раз в	2	12
274	менее всего	1	12
275	место в	1	12
276	с полной	1	12
277	только для	1	12
278	можно сказать	10	12
279	но этот	1	12
280	по своей	5	12
281	не могут	4	12
