N	4gram	Savitsky_E	VeschiIm
1	бы то ни было	4	12
2	не значит ли это	1	5
3	с этой точки зрения	5	4
4	дело в том что	1	4
5	в то же время	14	4
6	в то время как	1	4
7	и в то же	8	3
8	заключается в том что	2	2
9	не может быть речи	1	1
10	в том смысле что	1	1
11	и это потому что	1	1
12	с одной стороны и	6	1
13	каких бы то ни	2	1
14	одного и того же	1	1
15	т е прежде всего	1	1
16	и та и другая	1	1
17	что как бы ни	1	1
18	из того что в	1	1
19	и то и другое	1	1
20	в качестве одного из	1	1
21	но само по себе	1	1
22	это значит что на	1	1
23	но нужно помнить что	1	1
24	но в то же	2	1
25	то ни было только	1	1
26	может быть речи о	1	1
27	в ту или иную	1	1
28	один и тот же	1	1
