N	4gram	Ircho_Kome	DiskursI
1	в то же время	11	8
2	состоит в том что	1	7
3	с одной стороны и	2	5
4	одного и того же	1	4
5	в том что в	1	3
6	не говоря уже о	2	3
7	в том числе и	2	3
8	той мере в какой	1	2
9	лицом к лицу с	1	2
10	в той мере в	1	2
11	в тех случаях когда	1	2
12	и в то же	2	2
13	одних и тех же	1	2
14	бы то ни было	3	2
15	и в этом случае	1	1
16	не следует думать что	1	1
17	только после того как	1	1
18	и столь же неожиданная	1	1
19	подобно тому как мы	1	1
20	ни в чем не	2	1
21	с первых же слов	2	1
22	состоит в том чтобы	1	1
23	тем не менее в	1	1
24	только в том что	1	1
25	к одному и тому	1	1
26	по себе не может	1	1
27	не сводится к одной	1	1
28	с одной стороны он	1	1
29	при этом если в	1	1
30	что с ними произошло	1	1
31	одному и тому же	1	1
32	в том что человек	1	1
