N	2gram	Medvedev_S	slovoVRo
1	и в	3	92
2	может быть	2	59
3	и его	1	59
4	и не	1	51
5	не только	3	44
6	не может	1	41
7	но и	2	39
8	в этом	5	36
9	так и	1	30
10	в его	3	27
11	все это	7	25
12	как бы	2	24
13	то же	2	23
14	в сущности	1	21
15	не в	3	21
16	вовсе не	1	21
17	в процессе	1	20
18	в то	1	20
19	прежде всего	1	19
20	с ним	1	18
21	как и	1	18
22	же время	1	18
23	таким образом	2	17
24	все же	1	17
25	все эти	1	17
26	в них	1	16
27	только в	2	14
28	это не	1	13
29	с другой	1	13
30	еще не	2	12
31	во всяком	1	12
32	никогда не	1	12
33	и потому	1	12
34	а в	1	12
35	и наконец	1	12
36	один из	1	11
37	в этих	1	11
38	с одной	1	11
39	одной стороны	1	11
40	может не	1	10
41	в том	5	10
42	далеко не	2	10
43	в него	1	10
44	в своей	1	9
45	конечно не	1	9
46	его в	1	9
47	в смысле	2	9
48	но не	1	9
49	для нас	3	8
50	всяком случае	1	8
51	том что	2	7
52	перед нами	1	7
53	но именно	1	7
54	у него	1	7
55	не было	1	7
56	связи с	1	7
57	за пределы	2	7
58	в целом	1	7
59	что в	2	6
60	даже в	1	6
61	по себе	1	6
62	именно в	1	6
63	автор не	1	6
64	наконец в	1	6
65	хотя бы	1	6
66	между тем	1	6
67	ничего не	1	6
68	должна быть	2	5
69	в результате	2	5
70	они не	1	5
71	по отношению	2	5
72	о том	1	5
73	в данном	1	5
74	и более	1	5
75	мы не	1	5
76	с помощью	1	5
77	отношению к	2	5
78	остается в	1	5
79	или даже	2	5
80	в каждом	1	5
81	и по	1	5
82	для этого	1	5
83	по существу	2	4
84	те же	1	4
85	что он	1	4
86	как только	2	4
87	на первый	1	4
88	дело не	2	4
89	именно на	1	4
90	ни были	1	4
91	в чем	1	4
92	новые и	1	4
93	истории литературы	10	4
94	в виде	1	4
95	и как	1	4
96	но как	1	4
97	первый план	1	4
98	в частности	2	4
99	литературы и	2	4
100	и о	1	4
101	в лучшем	1	4
102	образом в	1	4
103	лучшем случае	1	4
104	в связи	1	3
105	два типа	1	3
106	исторического развития	2	3
107	тем что	1	3
108	было бы	2	3
109	из себя	1	3
110	в этой	1	3
111	выходит за	1	3
112	исторической жизни	2	3
113	ввести в	2	3
114	сама по	1	3
115	тому что	1	3
116	на все	1	3
117	между собой	1	3
118	но она	1	3
119	не выходит	1	3
120	науки о	1	2
121	том и	1	2
122	все то	1	2
123	они ни	1	2
124	это и	2	2
125	то что	2	2
126	в котором	1	2
127	только как	2	2
128	время в	1	2
129	вступает в	1	2
130	а между	1	2
131	точке зрения	1	2
132	она может	2	2
133	что все	1	2
134	и стиля	1	2
135	не из	1	2
136	и есть	1	2
137	в таких	1	2
138	что она	1	2
139	между ними	1	2
140	в области	1	2
141	а с	1	2
142	это как	1	2
143	и затем	1	2
144	не один	1	2
145	бы они	1	2
146	слова но	1	2
147	и что	2	2
148	главным образом	2	2
149	не исчерпываются	1	2
150	место в	1	2
151	столь же	1	2
152	и только	3	2
153	не мешает	1	1
154	и должны	1	1
155	представить себе	1	1
156	в конце	2	1
157	жанра и	1	1
158	ровно ничего	1	1
159	и должно	1	1
160	невозможно никакое	1	1
161	или нет	1	1
162	никак не	1	1
163	его исторической	1	1
164	этом нужно	1	1
165	но только	1	1
166	мы понимаем	1	1
167	его собственная	1	1
168	стиля как	1	1
169	конечном счете	1	1
170	работы в	1	1
171	формальных признаков	1	1
172	только для	1	1
173	вот в	1	1
174	он по	1	1
175	в методологии	1	1
176	по крайней	1	1
177	к изучению	1	1
178	его построения	1	1
179	тотчас же	1	1
180	по самому	1	1
181	быть не	1	1
182	и разрешить	1	1
183	тем именно	1	1
184	может служить	1	1
185	на основании	1	1
186	этой задаче	1	1
187	развития и	1	1
188	лингвистику и	1	1
189	и школа	1	1
190	для изучения	1	1
191	процессе живого	1	1
192	на этот	1	1
193	в противном	1	1
194	расти и	1	1
195	мы еще	1	1
196	ними в	1	1
197	пришлось бы	1	1
198	крайней мере	1	1
199	в заключение	1	1
200	вне пределов	1	1
201	индивидуальность и	1	1
202	этого и	1	1
203	есть процесс	1	1
204	в систему	1	1
205	и строить	1	1
206	на тех	1	1
207	зависит от	1	1
208	же не	1	1
209	не от	1	1
210	в конечном	1	1
211	вытекающих из	1	1
212	в свои	1	1
213	произведение как	1	1
214	он говорит	1	1
215	литературе и	1	1
216	в мире	1	1
217	противном случае	1	1
218	вокруг этих	1	1
219	должно было	1	1
220	к вопросам	1	1
221	перейти к	1	1
222	приемы построения	1	1
223	бы в	1	1
224	автор с	1	1
225	выдвигает на	1	1
226	сказать и	1	1
227	входящие в	1	1
228	тем более	2	1
229	он ни	1	1
230	в наше	1	1
231	и остаются	1	1
232	не дает	1	1
233	для наших	1	1
234	и благодаря	1	1
235	мы должны	1	1
236	даже не	1	1
237	него и	1	1
238	изучения и	1	1
239	бы он	1	1
240	на определенных	1	1
241	их на	1	1
242	отнюдь не	1	1
243	эти два	1	1
