N	2gram	Medvedev_I	EvropaiE
1	и в	1	37
2	что в	2	21
3	и не	2	14
4	в этом	2	12
5	так и	1	10
6	того что	1	7
7	а также	1	7
8	с другой	1	7
9	того чтобы	1	6
10	для того	1	6
11	от этого	1	5
12	тем что	1	3
13	очевидно что	1	3
14	и со	1	3
15	в них	1	3
16	не дает	1	3
17	того же	1	3
18	никогда не	1	3
19	и творчества	1	2
20	другой стороны	1	2
21	если бы	1	2
22	и с	3	2
23	в эту	1	2
24	более чем	1	2
25	в значительной	1	2
26	он не	2	2
27	и та	1	2
28	а в	1	2
29	и еще	1	2
30	во многом	1	2
31	с а	1	2
32	жизни и	1	2
33	бы в	1	2
34	бы столь	1	1
35	от нее	1	1
36	кто иной	1	1
37	для него	1	1
38	что при	1	1
39	когда его	1	1
40	цель и	1	1
41	и сам	1	1
42	иной как	1	1
43	по отношению	1	1
44	не кто	1	1
45	все эти	1	1
46	но когда	1	1
47	есть только	1	1
48	а для	1	1
49	в основе	1	1
50	а если	1	1
51	то и	1	1
52	доказать что	1	1
53	в брошюре	1	1
54	значительной мере	1	1
55	говорить о	1	1
56	тех же	1	1
57	при такой	1	1
58	так то	1	1
59	что для	1	1
60	и тот	1	1
61	то она	1	1
62	вплоть до	1	1
63	и о	1	1
64	та и	1	1
