N	3gram	Bakhtin_Fr	SlovoVZh
1	по отношению к	3	11
2	в том что	4	4
3	дело в том	2	4
4	и по отношению	2	3
5	до сих пор	3	3
6	и не в	1	3
7	это как бы	1	3
8	имеет в виду	1	3
9	находит свое выражение	1	2
10	имеем в виду	2	2
11	на самом деле	1	2
12	одной стороны и	1	2
13	то же самое	1	2
14	в данном случае	1	2
15	с одной стороны	3	2
16	с другой стороны	2	2
17	до известной степени	1	2
18	с точки зрения	4	2
19	в настоящее время	1	2
20	со всех сторон	2	1
21	в плоть и	1	1
22	сам по себе	2	1
23	и он то	1	1
24	является таким образом	1	1
25	оно ни было	2	1
26	о том что	4	1
27	все эти моменты	1	1
28	сказать что форма	1	1
29	в самом деле	3	1
30	сливается с ним	1	1
31	можно определить как	1	1
32	имеет дело с	1	1
33	в том и	1	1
34	таким образом мы	1	1
35	в свою очередь	3	1
36	ничего общего с	1	1
37	и должна быть	1	1
38	но уже в	2	1
39	как и в	2	1
40	таким образом не	1	1
41	как мы уже	4	1
42	вошли в плоть	1	1
43	наиболее яркое выражение	1	1
44	в том же	1	1
45	стороны и с	1	1
46	в высшую степень	1	1
47	во всяком случае	1	1
48	в литературе и	2	1
49	самом же деле	1	1
50	в нем и	1	1
51	но в то	3	1
52	и с другой	1	1
53	и в истории	1	1
54	и тем же	1	1
55	мы увидим что	1	1
56	здесь же мы	1	1
57	с самого начала	1	1
58	на самом же	1	1
59	но в них	1	1
60	в приведенном нами	2	1
61	и в каком	1	1
62	по аналогии с	1	1
63	с ним в	1	1
64	в основе своей	1	1
65	можно было бы	2	1
66	нужно подчеркнуть что	2	1
67	в этом отношении	3	1
68	основные грубые линии	1	1
69	то же время	12	1
70	и др все	1	1
71	бы оно ни	2	1
72	так и к	1	1
73	вещами и явлениями	1	1
74	не совпадает с	1	1
75	не должно быть	2	1
76	и прежде всего	2	1
77	более или менее	3	1
78	но и в	2	1
79	в них и	1	1
80	в то же	12	1
81	мы имеем в	2	1
82	в значительной степени	3	1
83	и сливается с	1	1
84	можно наблюдать в	1	1
85	это прежде всего	3	1
86	на все это	1	1
87	образом прежде всего	1	1
88	говорит о том	1	1
89	том что в	1	1
90	они как бы	1	1
91	и в этом	1	1
92	с такою же	2	1
93	с жизнью и	1	1
94	нечто само собой	1	1
95	в то время	1	1
96	в этом смысле	1	1
97	плоть и кровь	1	1
98	но все это	2	1
99	как нечто само	1	1
100	но все же	1	1
101	и потому не	1	1
102	мы уже сказали	2	1
103	само собой разумеющееся	1	1
104	одним и тем	1	1
105	к тому же	1	1
106	и так называемый	1	1
107	друг к другу	1	1
