N	2gram	Vygotskiy_	Komedia
1	и в	65	77
2	и не	20	47
3	в том	46	44
4	том что	28	42
5	о том	17	33
6	едва ли	4	32
7	но и	6	32
8	может быть	33	30
9	из них	10	29
10	таким образом	21	29
11	в то	5	28
12	и его	8	28
13	в этом	37	27
14	потому что	26	27
15	что он	23	26
16	к тому	18	26
17	тому же	2	25
18	не только	16	25
19	вместе с	10	25
20	так как	13	24
21	как и	12	23
22	ни в	6	23
23	что в	36	23
24	в самом	41	22
25	что и	7	22
26	если бы	22	22
27	то же	17	21
28	ясно что	11	21
29	в конце	5	21
30	так и	3	21
31	а в	9	21
32	в его	11	20
33	к этому	5	19
34	во время	4	19
35	со стороны	4	19
36	в этой	20	18
37	тем что	7	17
38	в нем	8	17
39	и здесь	9	17
40	и т	19	17
41	еще не	3	17
42	при этом	10	16
43	все же	10	16
44	не менее	1	16
45	у него	6	16
46	сих пор	6	16
47	он не	11	16
48	действующих лиц	6	16
49	и сам	1	16
50	до сих	7	16
51	тот же	5	16
52	не в	12	15
53	в своем	8	15
54	точки зрения	19	15
55	его в	5	15
56	в которой	8	15
57	на себя	1	15
58	между тем	10	15
59	один из	7	15
60	и на	7	15
61	было бы	22	15
62	прежде всего	2	15
63	и с	4	14
64	столь же	5	14
65	к нему	2	14
66	в свою	6	14
67	все это	12	14
68	об этом	4	14
69	только что	10	13
70	самом деле	33	13
71	о чем	1	13
72	в них	4	13
73	в одном	9	13
74	что она	34	13
75	того же	4	13
76	как раз	14	13
77	мы можем	12	13
78	в двух	11	13
79	так что	10	13
80	то что	61	13
81	того чтобы	21	13
82	но в	5	13
83	в котором	7	12
84	для того	18	12
85	так же	12	12
86	с другой	8	12
87	несмотря на	7	12
88	хотя и	1	12
89	в качестве	2	12
90	как это	13	12
91	т п	7	12
92	из которых	6	12
93	как в	8	12
94	уже в	1	12
95	в истории	3	12
96	не по	3	12
97	в начале	1	12
98	не может	17	12
99	но не	3	12
100	и даже	4	11
101	с тем	14	11
102	наряду с	4	11
103	что его	3	11
104	с ним	6	11
105	то время	4	11
106	должны были	2	11
107	речь идет	7	11
108	как мы	12	11
109	на этот	2	11
110	и для	4	11
111	в их	3	11
112	в частности	3	11
113	к ней	3	11
114	одного из	2	11
115	с этим	11	10
116	он был	3	10
117	свою очередь	3	10
118	на него	3	10
119	тут же	1	10
120	с одной	7	10
121	к себе	2	10
122	в чем	3	10
123	как бы	29	10
124	и что	29	10
125	в отношении	1	10
126	и все	14	10
127	более чем	2	10
128	на основании	2	10
129	в глазах	1	10
130	с его	2	10
131	ничего не	4	10
132	мы не	7	10
133	на его	2	10
134	тем более	2	10
135	что касается	2	10
136	отношение к	2	10
137	же в	2	10
138	в целом	8	10
139	все что	2	9
140	но все	2	9
141	в своей	6	9
142	больше чем	5	9
143	одной стороны	6	9
144	говорить о	3	9
145	и еще	2	9
146	тому что	10	9
147	время как	6	9
148	только в	9	9
149	друг друга	1	9
150	в тех	5	9
151	даже не	1	9
152	о его	2	9
153	и по	2	9
154	независимо от	2	9
155	из его	1	9
156	однако в	1	9
157	ответ на	1	9
158	того как	4	9
159	а также	1	9
160	вовсе не	11	9
161	отличие от	1	9
162	в ней	23	9
163	и особенно	1	9
164	с этой	5	8
165	а затем	1	8
166	другой стороны	5	8
167	что ни	3	8
168	то это	5	8
169	по поводу	1	8
170	что у	7	8
171	такого рода	1	8
172	не было	4	8
173	бы в	3	8
174	во всех	4	8
175	можно было	7	8
176	что для	6	8
177	если не	1	8
178	в которых	9	8
179	да и	1	8
180	в течение	5	8
181	тех пор	2	8
182	связи с	2	8
183	по содержанию	1	8
184	меньше всего	1	8
185	по своему	6	8
186	и других	5	8
187	с самого	10	8
188	как он	2	8
189	идет о	8	8
190	и ее	4	8
191	место в	6	8
192	и к	5	7
193	мы найдем	2	7
194	дело с	5	7
195	в результате	3	7
196	в этих	3	7
197	равно как	1	7
198	если в	2	7
199	себе в	1	7
200	во всяком	6	7
201	хотя бы	3	7
202	в другом	6	7
203	в руках	1	7
204	самого начала	10	7
205	по которым	2	7
206	бы то	1	7
207	что они	9	7
208	в связи	1	7
209	и это	13	7
210	в других	1	7
211	так или	1	7
212	и тот	1	7
213	в себе	9	7
214	до начала	1	7
215	и у	1	7
216	к его	2	7
217	это время	1	7
218	не имеет	8	7
219	не является	2	7
220	из этих	6	7
221	и поэтому	3	7
222	мы знаем	3	7
223	целый ряд	6	7
224	и во	3	7
225	до конца	5	7
226	но если	6	7
227	всяком случае	6	7
228	и вот	6	7
229	для нас	14	7
230	должен был	4	7
231	или иначе	2	7
232	само собой	3	7
233	отнюдь не	2	7
234	и о	6	7
235	еще более	2	6
236	даже в	2	6
237	его от	1	6
238	в виду	6	6
239	в своих	6	6
240	в дальнейшем	1	6
241	до того	1	6
242	представляет собой	3	6
243	не мог	4	6
244	и он	5	6
245	с точки	11	6
246	не хочет	1	6
247	за то	1	6
248	что не	5	6
249	о которых	10	6
250	на этом	6	6
251	и тем	4	6
252	в силу	2	6
253	всего в	1	6
254	мы встречаем	1	6
255	с и	6	6
256	на ее	2	6
257	в сущности	16	6
258	в другой	1	6
259	никто не	1	6
260	а не	11	6
261	которую он	2	6
262	в отличие	1	6
263	нет и	1	6
264	главным образом	6	6
265	на вопрос	1	6
266	так в	1	6
267	здесь в	4	6
268	когда же	1	6
269	или в	6	6
270	в какой	8	6
271	и как	10	6
272	к концу	4	6
273	на то	25	6
274	это было	4	6
275	до тех	2	6
276	во второй	1	6
277	когда он	8	6
