N	3gram	Losev_Dial	Tragedij
1	то же время	8	5
2	в то же	7	5
3	в том что	12	2
4	и как бы	1	2
5	и в частности	4	2
6	но в то	1	2
7	бросается в глаза	1	2
8	точно так же	3	2
9	в данном случае	1	2
10	о том что	6	2
11	но все же	2	2
12	сам по себе	8	1
13	но в конце	1	1
14	и не быть	1	1
15	в своем известном	1	1
16	в голову что	1	1
17	сам говорит что	1	1
18	ничего подобного нет	1	1
19	на всю ее	2	1
20	том что он	1	1
21	не только о	1	1
22	все это мы	1	1
23	должно быть по	1	1
24	что он не	2	1
25	бы и не	2	1
26	а между тем	1	1
27	на деле же	2	1
28	в обоих случаях	1	1
29	в конце концов	4	1
30	это может быть	1	1
31	отношение к нему	1	1
32	и что же?	1	1
33	это мы видим	1	1
34	никогда не был	1	1
35	и должно быть	3	1
36	мы отнюдь не	1	1
37	и вместе с	1	1
38	то что он	1	1
39	не может быть	4	1
40	и т п	3	1
41	что это значит?	2	1
42	по сравнению с	2	1
43	а стало быть	1	1
44	в чем же	1	1
45	с самого начала	2	1
46	и то что	1	1
47	как и все	1	1
48	что нужно для	1	1
49	не могут быть	1	1
50	в таком виде	1	1
51	в виду не	1	1
52	в связи с	3	1
53	что с г	1	1
54	может быть в	2	1
55	в самом деле	3	1
56	чем он сам	1	1
57	во всяком случае	3	1
58	это не просто	1	1
59	к тому что	3	1
60	тому что оно	1	1
61	что все это	1	1
62	тем не менее	3	1
63	в братьях карамазовых	1	1
64	несмотря на все	1	1
65	несмотря на всю	5	1
66	подобного нет в	1	1
67	все это происходит	1	1
68	что он с	1	1
69	прежде всего необходимо	2	1
70	это и есть	3	1
71	и цветов и	1	1
72	у достоевского в	1	1
73	в каких терминах	1	1
74	все же не	1	1
75	еще ничего не	1	1
76	и не может	1	1
77	и в этом	4	1
78	отнюдь не является	1	1
