N	4gram	Bakhtin_KF	Problema
1	и тем не менее	1	15
2	дело в том что	1	10
3	бы то ни было	2	6
4	ни в чем не	4	5
5	тем не менее в	1	5
6	и ни в чем	2	4
7	и в то же	1	3
8	одного и того же	1	3
9	несмотря на то что	1	3
10	дело здесь не в	1	3
11	но в то же	1	3
12	в ту или иную	1	2
13	один и тот же	3	2
14	ничего общего не имеет	1	2
15	по самому своему смыслу	1	2
16	в то или иное	1	2
17	только в том что	1	2
18	а эта последняя как	1	1
19	с нашей точки зрения	1	1
20	в то же время	2	1
21	бы оно ни было	1	1
22	если бы оно было	1	1
23	не отличаются от научных	1	1
24	в данный момент в	1	1
25	для которого все эти	1	1
26	и свой смысл и	1	1
27	до сих пор не	1	1
28	в том случае когда	1	1
29	но для того чтобы	1	1
30	имеем в виду и	1	1
31	значит ли это что	1	1
32	не имеем в виду	2	1
33	вовсе не относятся к	1	1
34	стороне и в своей	1	1
35	когда мы говорим о	1	1
36	но это уже не	1	1
37	здесь дело не в	1	1
38	конечно дело здесь не	1	1
39	он не может быть	1	1
40	во всех этих случаях	1	1
41	и в этом смысле	1	1
