N	3gram	Tiupa_Vved	VerxiiNi
1	с одной стороны	9	7
2	во всяком случае	3	6
3	по крайней мере	1	5
4	а с другой	3	5
5	для того чтобы	1	5
6	в том числе	1	5
7	более или менее	2	5
8	том числе и	1	4
9	о том что	6	4
10	к тому же	6	4
11	в том что	10	3
12	так же как	1	3
13	в связи с	1	3
14	тем не менее	3	3
15	той или иной	4	2
16	то что он	1	2
17	на то что	2	2
18	на пути к	1	2
19	с самого начала	1	2
20	то или иное	1	2
21	заключает в себе	4	2
22	то же самое	2	2
23	по сравнению с	1	2
24	можно сказать что	1	2
25	в этом отношении	7	2
26	то же время	4	2
27	в то же	5	2
28	друг на друга	2	2
29	и в этом	1	2
30	начинается с того	2	1
31	но в конце	1	1
32	сами по себе	1	1
33	жизни то есть	1	1
34	и т.д вплоть	1	1
35	таким образом при	1	1
36	но при этом	3	1
37	в первом случае	1	1
38	самое следует сказать	1	1
39	в свою очередь	5	1
40	в одном и	1	1
41	и тот же	1	1
42	к новой жизни	1	1
43	в настоящее время	1	1
44	иметь в виду	1	1
45	же самое следует	1	1
46	но в то	1	1
47	речь идет о	3	1
48	в этом направлении	2	1
49	вследствие того что	1	1
50	до известной степени	1	1
51	в соответствии с	8	1
52	не может быть	6	1
53	т.д вплоть до	1	1
54	по отношению к	11	1
55	и в то	1	1
56	в данном случае	15	1
57	в том или	1	1
58	и все же	6	1
59	не только от	1	1
60	в отличие от	11	1
61	а в том	3	1
62	следует сказать и	1	1
63	а не как	1	1
64	из них не	1	1
65	в себе не	1	1
66	говорить не приходится	1	1
67	но и от	1	1
68	и того же	1	1
69	один и тот	1	1
70	случае мы имеем	1	1
71	в далеком прошлом	1	1
72	том или ином	1	1
73	которые могли бы	1	1
74	и по своим	1	1
75	которые к тому	1	1
76	на этот раз	2	1
77	в самом деле	2	1
78	в котором он	1	1
79	в таком случае	1	1
80	в общих чертах	1	1
81	в одном из	1	1
82	состоит в том	2	1
83	как бы в	2	1
84	сказать и о	1	1
85	с другой стороны	2	1
86	следует заметить что	2	1
87	о том как	1	1
88	не в том	3	1
89	всяком случае в	1	1
90	несмотря на его	1	1
91	что в области	1	1
92	свидетельствует о том	1	1
93	при этом не	2	1
94	это и есть	1	1
95	могло бы быть	1	1
96	но не всегда	1	1
97	здесь говорить не	1	1
98	добра и зла	1	1
99	одного и того	1	1
100	в этом последнем	1	1
