N	4gram	Propp_Isto	Komedia
1	в то время как	3	9
2	бы то ни было	2	7
3	не говоря уже о	1	6
4	в том что он	1	4
5	один и тот же	2	3
6	едва ли не самым	1	2
7	с одной стороны и	1	2
8	в тех случаях когда	1	2
9	до сих пор в	1	2
10	как будут развиваться события	1	1
11	не что иное как	3	1
12	мы знаем их в	1	1
13	но вместе с тем	1	1
14	только после того как	1	1
15	и между ними происходит	1	1
16	мы можем сказать что	1	1
17	таким образом и здесь	1	1
18	никто об этом не	1	1
19	и здесь нет необходимости	2	1
20	так и более поздние	1	1
21	с другой стороны в	1	1
22	в том что они	3	1
23	тем не менее и	1	1
24	населения и прежде всего	1	1
25	то же самое что	2	1
26	до сих пор были	1	1
27	о том что она	1	1
28	только в связи с	1	1
29	от начала до конца	1	1
30	в соответствии с этим	1	1
31	что он отправляется в	1	1
32	начинается с того что	2	1
33	и т д все	3	1
34	так же как и	1	1
35	а может быть даже	1	1
36	об этом можно судить	1	1
