N	4gram	Vinokur_Vv	OGranits
1	до тех пор пока	1	3
2	истории языка и истории	1	2
3	не что иное как	5	2
4	одно и то же	2	2
5	есть не что иное	3	2
6	между наукой о языке	1	1
7	состоит в том что	2	1
8	то же время в	1	1
9	с этой точки зрения	2	1
10	в то же время	6	1
11	в том что в	1	1
12	о языке и наукой	1	1
13	но в то же	3	1
14	может быть и речи	1	1
15	не может быть и	1	1
16	наукой о языке и	1	1
17	и наукой о литературе	1	1
18	языке и наукой о	1	1
19	в собственном смысле слова	1	1
20	в предисловии к этому	1	1
