N	2gram	Potebnia_M	KFilosof
1	может быть	47	45
2	в его	7	42
3	в нем	26	32
4	не может	30	29
5	и не	34	28
6	и в	58	28
7	по отношению	15	26
8	в котором	5	24
9	не есть	13	22
10	для меня	4	22
11	отношению к	13	22
12	в себе	22	21
13	только в	36	18
14	и его	7	18
15	в своем	3	17
16	в ее	2	17
17	а не	38	17
18	в этом	18	15
19	для него	13	13
20	не в	23	13
21	точки зрения	8	13
22	к нему	2	12
23	мир в	1	12
24	ни в	2	12
25	но не	19	12
26	и это	3	12
27	в своей	3	11
28	все эти	3	11
29	во всех	12	11
30	из себя	6	11
31	все это	3	10
32	это не	10	10
33	с точки	4	10
34	и есть	4	10
35	бытия и	3	10
36	от себя	2	10
37	и для	8	10
38	в целом	3	10
39	в их	3	9
40	и все	6	9
41	но и	26	9
42	как бы	12	9
43	для нее	4	9
44	в единстве	3	8
45	не было	7	8
46	если бы	23	8
47	быть только	7	8
48	в мире	3	8
49	со стороны	11	8
50	было бы	21	8
51	лишь в	2	8
52	в себя	2	8
53	жизни и	3	8
54	себя в	1	8
55	во всем	5	7
56	и здесь	1	7
57	что и	16	7
58	должен быть	2	7
59	вовсе не	13	7
60	уже не	4	7
61	совершенно не	1	7
62	то что	24	7
63	конечно не	1	7
64	для себя	4	7
65	и только	6	7
66	ее и	1	6
67	должно быть	9	6
68	но все	4	6
69	но эта	1	6
70	не имеет	9	6
71	в смысле	4	6
72	в том	38	6
73	и их	6	6
74	и действительно	1	6
75	отношение к	1	6
76	место в	3	6
77	он не	4	6
78	но это	7	6
79	проникает в	1	5
80	то же	13	5
81	ко всему	1	5
82	мы имеем	1	5
83	не только	32	5
84	мира но	1	5
85	с ним	7	5
86	я могу	2	5
87	но как	4	5
88	его в	3	5
89	но в	12	5
90	именно в	2	5
91	бы быть	7	5
92	как и	16	5
93	все же	11	5
94	себя и	3	5
95	еще не	9	5
96	что я	2	5
97	время и	2	5
98	хотя бы	4	5
99	в одном	13	5
100	от своей	1	5
101	а в	11	5
102	я и	1	5
103	его как	1	5
104	жизни как	1	5
105	там где	8	5
106	никогда не	7	5
107	что в	34	4
108	познания и	2	4
109	должна быть	4	4
110	и весь	3	4
111	при этом	17	4
112	ни было	4	4
113	что это	5	4
114	о нем	1	4
115	не как	4	4
116	для нас	29	4
117	прежде всего	8	4
118	с другим	3	4
119	в своих	4	4
120	как его	1	4
121	с ними	2	4
122	в категориях	1	4
123	том что	21	4
124	в чем	6	4
125	в каком	7	4
126	могло бы	4	4
127	но можно	1	4
128	бытие как	1	4
129	входит в	1	4
130	только как	5	4
131	нисколько не	2	4
132	во всей	1	4
133	могла бы	5	4
134	не по	4	4
135	между тем	7	4
136	времени и	3	4
137	тем самым	6	4
138	к ним	3	4
139	быть в	1	4
140	себя а	2	4
141	для другого	1	4
142	из него	3	4
143	жизни но	2	3
144	от него	8	3
145	и может	5	3
146	та же	1	3
147	и на	8	3
148	здесь нет	1	3
149	на язык	7	3
150	для действительного	1	3
151	мы не	17	3
152	был бы	1	3
153	тогда когда	15	3
154	и этот	1	3
155	того что	15	3
