N	3gram	Tiupa_Anal	VeschiIm
1	не может быть	17	24
2	бы то ни	3	12
3	не что иное	5	12
4	то ни было	3	12
5	что иное как	6	12
6	тем не менее	3	11
7	содержит в себе	3	11
8	по крайней мере	4	10
9	в том что	13	9
10	есть не что	4	8
11	в самом деле	3	7
12	на то что	2	7
13	сама по себе	1	7
14	с точки зрения	6	6
15	то и другое	1	6
16	так или иначе	1	6
17	в свою очередь	1	5
18	в то же	9	5
19	и то же	2	5
20	и то что	1	5
21	одно и то	2	5
22	подобно тому как	5	5
23	не только в	3	5
24	равно как и	1	4
25	в себе в	1	4
26	о том как	1	4
27	этой точки зрения	2	4
28	с этой точки	2	4
29	более или менее	2	4
30	что не есть	1	4
31	сам по себе	1	4
32	не только не	2	4
33	о том что	8	4
34	не есть вещь	2	4
35	то же время	7	4
36	но то что	1	3
37	ни с какой	1	3
38	вместе с тем	1	3
39	и даже не	1	3
40	заключается в том	1	3
41	и не в	4	3
42	можно сказать что	1	3
43	свидетельствует о том	1	3
44	все же не	1	3
45	из того что	3	3
46	сами по себе	3	3
47	может быть ни	1	3
48	в отрыве от	2	3
49	можно было бы	1	3
50	в собственном смысле	1	3
51	с одной стороны	6	3
52	то что мы	1	3
53	с другой стороны	2	3
54	не предполагает что	1	3
55	имеем дело не	1	2
56	потому что я	1	2
57	в той или	3	2
58	случае не есть	1	2
59	вообще но и	1	2
60	вещи но и	1	2
61	а не к	1	2
62	в применении к	1	2
63	дело не с	2	2
64	в данном случае	3	2
65	в том чтобы	7	2
66	не говорит о	1	2
67	внутреннего и внешнего	2	2
68	не есть она	1	2
69	в свое время	3	2
70	хотя бы и	1	2
71	в этом смысле	3	2
72	с самим собою	1	2
73	для того чтобы	3	2
74	крайней мере в	1	2
75	по природе своей	3	2
76	то зачем же	1	2
77	друг с другом	2	2
78	том что он	2	2
79	чего бы то	1	2
80	и в частности	1	2
81	он ничего не	1	2
82	в том или	3	2
83	в первом случае	2	2
84	должно быть понято	1	2
85	в отношении к	1	2
86	в вещи и	1	2
87	нельзя сказать что	1	2
88	тех или иных	3	2
89	и таким образом	1	2
90	а затем и	1	2
91	есть она сама	1	2
92	свое время была	1	2
93	принципиально не может	1	2
94	а не в	3	2
95	в связи с	2	2
96	она может быть	1	2
97	вещи и не	1	2
98	к тому что	2	2
99	когда говорится о	1	2
100	во всяком случае	1	2
101	в этом отношении	5	2
102	и в этом	4	2
103	а не только	2	2
104	если не будет	1	2
105	только тогда когда	1	2
106	что же касается	1	2
107	как раз и	2	2
108	в основе своей	2	2
109	мы имеем дело	7	2
110	быть не может	3	1
111	силу тех или	1	1
112	в полной мере	3	1
113	то что на	1	1
114	ответ на вопрос	1	1
115	в самом начале	3	1
116	как и во	1	1
117	я начинаю понимать	1	1
118	не только мы	1	1
119	и как бы	1	1
120	с ним самим	1	1
121	как будто бы	1	1
122	же самое время	2	1
123	и должно быть	1	1
124	в действительности и	1	1
125	зачем же нам	2	1
126	никак не может	1	1
127	том смысле что	1	1
128	в той же	1	1
129	отнюдь не предполагает	2	1
130	но и в	3	1
131	во всех языках	1	1
132	в том смысле	1	1
133	в данный момент	2	1
134	как и вся	1	1
135	как это было	1	1
136	есть вещь но	1	1
137	лишь одна из	1	1
138	ничего не говорит	1	1
139	имеется в виду	1	1
140	не в состоянии	1	1
141	самом деле в	1	1
142	то или иное	1	1
143	из себя в	1	1
144	один и тот	1	1
145	здесь как и	1	1
146	та и другая	1	1
147	вещей но в	1	1
148	и в самом	3	1
149	дело не в	2	1
150	самом деле не	1	1
151	какой бы то	2	1
152	в коем случае	2	1
153	и во всех	1	1
154	есть в сущности	2	1
155	все еще не	1	1
156	только в том	1	1
157	того что мы	1	1
158	и тот же	2	1
159	не в том	3	1
160	на вопрос о	1	1
161	она есть нечто	1	1
162	тот же самый	1	1
163	как к чему-то	1	1
164	между прочим и	1	1
165	уже и не	1	1
166	в силу тех	1	1
167	да и в	1	1
168	личности а не	2	1
169	для логического анализа	1	1
170	так как будто	1	1
171	во втором случае	1	1
172	он не есть	1	1
173	в себе не	1	1
174	до сих пор	1	1
175	вопрос об онтологическом	2	1
176	одного и того	2	1
177	на точку зрения	1	1
178	но и все	1	1
179	того что в	2	1
180	что же оно	1	1
181	смысле этого слова	1	1
182	ни в коем	2	1
183	далеко не все	1	1
184	функции и не	1	1
185	ни о чем	1	1
186	речь идет о	1	1
187	по меньшей мере	1	1
188	однако при всем	1	1
189	по своей природе	1	1
190	на что не	1	1
191	отнюдь не всегда	1	1
192	и вместе с	1	1
193	но все те	1	1
194	сам не был	1	1
195	и того же	2	1
196	это было в	1	1
197	мы подошли к	1	1
198	в этом случае	4	1
199	должен быть и	1	1
200	но в то	2	1
201	уже было сказано	1	1
202	а в том	1	1
203	быть может наиболее	1	1
204	ни на что	1	1
205	содержат в себе	1	1
206	что как бы	1	1
207	в зависимости от	1	1
208	с ним и	1	1
209	разумеется нет и	1	1
210	имеет дело с	1	1
211	другого и не	1	1
212	самим по себе	1	1
213	то же самое	3	1
214	мы видим как	1	1
215	и все же	2	1
216	не знаю что	2	1
217	самом же деле	1	1
218	это отнюдь не	1	1
219	я не могу	1	1
220	на самом же	1	1
221	и та и	1	1
222	в этой связи	2	1
223	тому как мы	1	1
224	ничего не мог	2	1
225	как и кантовские	1	1
226	оно может быть	1	1
227	но и для	1	1
228	в настоящий момент	1	1
229	вообще и тем	1	1
230	или хотя бы	1	1
231	еще ничего не	1	1
232	и не может	4	1
233	коем случае не	2	1
234	предполагает в качестве	1	1
