N	2gram	Losev_Vesc	OGranits
1	и в	44	13
2	и его	4	12
3	прежде всего	17	9
4	может быть	37	8
5	и не	57	8
6	не может	44	8
7	и пр	10	7
8	в его	5	7
9	и их	11	7
10	точки зрения	10	7
11	таким образом	16	6
12	не только	48	6
13	мы должны	5	6
14	только в	23	6
15	то что	47	6
16	как бы	19	6
17	метода в	1	5
18	хотя бы	9	5
19	с точки	6	5
20	но ведь	2	5
21	все же	18	5
22	и эта	4	5
23	и наконец	1	5
24	мы можем	4	4
25	не является	3	4
26	только и	8	4
27	мы не	8	4
28	то же	12	4
29	еще и	11	4
30	было бы	24	4
31	все это	7	4
32	в сознании	1	4
33	слов и	1	4
34	лишь в	1	4
35	в своей	6	4
36	в двух	1	4
37	тех пор	1	4
38	но мы	1	4
39	но в	8	4
40	вопроса о	3	4
41	с этим	4	3
42	что в	11	3
43	к одному	3	3
44	понятно что	1	3
45	и то	14	3
46	со всей	2	3
47	связана с	1	3
48	и уже	2	3
49	так и	4	3
50	не как	2	3
51	говорить о	9	3
52	одно и	6	3
53	есть прежде	4	3
54	в одном	6	3
55	не столько	2	3
56	превращается в	3	3
57	слово в	2	3
58	в пределах	1	3
59	в их	4	3
60	в ее	8	3
61	здесь мы	1	3
62	самом деле	7	3
63	не в	14	3
64	в которой	5	3
65	что же	17	3
66	и все	6	3
67	но для	2	3
68	тела и	1	3
69	в себе	23	3
70	так как	17	3
71	языка как	2	3
72	я хочу	5	3
73	да и	5	3
74	но и	19	3
75	и для	13	3
76	как и	15	3
77	ничего общего	1	3
78	никогда не	5	3
79	в самом	13	2
80	во всем	2	2
81	нет ничего	2	2
82	которые только	1	2
83	и к	1	2
84	что они	12	2
85	того или	1	2
86	представим себе	1	2
87	мы видим	5	2
88	иное как	12	2
89	в данном	6	2
90	мы уже	3	2
91	и этот	2	2
92	и наиболее	1	2
93	в своих	3	2
94	в этом	17	2
95	что иное	12	2
96	в общем	1	2
97	в целях	1	2
98	случае и	1	2
99	данном случае	2	2
100	на язык	3	2
101	он только	1	2
102	которое мы	1	2
103	в языке	1	2
104	с одной	3	2
105	мог бы	7	2
106	в течение	1	2
107	для себя	6	2
108	наконец в	1	2
109	одной стороны	3	2
110	который мы	4	2
111	в другом	3	2
112	при этом	1	2
113	несмотря на	6	2
114	для него	8	2
115	и истории	1	2
116	и тем	7	2
117	и может	3	2
118	ее в	1	2
119	в том	15	2
120	общения и	2	2
121	с этой	6	2
122	что эта	2	2
123	мы получим	3	2
124	каждое слово	1	2
125	и является	1	2
126	в отношении	7	2
127	чем же	5	2
128	конечно в	1	2
129	вслед за	1	2
130	другой стороны	3	2
131	сознания и	2	2
132	не что	12	2
133	но так	1	2
134	не на	2	2
135	от этого	3	2
136	так же	4	2
137	думать что	1	2
138	в них	1	2
139	а в	6	2
140	если бы	8	2
141	мы понимаем	1	2
142	себе что	3	2
143	от всех	5	2
144	а также	1	2
145	в книге	1	2
146	на две	2	2
147	в ней	14	2
148	с самого	1	2
149	тем что	7	2
150	она является	4	2
151	могут быть	1	2
152	вовсе не	11	2
153	в действительности	7	2
154	между собою	12	2
155	может в	2	2
156	его на	4	2
157	учение о	2	2
158	в связи	1	2
159	форм но	1	2
160	в зависимости	1	2
161	во всей	1	2
162	с ними	4	2
163	говорить об	2	2
164	может стать	1	2
165	все эти	5	2
166	с другой	8	2
167	как в	3	2
168	не менее	11	2
169	только ее	1	2
170	нуждается в	2	2
171	явлений и	3	2
172	не имеет	2	2
173	том что	13	2
174	в нем	6	2
175	уже в	2	2
176	и следовательно	20	2
177	зависимости от	1	2
178	не мог	3	2
179	а не	34	2
180	в чем	10	2
181	в целом	3	2
182	и ее	19	2
183	тот же	4	2
184	подойти к	1	2
185	собственно говоря	5	2
186	к тому	3	2
187	есть не	17	2
188	кажется что	1	2
189	слова и	7	2
190	этот материал	1	2
191	бы в	9	2
192	и подобно	1	1
193	в дальнейшем	1	1
194	данной области	2	1
195	какой-то смысл	2	1
196	это некое	1	1
197	в особенности	3	1
198	из живого	1	1
199	понять и	4	1
200	но у	1	1
201	в некоторых	1	1
202	только одно	2	1
203	в категории	1	1
204	напр в	1	1
205	общение в	4	1
206	структуре этого	1	1
207	себе в	5	1
208	классификацией и	1	1
209	как к	5	1
210	о сущности	4	1
211	к которому	1	1
212	переходим к	1	1
213	языка в	1	1
214	обычно в	1	1
215	находятся в	2	1
216	оказалось не	1	1
217	то он	2	1
218	выражение в	3	1
219	не зная	1	1
220	ее и	2	1
221	эпохи не	1	1
222	зрения и	2	1
223	для всех	1	1
224	это конечно	1	1
225	только к	2	1
226	вне этой	1	1
227	и он	1	1
228	один из	5	1
229	существует но	4	1
230	как ни	1	1
231	логики к	1	1
232	можно говорить	2	1
233	вещь он	1	1
234	в столь	1	1
235	перейти в	1	1
236	и здесь	5	1
237	вообще в	1	1
238	общения в	1	1
239	равно и	1	1
240	уже из	1	1
241	я беседую	1	1
242	то это	5	1
243	явления как	3	1
244	она и	2	1
245	отличие от	1	1
246	одном случае	1	1
247	вопрос о	6	1
248	как же	6	1
249	что мы	17	1
250	на этом	4	1
251	они не	1	1
252	которую мы	2	1
253	на нем	1	1
254	другое дело	2	1
255	не имеют	1	1
256	только что	2	1
257	которая как	1	1
258	или иная	1	1
259	и психологизма	1	1
260	даже и	5	1
261	ее на	2	1
262	можем установить	1	1
