1	дело в том что	4	7
2	в то же время	13	5
3	достаточно для того чтобы	1	3
4	заключается в том что	3	3
5	в том что он	3	3
6	в том что здесь	1	2
7	не говоря уже о	3	2
8	на то что в	2	2
9	в той мере в	1	2
10	и т д и	1	2
11	во всяком случае не	2	2
12	имеет ничего общего с	1	2
13	одним и тем же	4	2
14	и в самом деле	1	2
15	в том смысле что	4	2
16	в том числе и	1	2
17	уже после того как	1	2
18	не имеет ничего общего	1	2
19	и в этом случае	3	2
20	но с другой стороны	2	2
21	что не может быть	1	2
22	той мере в какой	1	2
23	уже о том что	2	2
24	и вместе с тем	1	1
25	но это не значит	1	1
26	тем не менее и	1	1
27	в том что этот	1	1
28	только в том что	8	1
29	внимание на то что	2	1
30	бы то ни стало	1	1
31	только тем что в	1	1
32	показать что и в	1	1
33	и о том что	1	1
34	такое же значение как	1	1
35	не только в том	2	1
36	с одной точки зрения	1	1
37	по отношению к своему	1	1
38	потому что не может	1	1
39	ни для кого не	2	1
40	явления до сих пор	1	1
41	мы имеем дело с	1	1
42	одно и то же	7	1
43	без всякого внимания к	1	1
44	и в том и	1	1
45	имеет такое же значение	1	1
46	и та и другая	3	1
47	в том что она	1	1
48	до сих пор не	1	1
49	точно так же как	1	1
50	это можно утверждать только	1	1
51	для него самого и	1	1
52	бы они ни были	2	1
53	при таких условиях и	1	1
54	иначе и быть не	1	1
55	до сих пор еще	1	1
56	что он не знает	1	1
57	вопрос о том что	2	1
58	в то время как	4	1
59	точно так же и	1	1
60	и в том что	4	1
61	так же как и	1	1
62	с точки зрения той	1	1
63	не выходя за пределы	1	1
64	и по отношению к	2	1
65	именно в том что	1	1
66	но дело в том	2	1
67	языка не может быть	1	1
68	здесь дело не в	1	1
69	то же время не	1	1
70	и т п но	1	1
71	так и в том	1	1
72	что в то время	3	1
73	в том смысле как	2	1
74	мы до сих пор	1	1
75	из нее то что	1	1
76	не в том смысле	2	1
77	заключается именно в том	1	1
78	во что бы то	1	1
79	следует обратить внимание на	1	1
80	указание на то что	1	1
81	что бы то ни	1	1
82	говоря уже о том	2	1
83	только в том случае	1	1
84	в каждом из этих	1	1
85	д и т д	1	1
86	в том что и	1	1
87	потому что он не	2	1
88	в том и другом	3	1
89	и в этом отношении	1	1
90	вовсе не в том	1	1
91	но даже и в	1	1
92	с другой стороны и	1	1
93	и т д в	1	1
94	бы то ни было	2	1
95	иметь в виду что	1	1
