N	2gram	Nazirov_Tr	Freidism
1	таким образом	1	34
2	и не	7	34
3	не может	5	30
4	в этом	9	28
5	может быть	7	28
6	и в	18	28
7	прежде всего	4	26
8	в его	3	25
9	и его	6	22
10	с помощью	1	20
11	как бы	7	19
12	как мы	1	18
13	то что	4	17
14	– в	1	17
15	все эти	3	15
16	с ним	3	14
17	в своей	1	14
18	так и	5	14
19	самом деле	1	14
20	в душе	2	13
21	и все	4	13
22	как и	5	13
23	но в	6	13
24	во всех	1	13
25	в самом	2	12
26	то же	5	12
27	ни в	2	12
28	что он	6	12
29	том что	4	12
30	для него	3	12
31	все это	4	12
32	и потому	1	12
33	и наконец	1	12
34	только в	1	11
35	его в	2	11
36	один из	3	10
37	не только	8	10
38	и с	7	10
39	но и	4	10
40	никогда не	2	10
41	в том	2	10
42	он не	2	10
43	за пределы	1	10
44	не в	2	10
45	и на	7	9
46	уже не	2	9
47	во всяком	1	9
48	совершенно не	1	9
49	с его	2	9
50	к нему	3	9
51	в чем	1	9
52	а не	1	9
53	и др	1	9
54	могут быть	1	9
55	при этом	3	8
56	все же	5	8
57	еще не	4	8
58	и вот	1	8
59	по мнению	2	8
60	на этом	1	8
61	в ней	1	8
62	всяком случае	1	8
63	что в	4	7
64	не могут	2	7
65	роль в	1	7
66	так сказать	1	7
67	с сознанием	1	7
68	хотя бы	1	7
69	до конца	2	7
70	что все	2	7
71	того что	1	7
72	не является	1	7
73	но не	1	7
74	я и	1	7
75	об этом	4	7
76	с самого	1	7
77	в нем	4	7
78	к смерти	1	7
79	в этой	4	7
80	отношение к	2	7
81	в себе	4	7
82	в то	5	7
83	и ее	2	7
84	в человеке	1	6
85	одно из	1	6
86	если он	1	6
87	не менее	1	6
88	но мы	1	6
89	к тому	2	6
90	же время	6	6
91	высшей степени	1	6
92	чем же	1	6
93	в таком	2	6
94	она не	1	6
95	и что	4	6
96	человека и	1	6
97	и о	1	6
98	в высшей	1	6
99	что это	5	5
100	с ними	1	5
101	вместе с	1	5
102	того чтобы	1	5
103	и до	2	5
104	самого начала	1	5
105	что она	2	5
106	он сам	7	5
107	по поводу	2	5
108	той же	1	5
109	это не	5	5
110	в ее	2	5
111	что и	2	5
112	в которой	1	5
113	тому что	1	5
114	и по	1	5
115	не было	1	5
116	как это	3	5
117	заключается в	1	5
118	ничего не	2	5
119	в общем	1	5
120	в период	1	5
121	отнюдь не	3	5
122	в основном	3	4
123	сам по	1	4
124	в виду	1	4
125	по себе	1	4
126	именно в	1	4
127	как в	3	4
128	это и	1	4
129	данном случае	2	4
130	из тех	1	4
131	в данном	2	4
