N	3gram	Propp_Isto	Hudozhes
1	по отношению к	3	10
2	в том что	7	8
3	с другой стороны	17	6
4	более или менее	3	6
5	для того чтобы	1	5
6	состоит в том	1	5
7	так или иначе	2	4
8	не может быть	5	4
9	мы имеем в	7	3
10	с точки зрения	1	3
11	тем не менее	4	3
12	можно сказать что	1	3
13	в связи с	1	3
14	с одной стороны	11	3
15	бы то ни	1	2
16	но он не	1	2
17	этой точки зрения	3	2
18	ту или иную	1	2
19	с этой точки	3	2
20	в самом деле	1	2
21	в этом мире	1	2
22	а с другой	1	2
23	не могло быть	2	2
24	том что он	1	2
25	то ни было	1	2
26	сама по себе	1	2
27	и не могло	1	2
28	к тому что	1	2
29	может быть названо	1	2
30	точно так же	2	1
31	что он не	1	1
32	на вопрос что	1	1
33	может быть это	1	1
34	больше и больше	2	1
35	в более или	1	1
36	и др в	1	1
37	и потому что	1	1
38	имеются и в	1	1
39	на задний план	1	1
40	только в условиях	1	1
41	он не только	1	1
42	в противоречие с	1	1
43	из этих двух	1	1
44	в самом начале	1	1
45	по ту сторону	1	1
46	о том что	9	1
47	не в качестве	1	1
48	в свое время	1	1
49	одной стороны и	1	1
50	дело не в	3	1
51	как и в	3	1
52	он не будет	1	1
53	в чем собственно	1	1
54	перед тем как	1	1
55	в таких случаях	1	1
56	он мог бы	1	1
57	не в состоянии	1	1
58	и тем более	1	1
59	на свое место	2	1
60	в этих случаях	12	1
61	этих случаях оказывается	1	1
62	в то время	4	1
63	это происходит в	2	1
64	как это происходит	2	1
65	всегда так или	1	1
66	в одной из	2	1
67	в иных случаях	1	1
68	таким образом и	3	1
69	таким образом что	1	1
70	в сравнении с	1	1
71	в зависимости от	3	1
72	так же как	4	1
73	однако и в	1	1
74	и тем самым	1	1
75	в этом случае	4	1
76	а в том	2	1
77	связь со смертью	1	1
78	если он не	1	1
79	также своего рода	1	1
80	к тому же	1	1
81	не так просто	1	1
82	не только на	1	1
83	на первый взгляд	5	1
84	то же самое	1	1
85	не входит в	1	1
86	а не с	1	1
87	если бы для	1	1
88	легко может быть	1	1
89	тогда как в	1	1
90	только то что	1	1
91	как бы в	1	1
92	только о том	1	1
93	по содержанию своему	1	1
94	имеем дело с	1	1
95	в чистом виде	1	1
