N	3gram	Medvedev_U	EvropaiE
1	в то же	3	15
2	то же время	3	14
3	и в то	1	8
4	с одной стороны	1	8
5	в том что	2	6
6	само по себе	1	4
7	не только в	1	4
8	то ни было	3	4
9	бы то ни	3	4
10	друг с другом	1	3
11	в последние годы	1	3
12	в этом смысле	2	3
13	хотя бы и	2	3
14	между тем в	1	3
15	можно сказать что	1	3
16	и прежде всего	1	3
17	в этом отношении	2	3
18	и в частности	2	2
19	но в то	1	2
20	не может быть	4	2
21	на то что	1	2
22	в данном случае	1	2
23	с другой стороны	3	2
24	по нашему мнению	3	2
25	или меньшей степени	1	1
26	говорить не о	1	1
27	в противном случае	2	1
28	что для него	1	1
29	и не только	1	1
30	к которой принадлежит	1	1
31	другой стороны в	1	1
32	же время не	1	1
33	большей или меньшей	1	1
34	в значительной мере	1	1
35	тех или иных	2	1
36	значительный сдвиг в	1	1
37	не могут быть	2	1
38	сводится именно к	1	1
39	с тем что	1	1
40	относятся к области	1	1
41	они относятся к	1	1
42	в своей совокупности	1	1
43	более или менее	1	1
44	в большей или	1	1
