N	2gram	Losev_Vlad	Morfolog
1	и т	3	62
2	может быть	12	61
3	т д	3	60
4	и пр	1	45
5	таким образом	6	26
6	так как	11	20
7	мы имеем	2	19
8	не может	12	19
9	в этом	30	18
10	в этих	5	17
11	представляет собой	1	17
12	и в	56	17
13	и не	33	16
14	перед нами	1	14
15	с этим	3	14
16	прежде всего	5	14
17	по существу	4	13
18	при помощи	1	12
19	связи с	7	12
20	и др	1	12
21	а не	5	11
22	заметить что	2	11
23	что в	24	10
24	то же	10	10
25	вопрос о	1	10
26	мы увидим	4	10
27	но если	1	10
28	этом случае	1	10
29	в том	26	10
30	так и	11	10
31	что и	6	10
32	в связи	9	10
33	то что	30	10
34	все же	11	9
35	с другой	3	9
36	но и	26	9
37	не только	35	8
38	в результате	6	8
39	мы не	2	8
40	в качестве	7	8
41	но не	5	8
42	в тех	3	8
43	а в	20	8
44	как мы	17	8
45	один из	4	7
46	и здесь	3	7
47	если в	1	7
48	не могут	2	7
49	не менее	9	7
50	том что	22	7
51	потому что	16	7
52	по отношению	1	7
53	наряду с	1	7
54	точки зрения	4	7
55	как это	11	7
56	тем не	8	7
57	а также	12	7
58	и другие	2	6
59	о том	13	6
60	большей частью	1	6
61	как бы	5	6
62	увидим ниже	5	6
63	но это	6	6
64	это не	3	6
65	в нашем	5	6
66	или в	1	6
67	и как	7	6
68	вовсе не	8	6
69	во всех	4	6
70	очень часто	2	6
71	может считаться	1	6
72	также и	13	6
73	во время	4	6
74	этот момент	2	5
75	из которых	1	5
76	другой стороны	3	5
77	что он	22	5
78	как в	6	5
79	со стороны	5	5
80	видно что	5	5
81	то это	4	5
82	хотя бы	5	5
83	было бы	7	5
84	в точности	1	5
85	к тому	5	5
86	ничего не	4	5
87	что они	4	5
88	не будем	3	5
89	хотя и	9	5
90	то мы	3	5
91	прежде чем	1	5
92	тому что	1	5
93	учение о	2	5
94	ясно что	2	5
95	все эти	6	5
96	одна из	1	5
97	на его	7	5
98	то можно	1	5
99	об этом	13	5
100	№ здесь	1	5
101	в других	1	5
102	мы можем	1	5
103	он не	13	5
104	то перед	1	5
105	далеко не	1	5
106	и затем	2	5
107	главным образом	5	5
108	в целом	3	5
109	раньше чем	1	5
110	и к	10	4
111	есть и	1	4
112	на этом	3	4
113	как и	7	4
114	обращается в	1	4
115	самом деле	1	4
116	но все	3	4
117	тем что	2	4
118	никто не	1	4
119	уже не	6	4
120	еще не	2	4
121	тех же	3	4
122	того чтобы	4	4
123	говорить о	1	4
124	на пути	1	4
125	так же	4	4
126	сказать что	14	4
127	на него	3	4
128	на котором	2	4
129	и для	4	4
130	из них	3	4
131	но в	19	4
132	его самого	1	4
133	несмотря на	7	4
134	на самом	1	4
135	его в	3	4
136	что его	8	4
137	с теми	2	4
138	случае не	1	4
139	к этому	11	4
140	в то	15	4
141	мы уже	8	4
142	от того	2	4
143	о его	7	4
144	можно ограничиться	1	4
145	оно может	1	4
146	независимо от	1	4
147	три года	2	4
148	всего это	1	3
149	заметим что	1	3
150	то время	6	3
151	раз он	1	3
152	та же	1	3
153	только что	2	3
154	с этой	4	3
155	и при	2	3
156	по всему	1	3
157	что это	2	3
158	это уже	1	3
159	в сущности	2	3
160	одному из	1	3
161	ни в	4	3
162	от другого	1	3
163	только в	11	3
164	живые существа	1	3
165	здесь мы	4	3
166	время как	3	3
167	если это	2	3
168	можно назвать	1	3
169	отправляется в	1	3
170	и другим	1	3
171	есть нечто	2	3
