N	4gram	Losev_Dial	Komedia
1	в то же время	3	16
2	в то время как	6	9
3	бы то ни было	1	7
4	не говоря уже о	6	6
5	ни в чем не	1	3
6	с этой точки зрения	4	2
7	с одной стороны и	1	2
8	в том что в	1	2
9	одних и тех же	2	2
10	и в то же	2	2
11	мы имеем в виду	1	2
12	и в том что	1	1
13	не что иное как	6	1
14	ни в коем случае	4	1
15	и за ее пределами	1	1
16	вопрос о том как	1	1
17	с точки зрения самого	1	1
18	до тех пор пока	1	1
19	и во всяком случае	1	1
20	нечего уж говорить о	1	1
21	в том что они	1	1
22	в связи с этим	1	1
23	тем не менее в	1	1
24	по крайней мере с	1	1
25	по самой своей природе	1	1
26	сама по себе не	1	1
27	то время как в	1	1
28	и с этой точки	2	1
29	ничем не отличаются от	1	1
30	и т д все	1	1
31	так же как и	1	1
32	одна и та же	3	1
