N	3gram	Trubetskoy	OGranits
1	с точки зрения	6	5
2	не может быть	1	4
3	по отношению к	1	3
4	в том что	3	2
5	ничего общего с	2	2
6	в данном случае	1	2
7	в самом деле	1	2
8	с одной стороны	7	2
9	с другой стороны	1	2
10	с самого начала	2	2
11	и в индии	1	1
12	говорить не приходится	1	1
13	и тот же	1	1
14	чуть ли не	1	1
15	иметь в виду	1	1
16	но в то	1	1
17	от тела и	1	1
18	в значительной мере	2	1
19	то не только	1	1
20	так же как	3	1
21	на то что	2	1
22	для того чтобы	5	1
23	и никогда не	1	1
24	во всей своей	1	1
25	и превращается в	1	1
26	но тем не	1	1
27	с телом и	1	1
28	а не как	1	1
29	в которых он	1	1
30	с одним из	2	1
31	то или иное	2	1
32	что в этом	1	1
33	один и тот	1	1
34	в отличие от	1	1
35	этой точки зрения	2	1
36	все же есть	1	1
37	в связи с	3	1
38	то же самое	2	1
39	но далеко не	1	1
40	тем не менее	3	1
41	несмотря на все	1	1
42	только то что	1	1
43	в этом отношении	2	1
44	то же время	2	1
45	более или менее	5	1
46	в то же	2	1
47	с этой точки	2	1
48	и вместе с	4	1
49	состоит в том	1	1
50	может быть и	2	1
