N	4gram	Bakhtin_Pr	Psycholo
1	одной и той же	1	12
2	одно и то же	1	7
3	не что иное как	1	6
4	один и тот же	1	5
5	одним и тем же	1	4
6	все более и более	1	4
7	в собственном смысле слова	1	4
8	состоит в том что	1	4
9	никогда не может быть	1	3
10	в то же время	8	3
11	значит ли это что	1	3
12	дело в том что	2	3
13	ошибемся если скажем что	1	2
14	что с точки зрения	1	2
15	до сих пор в	1	2
16	по самой своей природе	1	2
17	с другой стороны и	1	2
18	и не может быть	5	2
19	в том что на	1	2
20	или во всяком случае	1	2
21	есть не что иное	1	2
22	и с точки зрения	1	1
23	с нашей точки зрения	1	1
24	как мы уже говорили	2	1
25	собственном смысле слова и	1	1
26	мы уже знаем что	1	1
27	и до наших дней	2	1
28	их друг от друга	1	1
29	в нем нет ни	2	1
30	как если бы оно	1	1
31	к одному и тому	2	1
32	составить себе представление о	1	1
33	между характером героя и	1	1
34	в разных направлениях и	1	1
35	и в конце концов	1	1
36	одному и тому же	2	1
37	отношение к другим людям	1	1
38	которой мы говорили в	1	1
39	то что когда-то было	1	1
40	в том что все	1	1
41	о которой мы говорили	1	1
42	а не то что	1	1
43	мы старались показать что	1	1
44	в средние века в	3	1
45	то же самое мы	1	1
46	есть все то что	1	1
47	с точки зрения того	1	1
48	в таком случае это	1	1
49	в одной плоскости с	1	1
50	скорее на то что	1	1
51	как в данном случае	1	1
52	то это вовсе не	1	1
53	а также и в	1	1
54	мы уже указывали на	1	1
55	и тот и другой	1	1
56	с точки зрения своего	2	1
57	в том числе и	13	1
58	мы уже говорили что	1	1
59	но в таком случае	1	1
60	которые сами по себе	1	1
61	с самого начала в	1	1
62	и во всех других	1	1
63	одну и ту же	1	1
64	на то что он	1	1
65	мы обнаружим и в	1	1
66	то что он не	1	1
67	мы имеем дело с	1	1
68	до сих пор недостаточно	1	1
69	нельзя не согласиться с	1	1
