N	2gram	Ircho_Kome	Vladivir
1	и в	40	116
2	то что	8	71
3	и не	19	67
4	в году	3	65
5	у него	6	65
6	не только	12	65
7	в этом	9	53
8	в том	19	52
9	том что	19	51
10	что в	12	48
11	но и	14	47
12	в конце	7	41
13	в его	8	40
14	и с	8	39
15	то есть	1	37
16	и даже	5	36
17	сказать что	1	36
18	также и	1	36
19	там же	4	35
20	так что	6	35
21	потому что	8	33
22	что он	11	32
23	еще и	2	32
24	не может	3	31
25	о том	12	30
26	только в	6	30
27	как мы	5	29
28	для него	1	29
29	вовсе не	3	27
30	а в	9	27
31	не было	1	26
32	а к	2	25
33	в себе	3	25
34	но в	6	25
35	в то	14	25
36	и его	17	25
37	а также	5	24
38	даже и	1	24
39	философии и	2	23
40	точки зрения	7	23
41	между прочим	2	23
42	он не	5	23
43	может быть	16	23
44	что же	2	23
45	он был	4	22
46	ни в	9	22
47	так как	6	22
48	в виде	3	22
49	об этом	2	22
50	в своей	3	21
51	соч с	1	21
52	вместе с	8	21
53	и что	2	20
54	в своем	6	20
55	прежде всего	8	20
56	не менее	6	19
57	в дальнейшем	1	19
58	по поводу	7	19
59	как раз	4	19
60	тем не	3	19
61	таким образом	13	19
62	в течение	5	19
63	так и	17	19
64	и потому	1	19
65	как и	12	18
66	не мог	4	18
67	не в	8	18
68	не был	1	18
69	хотя и	6	18
70	как это	7	18
71	с его	4	18
72	то это	3	17
73	что и	10	17
74	в этой	9	17
75	едва ли	16	17
76	и если	2	17
77	а не	1	17
78	у нас	3	17
79	все же	7	16
80	к тому	15	16
81	совсем не	2	16
82	для себя	2	16
83	и все	4	16
84	было бы	8	16
85	того что	1	16
86	в котором	6	16
87	а н	1	16
88	и к	2	15
89	то же	7	15
90	в своих	2	15
91	под названием	2	15
92	к этому	8	15
93	в эти	2	15
94	несмотря на	5	15
95	в связи	3	15
96	разного рода	1	15
97	до конца	3	15
98	но это	2	15
99	это было	5	15
100	того же	4	14
101	все эти	1	14
102	тут же	2	14
103	же касается	1	14
104	мы уже	1	14
105	и на	9	14
106	уже в	9	14
107	и как	3	14
108	во всем	1	13
109	в результате	5	13
110	с тем	5	13
111	так же	4	13
112	на этот	5	13
113	и от	2	13
114	что это	5	13
115	то время	8	13
116	да и	5	13
117	жизни и	4	13
118	по себе	2	12
119	только на	2	12
120	и это	3	12
121	и у	3	12
122	и по	6	12
123	в нем	8	12
124	то в	1	12
125	если не	1	12
126	всяком случае	4	12
127	ничего не	4	12
128	во всяком	4	12
129	связи с	3	12
130	при этом	5	11
131	него в	1	11
132	более или	1	11
133	т i	1	11
134	всякого рода	1	11
135	в данном	1	11
136	хотя бы	2	11
137	тому же	14	11
138	в которой	9	11
139	на то	3	11
140	и здесь	6	11
141	в основном	1	11
142	в отношении	6	11
143	еще в	9	11
144	все это	7	11
145	то он	1	11
146	или менее	2	11
147	и о	3	11
148	конце концов	4	11
149	в самом	5	10
150	даже в	3	10
151	года в	1	10
152	что все	1	10
153	такого рода	6	10
154	в качестве	8	10
155	что его	1	10
156	можно было	5	10
157	что для	1	10
158	отнюдь не	2	10
159	к нему	5	10
160	с ним	1	10
161	еще не	7	10
162	которую он	3	10
163	в истории	10	10
164	о нем	1	10
165	в ней	2	10
166	но не	3	10
167	о чем	2	9
168	и сам	5	9
169	именно в	5	9
170	с этим	5	9
171	с другой	7	9
172	мы знаем	5	9
173	и притом	2	9
174	но он	2	9
175	и можно	2	9
176	а только	1	9
177	а с	1	9
178	этом смысле	2	9
179	из этого	2	9
180	в начале	7	9
181	это время	5	9
182	отношения к	1	9
183	это не	2	9
184	же время	5	9
185	ни с	1	9
186	по существу	1	9
187	этот раз	5	9
188	что касается	5	9
189	можно судить	4	9
190	в целом	6	9
191	с этой	3	8
192	не столько	1	8
193	в этих	5	8
194	тем что	5	8
195	в это	3	8
196	которой он	2	8
197	в этот	1	8
198	конечно не	1	8
199	себя в	2	8
200	и он	1	8
201	в чем	3	8
202	i с	4	8
203	и особенно	7	8
204	как в	8	8
205	со стороны	3	8
206	и и	3	8
207	после смерти	6	8
208	как бы	3	8
209	и для	4	8
210	тот же	5	8
211	течение всей	1	8
212	и я	2	8
213	когда он	1	8
214	из этих	5	8
215	отношение к	3	8
216	мы и	1	7
217	к этой	1	7
218	в одном	10	7
219	в них	7	7
220	но все	4	7
221	к ней	2	7
222	на первый	1	7
223	точно так	1	7
224	в нашем	2	7
225	за пределы	2	7
226	даже не	4	7
227	о его	5	7
228	в доме	6	7
229	который был	1	7
230	мы видели	2	7
231	в я	1	7
232	здесь мы	3	7
233	если бы	4	7
234	эти годы	2	7
235	судить по	3	7
236	к его	3	7
237	не имеет	1	7
238	в каком	1	7
239	бы и	1	7
240	и вот	4	7
241	того чтобы	4	7
242	из его	6	7
243	но если	4	7
244	не без	1	7
245	к концу	3	7
246	на его	5	7
247	первый план	1	7
248	в таком	1	7
249	то и	3	7
250	и ни	1	7
251	е в	2	7
252	как он	2	7
253	мы бы	1	7
254	же в	7	7
255	можно говорить	1	6
256	и очень	2	6
257	тому что	4	6
258	те же	1	6
259	в виду	2	6
260	другой стороны	6	6
261	уже на	1	6
262	но у	1	6
263	этого последнего	1	6
264	для того	3	6
265	видно что	1	6
266	в отличие	3	6
267	на него	4	6
268	если мы	1	6
269	той же	3	6
270	поскольку в	1	6
271	по мнению	2	6
272	его в	6	6
273	том же	1	6
274	не говорит	1	6
275	что она	3	6
276	на себя	5	6
277	время как	6	6
278	по своей	2	6
279	не раз	3	6
280	почему же	1	6
281	главным образом	4	6
282	сказать о	2	6
283	не с	1	6
284	и из	2	6
285	и вполне	1	6
286	должен был	1	6
287	так или	4	6
288	в в	8	6
289	нельзя сказать	1	6
290	и теперь	3	6
291	на основании	7	6
292	данном случае	1	6
293	мы не	4	6
294	здесь в	4	6
295	или иначе	4	6
296	в общем	2	6
297	к своему	1	6
298	по своему	5	6
299	по его	2	6
300	не говоря	4	6
301	жизнь и	2	6
302	ко всему	2	6
303	тем более	1	6
304	отличие от	4	6
305	само собой	2	6
306	были для	1	6
307	в жизни	1	6
308	от того	3	6
309	такой же	2	6
310	в период	5	6
311	само по	1	6
312	что на	4	6
313	говоря уже	4	5
314	еще более	2	5
315	собой разумеется	1	5
316	на эту	1	5
317	вопрос о	5	5
318	говорит что	1	5
319	не вполне	2	5
320	как на	2	5
321	и еще	5	5
322	него не	1	5
323	быть в	1	5
324	из них	16	5
325	бы то	4	5
326	что они	4	5
327	во всех	4	5
328	что у	6	5
329	а наоборот	1	5
330	а и	1	5
331	и за	3	5
332	для своего	2	5
333	эти три	1	5
334	в философии	2	5
335	для его	1	5
336	то ни	4	5
337	и весьма	1	5
338	и тем	2	5
339	всей этой	1	5
340	он в	1	5
341	с которым	1	5
342	в очень	1	5
343	во время	11	5
344	можно только	1	5
345	однако и	1	5
