N	3gram	Tiupa_Vved	Vvedenie
1	для того чтобы	1	22
2	в том что	10	15
3	о том что	6	13
4	не может быть	6	10
5	в этом смысле	1	10
6	тем не менее	3	9
7	мере в какой	2	6
8	в той мере	2	6
9	в самом деле	2	6
10	в то же	5	6
11	в этом случае	1	6
12	той мере в	2	6
13	то же время	4	6
14	в том чтобы	2	5
15	не что иное	1	5
16	что иное как	1	5
17	с другой стороны	2	5
18	во всяком случае	3	5
19	по отношению к	11	4
20	по крайней мере	1	4
21	по сравнению с	1	4
22	само по себе	1	4
23	можно было бы	2	4
24	не только в	3	4
25	в данном случае	15	4
26	в отличие от	11	4
27	с одной стороны	9	4
28	в этом отношении	7	4
29	и в этом	1	4
30	одной стороны и	3	3
31	той или иной	4	3
32	большей или меньшей	1	3
33	и в самом	1	3
34	можно сказать что	1	3
35	дело в том	1	3
36	но в то	1	3
37	как мы видели	3	3
38	в зависимости от	1	3
39	то же самое	2	3
40	в известном смысле	1	3
41	в этих случаях	2	2
42	можно представить себе	1	2
43	в свою очередь	5	2
44	как будто бы	3	2
45	не в том	3	2
46	дело не с	1	2
47	обратим внимание на	2	2
48	как об этом	1	2
49	не до конца	1	2
50	значении этого термина	1	2
51	первый из этих	1	2
52	и со стороны	1	2
53	том или ином	1	2
54	что же касается	2	2
55	и той же	1	2
56	на котором он	1	2
57	в известной мере	1	2
58	и то же	1	2
59	состоит в том	2	2
60	то что могло	1	2
61	в первом случае	1	2
62	одно и то	1	2
63	одной и той	1	2
64	в соответствии с	8	2
65	в том или	1	2
66	и того же	1	2
67	подобно тому как	3	2
68	в связи с	1	2
69	к этому времени	1	2
70	одного и того	1	2
71	а также и	2	2
72	в ряде случаев	1	1
73	собой не что	1	1
74	в той или	1	1
75	в этой системе	1	1
76	прошлом и настоящем	1	1
77	внимание на то	1	1
78	в науке о	1	1
79	в слове но	1	1
80	уже не сам	1	1
81	как своего рода	1	1
82	в одном и	1	1
83	бы и не	2	1
84	в том же	1	1
85	все то что	1	1
86	имеет дело не	1	1
87	нельзя признать вполне	1	1
88	слова а не	1	1
89	или иной степени	1	1
90	дело не только	1	1
91	не со стороны	1	1
92	значение только в	1	1
93	в том как	2	1
94	но и в	3	1
95	называет себя в	1	1
96	в том смысле	1	1
97	не с языком	1	1
98	в том например	1	1
99	о методе и	1	1
100	как он сам	1	1
101	на самом деле	4	1
102	то или иное	1	1
103	здесь как и	1	1
104	в далеком прошлом	1	1
105	таким образом для	1	1
106	в том числе	1	1
107	все что может	1	1
108	он мог бы	1	1
109	который тем не	1	1
110	если бы оно	1	1
111	из которых в	1	1
112	в новейшее время	1	1
113	более или менее	2	1
114	в отказе от	1	1
115	того или иного	1	1
116	в частности в	2	1
117	в таком случае	1	1
118	не только с	1	1
119	может быть вполне	1	1
120	может быть только	1	1
121	отличие от первых	1	1
122	для этого необходимы	1	1
123	не было бы	1	1
124	на этом пути	1	1
125	каждой из таких	1	1
126	потому что она	1	1
127	то что можно	1	1
128	к данному типу	1	1
129	в настоящее время	1	1
130	бы оно было	1	1
131	во всех его	1	1
132	может быть не	3	1
133	в обоих случаях	1	1
134	науке о литературе	1	1
135	прежде всего к	1	1
136	как раз в	1	1
137	сомневаться в том	1	1
138	так же как	1	1
139	только потому что	1	1
140	и прежде всего	1	1
141	как одна из	1	1
142	но если бы	1	1
143	далеком прошлом и	1	1
144	а в том	3	1
145	не следует забывать	1	1
146	с самого начала	1	1
147	в нем не	1	1
148	может быть названа	1	1
149	не менее не	1	1
150	как если бы	1	1
151	принципе не может	1	1
152	но в этом	1	1
153	этих случаях в	1	1
154	она может быть	1	1
155	заключает в себе	4	1
156	в общих чертах	1	1
157	к тому что	1	1
158	из того что	1	1
159	а не только	1	1
160	человеческого общения и	1	1
161	том смысле что	1	1
162	имея в виду	1	1
163	в значительной степени	2	1
164	прежде всего в	1	1
165	как уже говорилось	1	1
166	имеем дело с	4	1
167	в принципе не	1	1
168	в каждой из	1	1
169	значительной степени это	1	1
170	мы имеем дело	5	1
171	же самое и	1	1
