N	2gram	Bakhtin_sl	Literetu
1	а не	29	50
2	и не	32	47
3	не только	37	46
4	и в	69	44
5	может быть	40	43
6	при этом	12	41
7	но и	37	41
8	в том	7	39
9	в этом	21	38
10	том что	6	32
11	такого рода	2	30
12	в частности	3	30
13	то что	2	29
14	в мире	1	28
15	в качестве	4	27
16	то же	17	26
17	как и	8	23
18	в то	17	23
19	себя в	14	22
20	не в	14	22
21	того что	4	22
22	так и	22	22
23	не может	27	22
24	х годов	2	21
25	же время	15	21
26	и т.п	1	20
27	в себе	3	20
28	прежде всего	14	19
29	как бы	16	18
30	с другой	8	17
31	точки зрения	24	17
32	то есть	46	17
33	в его	19	17
34	в жизни	1	16
35	сознания в	2	16
36	в этой	1	16
37	не менее	4	15
38	только в	9	15
39	со стороны	1	15
40	в целом	3	15
41	и даже	11	14
42	по отношению	2	14
43	однако в	3	14
44	что он	2	14
45	в рамках	1	14
46	уже не	5	13
47	в своем	9	13
48	с одной	7	13
49	как это	3	13
50	но не	7	13
51	и его	45	13
52	в своей	8	12
53	о том	5	12
54	в данном	5	12
55	одной стороны	7	12
56	к себе	1	12
57	одним из	5	12
58	еще не	9	12
59	отношению к	2	12
60	а также	5	12
61	не столько	4	11
62	в другом	4	11
63	никогда не	9	11
64	и сам	4	11
65	столь же	2	11
66	еще в	1	11
67	вместе с	3	11
68	как в	18	11
69	в основе	8	11
70	в отличие	12	11
71	с его	8	11
72	данном случае	3	11
73	это не	8	11
74	отличие от	13	11
75	или иначе	2	11
76	а в	10	11
77	даже в	4	10
78	в противовес	2	10
79	из них	3	10
80	в ее	2	10
81	что в	3	10
82	и на	17	10
83	так или	1	10
84	жизни в	2	10
85	потому что	2	10
86	этом отношении	2	10
87	жизни и	5	10
88	отнюдь не	1	10
89	в области	1	10
90	с этой	3	9
91	на смену	1	9
92	к тому	3	9
93	связи с	4	9
94	один из	9	9
95	в поэзии	4	9
96	одно из	1	9
97	в начале	1	9
98	лишь в	6	9
99	же в	2	9
100	тем что	1	8
101	все же	10	8
102	одна из	6	8
103	того же	7	8
104	с точки	11	8
105	как раз	3	8
106	что не	1	8
107	в конце	1	8
108	о себе	2	8
109	особого рода	1	8
110	а именно	2	8
111	слова и	21	8
112	той же	3	8
113	но в	13	8
114	уже в	2	8
115	для него	8	8
116	xix века	2	8
117	по существу	3	8
118	и как	3	8
119	мира в	2	8
120	в самом	6	7
121	в одном	4	7
122	другой стороны	5	7
123	для всех	2	7
124	именно в	5	7
125	на фоне	11	7
126	для этого	4	7
127	в кругозоре	1	7
128	по преимуществу	5	7
129	не как	4	7
130	он не	5	7
131	и тем	3	7
132	и с	10	7
133	в нем	44	7
134	по своей	2	7
135	наконец в	5	7
136	в сфере	2	7
137	до конца	25	7
138	друг друга	3	7
139	и для	7	7
140	перестает быть	2	7
141	он и	1	7
142	у нас	2	7
143	в их	6	7
144	так в	2	7
145	человека в	5	7
146	и других	5	7
147	а затем	1	6
148	в виду	2	6
149	например в	6	6
150	как на	1	6
151	и он	1	6
152	у него	5	6
153	его в	7	6
154	не было	4	6
155	эстетический объект	1	6
156	с жизнью	1	6
157	во всех	25	6
158	в каждом	5	6
159	было бы	3	6
160	с ее	6	6
161	то в	2	6
162	с миром	1	6
163	как о	2	6
164	в слове	11	6
165	поэзии и	4	6
166	то и	1	6
167	одного из	2	6
168	и др	17	6
169	и то	2	6
170	том числе	1	6
171	в ней	7	6
172	далеко не	7	6
173	при всем	3	6
174	и только	2	6
175	и наконец	9	6
176	и к	9	5
177	в связи	2	5
178	с собой	1	5
179	хотя бы	6	5
180	в нашем	1	5
181	он сам	1	5
182	всего в	1	5
183	должно быть	3	5
184	несмотря на	2	5
185	ни было	2	5
186	тем не	2	5
187	и за	1	5
188	не знает	3	5
189	по аналогии	1	5
190	одном из	1	5
191	в себя	3	5
192	этом как	1	5
193	этой точки	1	5
194	между тем	5	5
195	так что	2	5
196	все более	1	5
197	в чужом	4	5
198	эти слова	4	5
199	обращается к	1	5
200	во втором	1	5
201	в сущности	18	5
202	и одновременно	2	5
203	в романе	64	5
204	себя и	2	5
205	не с	5	5
206	идет о	1	5
207	и если	1	5
208	автора и	6	5
209	быть не	1	5
210	без другого	3	5
211	так как	7	5
212	мир в	1	5
213	мы не	4	5
214	в художественной	1	5
215	в литературе	1	5
216	как у	2	5
217	что и	2	5
218	но с	1	5
219	но уже	2	5
220	этот путь	1	5
221	как он	2	5
222	место в	2	5
223	или иной	13	5
224	не к	1	5
225	более того	5	5
226	которая в	1	4
227	не исключают	1	4
228	не бывает	1	4
229	и само	2	4
230	в них	11	4
231	героя как	1	4
232	только для	1	4
233	жизни на	1	4
234	и нет	3	4
235	во всяком	9	4
236	входит в	8	4
237	для того	2	4
238	не всегда	1	4
239	в руках	1	4
240	только на	3	4
241	за собой	1	4
242	как мы	15	4
243	во всей	1	4
244	к этому	3	4
245	бы то	1	4
246	мышления и	6	4
247	хотя и	4	4
248	для своего	1	4
249	все время	4	4
250	что его	1	4
251	века в	2	4
252	в сторону	1	4
253	здесь как	3	4
254	могли бы	2	4
255	с образом	1	4
256	на этом	4	4
257	от самого	1	4
258	ту же	5	4
259	то ни	1	4
260	и что	2	4
261	художника в	1	4
262	за пределы	6	4
263	к своему	11	4
264	могут быть	25	4
265	и есть	2	4
266	можно сказать	2	4
267	из этого	3	4
268	а потому	1	4
269	сводится к	1	4
270	со всеми	3	4
271	от своего	1	4
272	и все	9	4
273	в пределах	27	4
274	отношения к	3	4
275	в творческом	1	4
276	приводит к	2	4
277	бы не	1	4
278	знает что	1	4
279	в лирике	1	4
280	аналогии с	1	4
281	все они	9	4
282	нет ничего	1	4
283	совершенно не	2	4
284	то он	1	4
285	не является	3	4
286	тех же	1	4
287	и выше	1	4
288	в свою	4	4
289	на том	2	4
290	каждый из	1	4
291	одной из	4	4
292	но это	3	4
293	таким образом	16	4
294	в формах	1	4
295	как к	5	4
296	для нас	7	4
297	и прежде	1	4
298	на его	9	4
299	для которого	1	4
300	вовсе не	16	4
301	ко всему	1	4
302	на то	2	4
303	себе самому	1	4
304	нуждается в	3	4
305	все что	1	3
306	в душе	1	3
307	мы и	2	3
308	же и	4	3
309	роман или	1	3
310	о чем	1	3
311	мысли и	1	3
312	в этих	8	3
313	по себе	4	3
314	в первом	3	3
315	мира и	4	3
316	речь идет	1	3
317	и того	1	3
318	он был	1	3
319	так же	2	3
320	свою очередь	3	3
321	и еще	1	3
322	над словом	1	3
323	установка на	8	3
324	мы чувствуем	1	3
325	творческого процесса	1	3
326	с ним	12	3
327	не просто	2	3
328	крайней мере	1	3
329	к общему	1	3
330	говорить о	2	3
331	сознания с	1	3
332	именно так	1	3
