N	4gram	Propp_Isto	Narrotol
1	состоит в том что	1	6
2	дело не только в	1	2
3	мысль о том что	1	2
4	и не может быть	1	2
5	точно так же как	1	2
6	и не могло быть	1	1
7	с этой точки зрения	3	1
8	друг на друга но	1	1
9	видит в нем своего	1	1
10	с одной стороны и	1	1
11	точно так же в	1	1
12	в данном случае в	1	1
13	одна и та же	1	1
14	бы то ни было	1	1
15	в данном случае это	1	1
16	в то время как	4	1
17	начинается с того что	3	1
18	один и тот же	1	1
19	все же не может	1	1
20	о том что в	2	1
21	по мере того как	1	1
22	в том что он	1	1
23	в том что на	1	1
24	но и в других	2	1
25	же как и в	1	1
26	во всяком случае в	1	1
27	ответ на этот вопрос	1	1
