N	3gram	Savitsky_P	Vvedenie
1	и т д	1	39
2	для того чтобы	1	22
3	в том что	4	15
4	не может быть	1	10
5	в этом смысле	1	10
6	но также и	1	10
7	в применении к	1	6
8	в то же	7	6
9	то же время	7	6
10	с другой стороны	1	5
11	во всяком случае	1	5
12	с точки зрения	3	4
13	по сравнению с	1	4
14	само по себе	1	4
15	не только в	4	4
16	в отличие от	1	4
17	с одной стороны	3	4
18	и в этом	1	4
19	не только как	1	4
20	одной стороны и	2	3
21	вместе с тем	1	3
22	заключается в том	2	3
23	и именно в	1	3
24	в собственном смысле	1	3
25	но в то	1	3
26	можно говорить о	1	3
27	и то что	1	3
28	в известном смысле	1	3
29	в том виде	1	3
30	в с е	1	3
31	как она есть	1	2
32	не в том	1	2
33	в значительной мере	2	2
34	в сопоставлении с	1	2
35	хотя бы и	1	2
36	что в этом	1	2
37	же как явление	1	1
38	тех пор пока	1	1
39	не входят в	1	1
40	в ней только	1	1
41	но и в	2	1
42	в xix в	1	1
43	которые были бы	1	1
44	в гораздо большей	4	1
45	главным образом тем	1	1
46	в том числе	2	1
47	место в ряду	1	1
48	более или менее	1	1
49	до тех пор	1	1
50	в частности в	1	1
51	для того кто	1	1
52	известном смысле могут	1	1
53	не было бы	1	1
54	но в общем	1	1
55	философской мысли но	1	1
56	в определенном смысле	1	1
57	совершенно ясно что	1	1
58	именно потому что	1	1
59	в настоящее время	1	1
60	так же как	1	1
61	во многих случаях	1	1
62	как одна из	1	1
63	том что в	1	1
64	в сравнении с	3	1
65	не может исчезнуть	1	1
66	и как раз	2	1
67	но в этом	1	1
68	заключает в себе	2	1
69	же время в	1	1
70	та или иная	1	1
71	первой половины xix	1	1
72	науки и техники	1	1
