1	в то же	7	13
2	то же время	7	13
3	но в то	1	7
4	для того чтобы	5	5
5	в связи с	3	5
6	с другой стороны	6	5
7	шире и глубже	1	4
8	с точки зрения	3	4
9	с одной стороны	3	4
10	в том числе	3	4
11	и прежде всего	2	3
12	как раз в	1	3
13	том числе и	2	3
14	в нашем примере	1	3
15	в xix веке	1	3
16	в отличие от	7	3
17	о том что	1	3
18	той или иной	5	2
19	мы имеем в	3	2
20	по отношению к	10	2
21	и в то	2	2
22	в настоящее время	1	2
23	можно сказать что	3	2
24	в том что	8	2
25	века и в	1	2
26	как и в	1	2
27	он и сам	1	2
28	подобно тому как	3	2
29	имеем в виду	3	2
30	это и есть	1	2
31	тех или иных	2	2
32	одной стороны и	1	2
33	все то что	1	2
34	может быть и	2	2
35	только то что	1	2
36	и в художественном	1	2
37	не может быть	4	2
38	таким образом и	1	2
39	в значительной степени	2	2
40	в свою очередь	2	2
41	в той или	2	2
42	то что может	1	1
43	в этом случае	1	1
44	именно эта сторона	1	1
45	жизни то есть	1	1
46	в таких случаях	1	1
47	прежде всего в	1	1
48	в свое время	1	1
49	и тем же	1	1
50	не менее важным	1	1
51	в полной мере	1	1
52	в художественном произведении	1	1
53	том случае если	1	1
54	своей причастности к	1	1
55	и в частности	1	1
56	более или менее	6	1
57	и на его	1	1
58	и др в	1	1
59	в области литературы	1	1
60	существенно связаны с	1	1
61	во втором случае	1	1
62	в основе своей	2	1
63	войне и мире	2	1
64	имея в виду	1	1
65	по ту сторону	1	1
66	в то время	1	1
67	ни в коем	2	1
68	есть не что	1	1
69	какой бы то	1	1
70	что он это	1	1
71	что иное как	1	1
72	своему смыслу и	1	1
73	мы встречаемся с	1	1
74	и состоит что	1	1
75	же время они	1	1
76	но только не	1	1
77	то ни было	2	1
78	что в основе	2	1
79	не входит в	1	1
80	он же и	1	1
81	в данном контексте	2	1
82	одного и того	3	1
83	в узком и	1	1
84	отношение к объекту	1	1
85	в новое время	1	1
86	в последней главе	1	1
87	по своему смыслу	1	1
88	не что иное	1	1
89	до известной степени	2	1
90	в области художественного	1	1
91	и в сущности	1	1
92	в его лице	1	1
93	в литературе в	1	1
94	связи с этим	1	1
95	заключается в том	1	1
96	но только для	1	1
97	или иной форме	1	1
98	и в этой	1	1
99	в конечном счете	5	1
100	таким образом что	1	1
101	а также в	1	1
102	в особенности в	1	1
103	включает в себя	2	1
104	к одному из	1	1
105	один из характернейших	1	1
106	одним и тем	1	1
107	бы то ни	2	1
108	того же типа	1	1
109	об этом так	1	1
110	при этом и	1	1
111	в одной из	1	1
112	в том случае	1	1
113	встречаемся с ним	1	1
114	именно в этом	1	1
115	и здесь остается	1	1
116	языка но и	1	1
117	в коем случае	2	1
118	между ними здесь	1	1
119	особое отношение к	1	1
120	же время оно	1	1
121	и того же	3	1
122	и в самом	3	1
123	они существенно связаны	1	1
124	по своей цели	1	1
