N	4gram	Bakhtin_Pr	StatiiOP
1	дело в том что	1	9
2	в то же время	3	9
3	в то время как	1	5
4	на то что в	1	4
5	в том смысле что	1	3
6	не говоря уже о	1	3
7	и тем не менее	1	3
8	и в то же	2	2
9	но в то же	1	2
10	бы то ни было	2	2
11	не в том что	1	2
12	и в этом отношении	1	2
13	именно в том что	1	1
14	какие бы то ни	1	1
15	и в том и	1	1
16	во что бы то	1	1
17	и в области изучения	1	1
18	не выходя за пределы	2	1
19	которой можно было бы	1	1
20	она не могла бы	1	1
21	что бы то ни	1	1
22	если бы все эти	1	1
23	между тем как в	2	1
24	бы они ни были	1	1
25	иметь в виду что	1	1
26	с другой же стороны	2	1
27	как бы они ни	1	1
28	с одной стороны в	1	1
29	но в большинстве случаев	1	1
30	не может быть признана	1	1
31	бы то ни стало	1	1
32	мы имеем дело с	1	1
