N	2gram	Tiupa_Lite	BTomashe
1	у нас	5	3
2	в ней	4	2
3	можно было	3	2
4	и не	19	2
5	неудивительно что	1	1
6	для которой	1	1
7	вопрос о	1	1
8	говорить о	1	1
9	творчества и	1	1
10	и о	1	1
11	о них	1	1
12	было и	1	1
13	со всем	1	1
14	и нет	4	1
15	литературы как	1	1
16	не только	29	1
17	всего в	4	1
18	таким образом	4	1
19	не было	5	1
20	в эпоху	1	1
21	прежде всего	14	1
22	и в	26	1
23	на самом	1	1
24	так и	7	1
25	признать его	1	1
26	в своей	5	1
27	во всяком	3	1
28	и потому	1	1
29	и во	1	1
30	за пределы	3	1
31	по крайней	2	1
32	с другой	11	1
33	художественного произведения	1	1
34	значение слова	1	1
35	как будто	2	1
36	совершенно не	1	1
37	не о	1	1
38	другой стороны	5	1
39	крайней мере	2	1
40	всяком случае	2	1
41	было бы	4	1
42	как таковому	1	1
43	установка на	1	1
44	не следует	1	1
45	одной из	2	1
46	в значительной	1	1
47	о художественной	1	1
48	в пределах	4	1
49	в данном	7	1
50	более что	1	1
51	должна быть	3	1
52	в области	5	1
53	далеко не	4	1
54	тем более	2	1
55	не вполне	1	1
56	то как	2	1
57	теорию литературы	1	1
58	и более	1	1
59	не все	1	1
60	никак не	2	1
61	значительной степени	1	1
62	также не	1	1
63	а не	28	1
64	отнюдь не	4	1
65	до конца	3	1
66	бы пожалуй	1	1
67	и на	5	1
68	выходит за	1	1
69	между ними	1	1
70	еще не	4	1
71	автора по	1	1
72	свободная от	1	1
73	все же	6	1
74	что в	7	1
