N	2gram	Savitsky_E	VLabPisa
1	таким образом	2	32
2	в этом	12	29
3	не только	18	26
4	и в	37	26
5	и т	1	25
6	может быть	6	23
7	и не	14	20
8	хотя бы	15	20
9	т е	9	18
10	не может	9	17
11	в процессе	4	17
12	т д	1	16
13	в его	2	15
14	в том	11	15
15	этом отношении	3	14
16	в силу	2	14
17	прежде всего	9	13
18	в качестве	14	12
19	в частности	5	12
20	как это	4	12
21	что в	21	11
22	с другой	7	11
23	из них	3	11
24	то же	15	10
25	не могут	2	10
26	о том	3	10
27	но и	14	10
28	по этому	1	10
29	для него	1	9
30	об этом	1	9
31	могут быть	2	8
32	другой стороны	2	8
33	только в	9	8
34	на основании	2	8
35	все эти	1	8
36	вместе с	2	8
37	том что	6	8
38	было бы	8	8
39	в своем	14	8
40	говорит о	3	7
41	не было	1	7
42	по отношению	1	7
43	очевидно что	3	7
44	тому что	1	7
45	как и	7	7
46	во всех	6	7
47	а не	2	7
48	то что	6	7
49	главным образом	2	7
50	же в	2	7
51	в нем	1	7
52	один из	1	6
53	более или	1	6
54	в порядке	2	6
55	все же	1	6
56	бы и	3	6
57	не в	5	6
58	между тем	8	6
59	так и	10	6
60	в себе	9	6
61	или менее	1	6
62	том же	1	6
63	и его	1	6
64	в то	16	6
65	утверждать что	2	5
66	даже в	4	5
67	в результате	3	5
68	в их	11	5
69	в них	3	5
70	связи с	1	5
71	следует понимать	1	5
72	к тому	8	5
73	не является	3	5
74	на основе	2	5
75	в одном	2	5
76	в пределах	25	5
77	же время	14	5
78	как бы	6	5
79	сказать что	4	5
80	никогда не	3	5
81	в самом	4	4
82	основных чертах	1	4
83	ее в	3	4
84	в ее	8	4
85	можно сказать	4	4
86	что для	1	4
87	в этой	2	4
88	что все	2	4
89	с тем	3	4
90	с ними	1	4
91	в своей	8	4
92	одном из	2	4
93	силу этого	1	4
94	с его	1	4
95	в связи	1	4
96	когда он	3	4
97	в сознании	1	4
98	одна из	1	4
99	можно утверждать	2	4
100	отнюдь не	9	4
101	и ее	1	4
102	и к	3	3
103	видели что	1	3
104	что оно	1	3
105	этот процесс	2	3
106	мы знаем	1	3
107	того что	7	3
108	но как	2	3
109	со своим	1	3
110	что и	3	3
111	у нас	1	3
112	сводится к	1	3
113	творчества и	1	3
114	если бы	2	3
115	или в	2	3
116	это мы	1	3
117	именно в	4	3
118	или иная	1	3
119	например в	1	3
120	между ними	2	3
121	и как	2	3
122	и художественное	1	3
123	в которых	3	3
124	большей или	1	3
125	в явлении	1	3
126	мира и	3	3
127	вовсе не	6	3
128	бы в	2	3
129	с этим	2	3
130	а в	2	3
131	что не	1	3
132	некоторые из	1	3
133	в котором	2	3
134	в основных	1	3
135	она не	2	3
136	говорить не	1	3
137	в значительной	2	3
138	но даже	4	3
139	того чтобы	6	3
140	всего лишь	3	3
141	для того	6	3
142	и их	1	3
143	вслед за	6	3
144	далеко не	2	3
145	этот вопрос	2	3
146	так же	9	3
147	при помощи	2	3
148	или меньшей	1	3
149	как на	3	3
150	та или	1	3
151	и от	3	3
152	точки зрения	23	3
153	жизни и	2	3
154	и по	5	3
155	значительной мере	1	3
156	всех этих	1	3
157	мы видели	3	3
158	к сожалению	1	2
159	самом понятии	1	2
160	отметить что	3	2
161	представить себе	1	2
162	и этот	2	2
163	на вопрос	1	2
164	если в	2	2
165	также что	1	2
166	на язык	2	2
167	должно быть	1	2
168	зависит от	1	2
169	с одной	8	2
170	том числе	1	2
171	должна быть	2	2
172	внимание на	1	2
173	тогда когда	2	2
174	получает в	1	2
175	говорить о	1	2
176	следует что	1	2
177	хотя и	2	2
178	связанное с	1	2
179	многие из	1	2
180	что при	1	2
181	в большей	1	2
182	с более	3	2
183	а затем	1	2
184	не отрицает	1	2
185	для них	2	2
186	с другими	2	2
187	по себе	4	2
188	частности в	2	2
189	но с	2	2
190	в своих	2	2
191	что нет	1	2
192	и даже	6	2
193	этой точки	5	2
194	и наконец	2	2
195	не о	1	2
196	и некоторые	3	2
197	что его	1	2
198	мысль о	1	2
199	но не	5	2
200	в ней	4	2
201	который по	1	2
202	в жизни	1	2
203	понимать как	1	2
204	стороны в	2	2
205	в последнем	1	2
206	же как	5	2
207	между прочим	7	2
208	что мы	1	2
209	на этом	1	2
210	противном случае	1	2
211	не менее	1	2
212	рассказывает что	1	2
213	можно ли	3	2
214	ли не	1	2
215	производства в	2	2
216	может не	1	2
217	на то	6	2
218	в точном	1	2
219	числе и	1	2
220	говорит об	1	2
