N	3gram	Tiupa_Narr	OGranits
1	с точки зрения	2	5
2	не может быть	5	4
3	по отношению к	6	3
4	есть прежде всего	1	3
5	в том что	8	2
6	не что иное	2	2
7	того или иного	2	2
8	в данном случае	4	2
9	есть не что	1	2
10	в самом деле	1	2
11	что иное как	2	2
12	с одной стороны	7	2
13	с другой стороны	4	2
14	на самом деле	1	1
15	и тот же	1	1
16	и как бы	1	1
17	на всем протяжении	1	1
18	все то что	1	1
19	включает в себя	1	1
20	иметь в виду	1	1
21	которым можно было	2	1
22	так и для	1	1
23	подобно тому как	2	1
24	в конечном счете	2	1
25	по себе а	1	1
26	как то что	1	1
27	так же как	2	1
28	тех или иных	1	1
29	только потому что	1	1
30	том что в	1	1
31	а не как	1	1
32	они сводятся к	1	1
33	то или иное	2	1
34	что в этом	1	1
35	один и тот	1	1
36	в отличие от	5	1
37	этой точки зрения	2	1
38	ту или иную	2	1
39	следует иметь в	1	1
40	в хх веке	1	1
41	как и в	1	1
42	в связи с	2	1
43	то же самое	1	1
44	не входит в	1	1
45	но далеко не	1	1
46	же время в	1	1
47	тем не менее	3	1
48	только то что	1	1
49	в этом отношении	3	1
50	точки зрения и	1	1
51	то же время	3	1
52	далеко не всегда	1	1
53	собственно говоря и	1	1
54	более или менее	2	1
55	в то же	3	1
56	и который является	1	1
57	само по себе	1	1
58	прежде всего в	1	1
59	с этой точки	1	1
60	не мог бы	1	1
61	можно было бы	2	1
62	состоит в том	3	1
63	а также и	1	1
64	может быть и	1	1
