N	2gram	Trubetskoy	UchenyiS
1	и в	14	14
2	не только	9	10
3	а не	2	10
4	и не	19	8
5	прежде всего	8	8
6	то что	13	7
7	в этом	17	7
8	не может	22	7
9	может быть	9	6
10	хотя бы	5	5
11	то же	11	5
12	и только	5	5
13	все это	6	5
14	с другой	1	4
15	в этой	4	4
16	в россии	6	4
17	конечно не	5	4
18	что такое	2	4
19	но и	10	4
20	в их	4	4
21	бы то	4	3
22	было бы	5	3
23	не о	2	3
24	и то	4	3
25	по нашему	1	3
26	только к	3	3
27	и т.д	4	3
28	для этого	3	3
29	очевидно что	1	3
30	это не	1	3
31	как и	4	3
32	то ни	4	3
33	вряд ли	3	3
34	для него	6	3
35	формы в	1	3
36	в своей	5	3
37	все же	4	3
38	ни было	1	3
39	в области	2	3
40	в частности	2	3
41	в то	10	3
42	не следует	1	3
43	но в	2	3
44	же время	10	3
45	все они	3	2
46	таким образом	11	2
47	в самом	3	2
48	если не	2	2
49	материал для	1	2
50	в противном	1	2
51	его и	2	2
52	если бы	6	2
53	самом деле	7	2
54	могут быть	1	2
55	не в	4	2
56	ни от	2	2
57	для всех	6	2
58	и с	7	2
59	до сих	5	2
60	их и	1	2
61	же самое	1	2
62	крайней мере	1	2
63	но не	4	2
64	по существу	5	2
65	тем что	3	2
66	в себе	9	2
67	в его	4	2
68	в конце	3	2
69	даже и	2	2
70	приходится признать	1	2
71	должна быть	2	2
72	мы не	1	2
73	всех этих	3	2
74	между тем	5	2
75	не есть	3	2
76	что он	6	2
77	конце концов	3	2
78	на эту	2	2
79	при таком	1	2
80	этом отношении	1	2
81	противном случае	1	2
82	в некоторых	2	2
83	тех или	1	2
84	не могут	4	2
85	сводится к	3	2
86	в том	17	2
87	том что	9	2
88	надо было	1	2
89	или иных	1	2
90	неудивительно что	1	2
91	но это	2	2
92	работы по	1	2
93	но даже	2	2
94	а о	1	2
95	и для	6	2
96	и является	2	2
97	что и	3	2
98	в сторону	1	2
99	не столько	1	2
100	а между	5	2
101	конечно нет	1	2
102	смысле этого	1	2
103	и у	1	2
104	превращается в	1	2
105	на первый	1	2
106	сих пор	5	2
107	по крайней	1	2
108	только в	5	2
109	по себе	2	2
110	что все	3	2
111	вопроса о	1	2
112	и форм	1	1
113	первый взгляд	1	1
114	и материал	1	1
115	признать что	6	1
116	что в	4	1
117	иначе говоря	1	1
118	не было	3	1
119	остается в	2	1
120	и даже	2	1
121	этого и	1	1
122	более или	4	1
123	и потому	3	1
124	столько же	1	1
125	отказаться от	4	1
126	этом случае	3	1
127	в которой	1	1
128	сколько и	1	1
129	можно сказать	1	1
130	этого не	2	1
131	наталкиваемся на	1	1
132	мы можем	2	1
133	что же	4	1
134	в данном	7	1
135	у кого	1	1
136	больше чем	2	1
137	представляется чрезвычайно	1	1
138	нет и	1	1
139	как на	8	1
140	себе еще	1	1
141	а где	1	1
142	быть не	1	1
143	со своими	1	1
144	и все	1	1
145	все элементы	1	1
146	же как	1	1
147	в сфере	1	1
148	данном случае	3	1
149	мировоззрение в	1	1
150	он будет	4	1
151	встречается у	1	1
152	но для	2	1
153	то есть	1	1
154	свое место	1	1
155	от которой	1	1
156	без них	1	1
157	и действительно	1	1
158	является оно	1	1
159	переходит в	1	1
160	психики и	1	1
161	в таком	2	1
162	исходить из	1	1
163	то и	1	1
164	о сущности	1	1
165	она не	2	1
166	степени и	1	1
167	чем то	1	1
168	в течение	2	1
169	до конца	1	1
170	в своем	6	1
171	говорить не	1	1
172	тогда когда	4	1
173	с тем	6	1
174	в значительной	3	1
175	входит в	1	1
176	для себя	2	1
177	тем в	1	1
178	что только	2	1
179	в последние	5	1
180	только при	1	1
181	находит себе	1	1
182	на роль	1	1
183	у тех	1	1
184	тому чтобы	4	1
185	что по	1	1
186	их в	2	1
187	не для	1	1
188	он может	1	1
189	с самим	2	1
190	в ней	2	1
191	но по	1	1
192	будет не	2	1
193	или даже	1	1
194	что такой	4	1
195	в порядке	2	1
196	даже не	2	1
197	не поднимается	1	1
198	это для	1	1
199	же остается	1	1
200	и прежде	1	1
201	оно является	1	1
202	а это	1	1
203	идет не	1	1
204	значительной мере	2	1
205	на то	5	1
206	но если	3	1
207	это же	1	1
208	бы ни	2	1
209	работе есть	1	1
210	только для	2	1
211	в которых	1	1
212	к этому	1	1
213	так и	1	1
214	обе эти	1	1
215	это то	1	1
216	что с	2	1
217	в преодолении	1	1
218	как элемент	1	1
219	из которых	5	1
220	друг с	14	1
221	это в	2	1
222	ее в	2	1
223	отнюдь не	7	1
224	о которой	1	1
225	и вся	1	1
226	в качестве	3	1
227	о котором	3	1
228	в нем	5	1
229	ничего подобного	1	1
230	он не	5	1
231	быть тем	1	1
232	все что	4	1
233	на его	1	1
234	и что	2	1
235	что для	3	1
236	признание что	3	1
237	отказ от	1	1
238	и это	1	1
239	в различных	1	1
240	с другом	14	1
241	не простой	1	1
242	он был	1	1
243	они в	1	1
244	имеет свою	1	1
245	должно быть	3	1
246	что при	1	1
247	об этом	1	1
248	себя на	2	1
249	задачи и	1	1
250	к которой	6	1
251	только возможно	1	1
252	или менее	4	1
253	к созданию	1	1
254	искусство и	1	1
255	уже не	2	1
256	у других	2	1
257	о том	7	1
258	тем более	1	1
259	эта работа	2	1
260	того что	3	1
261	у него	2	1
262	другом не	1	1
263	друг другу	2	1
264	бы это	1	1
265	в котором	2	1
266	бы в	1	1
267	ее к	1	1
268	в виде	3	1
269	существование в	2	1
270	все черты	1	1
271	если у	1	1
272	приводит к	4	1
273	никогда не	5	1
274	и тенденция	1	1
