N	2gram	Losev_Vesc	Problema
1	и в	44	182
2	то есть	2	165
3	и не	57	152
4	вовсе не	11	145
5	то что	47	144
6	не есть	79	113
7	не только	48	104
8	потому что	25	89
9	в этом	17	88
10	может быть	37	82
11	в том	15	81
12	том что	13	81
13	не просто	23	80
14	только в	23	73
15	сказать что	21	72
16	но и	19	70
17	в виде	3	69
18	у нас	9	68
19	также и	9	68
20	и даже	12	66
21	по себе	22	64
22	даже и	5	63
23	не менее	11	58
24	о том	11	57
25	тем не	11	56
26	а не	34	56
27	так и	4	56
28	но в	8	55
29	так что	9	52
30	ни в	11	51
31	для нас	2	50
32	в себе	23	48
33	отнюдь не	8	48
34	и вообще	6	48
35	при помощи	4	47
36	было бы	24	46
37	прежде всего	17	45
38	в своей	6	45
39	что в	11	44
40	в его	5	44
41	не в	14	43
42	все эти	5	43
43	то же	12	42
44	в символе	1	42
45	а именно	1	42
46	как раз	16	42
47	таким образом	16	42
48	если мы	12	42
49	и что	22	40
50	и то	14	40
51	что он	7	40
52	так как	17	40
53	что мы	17	40
54	во всяком	4	39
55	есть символ	2	39
56	не может	44	39
57	и тем	7	39
58	в этой	4	39
59	как бы	19	39
60	той или	3	38
61	в данном	6	38
62	бесконечный ряд	1	38
63	хотя бы	9	37
64	никак не	7	37
65	в нем	6	37
66	того что	16	37
67	точки зрения	10	36
68	есть нечто	12	36
69	еще не	12	36
70	и все	6	36
71	вещи есть	55	35
72	символ и	1	35
73	когда мы	6	35
74	и т	37	35
75	в виду	2	34
76	уже не	15	34
77	и с	11	34
78	как и	15	34
79	указывает на	8	34
80	же самое	1	33
81	в таком	1	33
82	не является	3	33
83	т д	36	33
84	или иной	1	33
85	как символ	1	33
86	здесь не	2	32
87	в то	11	32
88	но не	9	32
89	едва ли	1	32
90	так же	4	31
91	в своем	9	31
92	связи с	1	31
93	что такое	20	31
94	в конце	3	31
95	но это	14	31
96	все это	7	31
97	ясно что	10	30
98	и для	13	30
99	с другой	8	30
100	в связи	1	29
101	есть ее	4	29
102	все же	18	29
103	можно сказать	8	29
104	перед нами	3	29
105	как мы	6	29
106	об этом	5	29
107	что же	17	28
108	данном случае	2	28
109	мы не	8	28
110	а в	6	28
111	есть только	18	28
112	и о	4	28
113	символа и	1	27
114	и это	17	27
115	и как	12	27
116	хотя и	5	27
117	ничего общего	1	27
118	ничего не	12	27
119	в результате	9	26
120	другой стороны	3	26
121	крайней мере	10	26
122	да и	5	26
123	как будто	2	26
124	вместе с	4	26
125	по крайней	10	26
126	еще и	11	26
127	это не	9	26
128	и его	4	26
129	мы можем	4	25
130	и на	2	25
131	тем самым	2	25
132	с точки	6	25
133	всяком случае	2	25
134	с тем	8	24
135	на самом	1	24
136	тем более	3	24
137	не имеет	2	24
138	содержит в	11	23
139	только и	8	23
140	на то	9	23
141	при этом	1	23
142	тут же	4	23
143	в качестве	4	23
144	и притом	4	23
145	конце концов	2	23
146	а только	3	23
147	то и	7	23
148	мы находим	5	23
149	есть не	17	23
150	и к	1	22
151	вещи и	40	22
152	раз и	2	22
153	только на	3	22
154	можно ли	7	22
155	никогда не	5	22
156	и является	1	22
157	всех этих	1	22
158	нет ничего	2	22
159	есть в	4	22
160	значит что	32	22
161	сам по	4	22
162	его в	8	22
163	и от	4	22
164	и есть	40	22
165	и если	5	22
166	что и	11	22
167	другими словами	9	22
168	в самом	13	21
169	сама по	7	21
170	мы должны	5	21
171	и ее	19	21
172	говорить о	9	21
173	для себя	6	21
174	а также	1	21
175	и без	4	21
176	и только	11	21
177	именно в	2	20
178	для того	3	20
179	но как	3	20
180	можно было	6	20
181	и потому	8	20
182	о чем	2	20
183	тем что	7	20
184	несмотря на	6	20
185	как о	5	20
186	или в	3	20
187	это значит	30	19
188	кроме того	5	19
189	в них	1	19
190	тоже есть	5	19
191	с ним	8	19
192	самом деле	7	19
193	в каком	6	19
194	но если	12	19
195	того или	1	19
196	то это	5	19
197	уже в	2	19
198	то в	4	19
199	в отношении	7	19
200	но только	4	19
201	этом смысле	2	19
202	он не	4	19
203	это есть	8	19
204	если не	3	19
205	если бы	8	19
206	как в	3	19
207	как нечто	3	19
208	жизни и	6	19
209	в этих	1	18
210	необходимо сказать	1	18
211	того же	5	18
212	не было	4	18
213	символа в	1	18
214	не будет	13	18
215	и ни	3	18
216	мы и	1	18
217	не существует	4	18
218	в ее	8	18
219	того чтобы	4	18
220	в ней	14	18
221	без всякого	7	17
222	что они	12	17
223	во всех	5	17
224	но уже	3	17
225	и здесь	5	17
226	гораздо более	2	17
227	есть именно	7	17
228	мы уже	3	17
229	совсем не	2	17
230	ни о	3	17
231	в языке	1	17
232	что здесь	2	17
233	это и	12	17
234	совершенно не	11	17
235	тех или	6	17
236	что она	23	16
237	будто бы	1	16
238	как это	4	16
239	он и	2	16
240	самое время	1	16
241	же в	1	16
242	для этого	5	16
243	но все	3	16
244	в одно	2	16
245	к тому	3	16
246	но даже	3	16
247	между собою	12	16
248	случае не	3	16
249	далеко не	2	16
250	и сам	3	15
251	казалось бы	3	15
252	с этим	4	15
253	в чем	10	15
254	в той	6	15
255	у него	3	15
256	что не	11	15
257	и более	4	15
258	в частности	3	15
