N	3gram	Voloshinov	Komedia
1	в том что	1	29
2	в то же	9	16
3	то же время	7	16
4	до сих пор	1	16
5	в самом деле	2	13
6	о том что	2	13
7	для того чтобы	7	11
8	в свою очередь	4	10
9	по отношению к	2	9
10	вместе с тем	2	9
11	с другой стороны	1	8
12	в конце концов	3	7
13	с самого начала	4	7
14	в связи с	2	6
15	с точки зрения	5	6
16	не говоря уже	1	6
17	то же самое	4	5
18	в этом отношении	2	5
19	тем не менее	1	5
20	в одном из	1	4
21	чуть ли не	2	4
22	именно потому что	1	4
23	к тому что	2	4
24	но все же	3	4
25	само собой разумеется	2	4
26	по сравнению с	1	4
27	независимо от того	1	4
28	можно было бы	1	4
29	в той же	3	3
30	более или менее	1	3
31	ответа на вопрос	1	3
32	в высшей степени	1	3
33	равно как и	2	3
34	но и в	3	3
35	и к тому	1	3
36	таким образом в	1	3
37	здесь нет и	1	3
38	брата и сестры	1	2
39	до того как	1	2
40	к мысли что	1	2
41	не иначе как	1	2
42	в конечном счете	1	2
43	в большинстве случаев	1	2
44	к одному и	1	2
45	на протяжении почти	1	2
46	как и в	1	2
47	их точки зрения	1	2
48	но при этом	2	2
49	в разговоре с	1	2
50	и чаще всего	1	2
51	в зависимости от	7	2
52	и в то	2	2
53	а затем и	1	2
54	с их точки	1	2
55	одной из сторон	1	2
56	в тех случаях	2	2
57	друг друга и	1	2
58	одних и тех	1	2
59	приходит к мысли	1	2
60	и тому же	1	2
61	но об этом	2	2
62	только в том	1	2
63	и тем более	1	2
64	и тех же	1	2
65	и тем что	1	2
66	только потому что	2	2
67	не только в	3	2
68	мы имеем в	1	2
69	одному и тому	1	2
70	в этом случае	3	2
71	как мы видели	3	2
72	тех случаях когда	2	2
73	и все же	1	2
74	как и всякий	1	2
75	должны были бы	2	1
76	протяжении почти всей	1	1
77	благодаря тому что	1	1
78	но все эти	1	1
79	себе не может	1	1
80	себе в этом	1	1
81	что мы не	1	1
82	не свидетельствуют о	1	1
83	частей из которых	1	1
84	но вместе с	1	1
85	как нет и	1	1
86	еще до того	1	1
87	отнюдь не является	1	1
88	не может быть	2	1
89	того чтобы не	1	1
90	не сомневаться что	1	1
91	можно сказать что	2	1
92	как можно более	1	1
93	в собственном смысле	1	1
94	до наших дней	1	1
95	и во всех	1	1
96	в ней как	1	1
97	если он говорит	1	1
98	в голову не	2	1
99	в качестве примера	1	1
100	того или иного	5	1
101	можем не сомневаться	1	1
102	как мы уже	3	1
103	одного и того	1	1
104	в сознании человека	2	1
105	в которой мы	1	1
106	для того времени	1	1
107	и уже в	1	1
108	из них в	1	1
109	ближе к тому	1	1
110	смысле этого слова	2	1
111	бросается в глаза	1	1
112	чтобы убедиться в	1	1
113	сошли с ума	1	1
114	но при всем	1	1
115	само по себе	1	1
116	и тем самым	3	1
117	но если бы	1	1
118	не забудем что	3	1
119	и никогда не	1	1
120	по себе не	1	1
121	мы уже знаем	1	1
122	пока он не	1	1
123	то хотя бы	1	1
124	и того же	1	1
125	либо в конце	1	1
126	не является чем-то	1	1
127	вовсе не является	1	1
128	не нуждается в	1	1
129	с каждым новым	1	1
130	если не будет	1	1
131	и в голову	1	1
132	в значительной степени	2	1
133	по самой своей	1	1
134	или хотя бы	2	1
135	и не может	1	1
136	и в этом	1	1
137	с тем у	5	1
138	собственном смысле слова	1	1
139	в каком направлении	1	1
140	той или иной	4	1
141	происходит и в	1	1
142	в общественной жизни	3	1
143	должен был бы	1	1
144	вообще бы не	1	1
145	по крайней мере	1	1
146	отношения к нему	2	1
147	и на его	2	1
148	мы увидим что	2	1
149	как бы в	3	1
150	во время своего	1	1
151	в так называемой	2	1
152	все это как	1	1
153	и в каком	1	1
154	связи с этим	2	1
155	той же мере	1	1
156	на этот вопрос	1	1
157	и здесь мы	1	1
158	на те явления	1	1
159	в оживленной беседе	1	1
160	не было бы	2	1
161	как только он	1	1
162	не что иное	2	1
163	и та же	1	1
164	в пределах одного	1	1
165	зависимости от того	2	1
166	словам а к	1	1
167	мы будем называть	1	1
168	же как мы	1	1
169	и в отношении	1	1
170	хотя бы в	1	1
171	я и в	1	1
172	не менее и	1	1
173	одна и та	1	1
174	тем что он	1	1
175	по отдельным строчкам	1	1
176	что иное как	2	1
177	ответить на это	2	1
178	в нем и	1	1
179	точек зрения в	1	1
180	вопрос о том	1	1
181	и не только	2	1
182	в ней также	1	1
183	в виду что	1	1
184	мы не можем	1	1
185	но там оно	1	1
