N	4gram	Losev_Dial	Literetu
1	в то же время	3	21
2	не говоря уже о	6	6
3	с этой точки зрения	4	5
4	бы то ни было	1	4
5	исходит из того что	1	4
6	с одной стороны и	1	3
7	до тех пор пока	1	2
8	поскольку речь идет о	1	2
9	одно и то же	2	2
10	не что иное как	6	1
11	и тем не менее	2	1
12	вопрос о том как	1	1
13	я не мог бы	1	1
14	в том что в	1	1
15	только на то что	2	1
16	и в то же	2	1
17	нас в данном случае	1	1
18	одних и тех же	2	1
19	без внимания к ее	1	1
20	в такой же мере	1	1
21	не может быть ни	1	1
22	что в сравнении с	1	1
23	на самом деле есть	1	1
24	а не абсолютная истина	1	1
25	он не может быть	1	1
26	не абсолютная истина и	1	1
27	но в то же	1	1
