N	2gram	Trubetskoy	Narrotol
1	не только	9	62
2	и не	19	50
3	при этом	5	47
4	но и	10	45
5	а не	2	38
6	в качестве	3	35
7	в частности	2	31
8	может быть	9	30
9	и в	14	30
10	в том	17	29
11	в этом	17	28
12	тогда как	2	28
13	том что	9	28
14	а в	5	27
15	только в	5	25
16	состоит в	2	25
17	в данном	7	24
18	как и	4	24
19	не в	4	23
20	то что	13	23
21	то есть	1	22
22	не может	22	20
23	в себе	9	17
24	данном случае	3	17
25	так и	1	17
26	со стороны	4	16
27	в его	4	16
28	к тому	7	15
29	можно сказать	1	15
30	но в	2	15
31	иначе говоря	1	15
32	в жизни	1	14
33	то же	11	13
34	в своей	5	13
35	уже не	2	13
36	о том	7	13
37	в своем	6	13
38	у него	2	13
39	все же	4	12
40	сводится к	3	12
41	перед нами	1	12
42	как бы	4	12
43	прежде всего	8	12
44	по отношению	2	11
45	об этом	1	11
46	к себе	2	11
47	в мире	4	11
48	если бы	6	11
49	и тем	2	11
50	в этой	4	11
51	в нем	5	11
52	жизни в	5	11
53	тем самым	2	11
54	отношению к	1	11
55	один из	1	10
56	никогда не	5	10
57	тому же	1	10
58	точки зрения	11	10
59	между тем	5	10
60	как это	1	10
61	в то	10	10
62	и все	1	10
63	не является	1	10
64	жизни и	4	10
65	того что	3	10
66	но не	4	10
67	и т.д	4	10
68	тем не	1	9
69	той или	3	9
70	столь же	1	9
71	отнюдь не	7	9
72	что в	4	9
73	с ним	2	9
74	что он	6	9
75	еще не	3	9
76	потому что	5	9
77	для него	6	9
78	и к	6	8
79	в самом	3	8
80	в таком	2	8
81	не менее	1	8
82	одна из	3	8
83	он не	5	8
84	самом деле	7	8
85	того чтобы	8	8
86	же время	10	8
87	и для	6	8
88	этом отношении	1	8
89	но при	1	8
90	или иной	5	8
91	в принципе	1	7
92	а во	1	7
93	в котором	2	7
94	с другой	1	7
95	в ее	1	7
96	на себя	2	7
97	в конце	3	7
98	в силу	2	7
99	и на	5	7
100	и состоит	2	7
101	в свою	1	7
102	это не	1	7
103	в глазах	2	7
104	или в	3	7
105	также и	1	7
106	в ней	2	7
107	одного из	1	7
108	все что	4	6
109	в результате	2	6
110	на него	1	6
111	то в	3	6
112	что у	1	6
113	что и	3	6
114	могло бы	1	6
115	не могла	1	6
116	однако и	1	6
117	в состав	1	6
118	таким образом	11	6
119	никак не	1	6
120	к его	1	6
121	то и	1	6
122	из этих	3	6
123	в сознании	3	6
124	они не	1	6
125	не по	1	6
126	на то	5	6
127	человеческой жизни	1	5
128	не столько	1	5
129	в своих	6	5
130	и даже	2	5
131	именно в	3	5
132	и того	1	5
133	свою очередь	1	5
134	в другом	3	5
135	для того	6	5
136	не всегда	1	5
137	он сам	3	5
138	точка зрения	1	5
139	себя в	4	5
140	из них	3	5
141	к нему	2	5
142	не было	3	5
143	или не	1	5
144	но для	2	5
145	между собой	5	5
146	его жизни	1	5
147	следует признать	1	5
148	точку зрения	4	5
149	и от	2	5
150	с ее	1	5
151	что это	3	5
152	если не	2	5
153	их в	2	5
154	и у	1	5
155	с ними	1	5
156	да и	3	5
157	о котором	3	5
158	вследствие этого	1	5
159	стало быть	1	5
160	было бы	5	5
161	для нее	2	5
162	и то	4	5
163	мы не	1	5
164	на самом	6	5
165	тем более	1	5
166	в начале	2	5
167	и о	2	5
168	этом и	2	5
169	место в	2	5
170	как будто	2	5
171	даже в	1	4
172	не являются	1	4
173	от этих	1	4
174	по себе	2	4
175	и с	7	4
176	роль в	1	4
177	следует подчеркнуть	1	4
178	которой он	4	4
179	хотя бы	5	4
180	только на	2	4
181	и когда	1	4
182	к этому	1	4
183	представить себе	2	4
184	что они	3	4
185	на том	3	4
186	несмотря на	3	4
187	то у	1	4
188	не о	2	4
189	тому что	2	4
190	в себя	1	4
191	не будет	7	4
192	из нас	1	4
193	по своей	1	4
194	и по	3	4
195	на ее	1	4
196	для себя	2	4
197	о которой	1	4
198	не на	1	4
199	за границей	1	4
200	о своей	1	4
201	вместе с	4	4
202	в основе	1	4
203	могла бы	1	4
204	не могло	1	4
205	в сфере	1	4
206	мог бы	1	4
207	всяком случае	6	4
208	друг друга	3	4
209	зависит от	2	4
210	во всяком	9	4
211	для нас	2	4
212	а на	1	4
213	а то	1	4
214	и как	3	4
215	или даже	1	4
216	по своему	1	4
217	в области	2	4
218	человека в	1	4
219	она не	2	4
220	быть и	2	4
221	что касается	1	4
222	к ней	1	4
223	как мы	1	4
224	что на	1	4
225	не к	2	4
226	надежда на	1	3
227	с этой	1	3
228	в этих	2	3
229	и дело	1	3
230	входит в	1	3
231	не должен	2	3
232	к своей	1	3
233	говорить о	3	3
234	точно так	2	3
235	так же	2	3
236	к ним	1	3
237	в зависимости	1	3
238	к ее	1	3
239	в церкви	1	3
240	только не	1	3
241	ее и	1	3
242	или нескольких	2	3
243	с точки	9	3
244	и сама	1	3
245	связи с	3	3
246	в которой	1	3
247	к чему	2	3
248	что не	1	3
249	в связи	1	3
250	же как	1	3
251	и это	1	3
252	сих пор	5	3
253	о себе	1	3
254	но как	1	3
255	а с	2	3
256	при отсутствии	2	3
257	за ними	1	3
258	и что	2	3
259	можно было	4	3
260	иметь в	1	3
261	не просто	2	3
262	даже если	2	3
263	здесь мы	1	3
264	или иного	2	3
265	во время	2	3
266	чем и	1	3
267	до сих	5	3
268	освободиться от	1	3
269	то они	1	3
270	самим собой	12	3
271	с таким	1	3
272	и т	3	3
273	приводит к	4	3
274	бы не	1	3
275	говорить и	1	3
276	своей жизни	1	3
277	еще и	1	3
278	как на	8	3
279	быть не	1	3
280	и тогда	2	3
281	речь идет	2	3
282	а лишь	4	3
283	тем же	1	3
284	от которой	1	3
285	одной из	3	3
286	до конца	1	3
287	на этот	1	3
288	но это	2	3
289	жизни но	1	3
290	хоть и	1	3
291	и вот	2	3
292	от которого	1	3
293	которых он	1	3
294	участие в	2	3
295	все равно	1	3
296	в виде	3	3
297	а о	1	3
298	этого не	2	3
299	дело в	1	3
300	не подлежит	2	3
301	все эти	2	3
302	со своей	1	3
303	должен быть	1	3
304	и потому	3	3
305	того или	2	3
306	только к	3	3
307	связано с	1	3
308	заключает в	1	3
309	не следует	1	3
310	идет о	1	3
311	лишь в	3	3
312	же самое	1	3
313	со своими	1	3
314	и только	5	3
315	которая в	1	2
316	те же	1	2
317	глубоко и	1	2
318	быть может	1	2
319	лишь с	1	2
320	людей и	2	2
321	чтобы в	2	2
322	более или	4	2
323	но все	1	2
324	мысль о	1	2
325	целый ряд	2	2
326	тем что	3	2
327	принадлежат к	2	2
328	и стал	1	2
329	как только	1	2
330	на первый	1	2
331	и физически	1	2
332	казалось бы	1	2
333	первый взгляд	1	2
334	было не	1	2
335	представления о	1	2
336	жизнь а	1	2
337	а между	5	2
338	из церкви	1	2
339	превращается в	1	2
340	можно ли	3	2
341	у себя	1	2
342	вовсе не	1	2
