N	3gram	Trubetskoy	Hudozhes
1	по отношению к	11	10
2	в том что	16	8
3	в то же	2	7
4	то же время	2	7
5	с другой стороны	4	6
6	более или менее	8	6
7	для того чтобы	7	5
8	состоит в том	1	5
9	так или иначе	5	4
10	не может быть	4	4
11	с точки зрения	8	3
12	в том числе	1	3
13	тем не менее	4	3
14	и то же	1	3
15	одного и того	3	3
16	одно и то	1	3
17	и того же	3	3
18	в связи с	3	3
19	с одной стороны	2	3
20	тот или иной	1	3
21	в свою очередь	2	2
22	бы то ни	3	2
23	в данный момент	1	2
24	этой точки зрения	1	2
25	в том и	2	2
26	с этой точки	1	2
27	в самом деле	5	2
28	начало и конец	4	2
29	том числе и	1	2
30	а с другой	2	2
31	том что он	2	2
32	то ни было	3	2
33	на наших глазах	1	2
34	к тому что	1	2
35	приводит к тому	1	2
36	может быть и	4	2
37	точно так же	1	1
38	все то что	1	1
39	то есть в	1	1
40	та или иная	1	1
41	на задний план	1	1
42	заключает в себе	2	1
43	в противоречие с	1	1
44	по крайней мере	1	1
45	заключается в том	3	1
46	и другими людьми	1	1
47	при этом что	2	1
48	о том что	4	1
49	есть как бы	1	1
50	то что входит	1	1
51	в себе и	1	1
52	как и в	2	1
53	к одному из	1	1
54	не в состоянии	3	1
55	художественное произведение и	1	1
56	друг от друга	6	1
57	в настоящее время	3	1
58	в то время	2	1
59	при этом не	1	1
60	но на деле	1	1
61	в себе никаких	1	1
62	в том случае	4	1
63	именно потому что	2	1
64	а и в	7	1
65	таким образом и	1	1
66	иметь в виду	1	1
67	в лучшем случае	1	1
68	в зависимости от	1	1
69	в его сознании	1	1
70	так же как	3	1
71	в том или	1	1
72	в этом случае	4	1
73	во всей своей	1	1
74	а в том	1	1
75	к тому же	5	1
76	и в жизни	1	1
77	исходит из того	1	1
78	на первый взгляд	1	1
79	то же самое	1	1
80	том случае если	4	1
81	том или ином	1	1
82	между людьми поэтому	1	1
83	только то что	2	1
84	не принадлежат к	1	1
85	из того что	1	1
86	что входит в	1	1
87	является одним из	1	1
88	и в том	2	1
89	со своей стороны	1	1
90	окружающей его природы	1	1
91	что несмотря на	2	1
92	при этом у	1	1
93	в чистом виде	1	1
94	это было бы	1	1
