N	2gram	Berdyaev_M	Sovremen
1	не может	39	17
2	может быть	42	12
3	точки зрения	6	12
4	мы не	2	9
5	органической жизни	1	9
6	в каждом	4	8
7	в этом	34	7
8	и в	61	7
9	каждый раз	1	6
10	только одна	1	6
11	как и	14	6
12	ничего не	4	6
13	и не	26	6
14	с точки	1	5
15	прежде всего	18	5
16	что же	2	5
17	все эти	3	5
18	живой организм	1	5
19	и наконец	1	5
20	а в	4	4
21	так как	10	4
22	вопрос о	7	4
23	это не	10	4
24	не только	42	4
25	мы должны	1	4
26	в развитии	1	4
27	как бы	10	4
28	нет и	6	4
29	в зависимости	1	4
30	их в	1	4
31	жизни и	6	4
32	вместе с	7	4
33	в том	9	4
34	зависимости от	1	4
35	точку зрения	1	4
36	и к	9	3
37	и потому	17	3
38	и мы	2	3
39	когда мы	2	3
40	уже в	6	3
41	то же	4	3
42	не в	16	3
43	а не	36	3
44	для нас	3	3
45	все это	6	3
46	как он	4	3
47	в одном	1	3
48	у нас	13	3
49	а все	1	3
50	в конце	11	3
51	ведь это	2	3
52	было бы	11	3
53	у всех	4	3
54	в этой	12	3
55	он в	4	3
56	и все	13	3
57	в себе	12	3
58	что она	5	3
59	он может	1	3
60	все же	2	3
61	в области	1	3
62	может не	3	3
63	отличается от	2	3
64	в нем	26	3
65	но в	12	3
66	еще не	1	3
67	с этим	4	2
68	что в	12	2
69	в самом	15	2
70	мы видим	4	2
71	значение в	1	2
72	и что	4	2
73	отличие от	1	2
74	которой он	2	2
75	ее на	1	2
76	то и	1	2
77	в отличие	1	2
78	такого рода	1	2
79	в свою	5	2
80	в его	10	2
81	во всяком	1	2
82	не дает	1	2
83	еще более	3	2
84	можно назвать	1	2
85	что это	5	2
86	быть и	2	2
87	только один	3	2
88	что такое	2	2
89	говорить о	1	2
90	на его	1	2
91	все те	1	2
92	представлять себе	1	2
93	у него	38	2
94	не могут	6	2
95	в новых	2	2
96	со всеми	1	2
97	одна возможность	1	2
98	а на	1	2
99	и даже	1	2
100	самом деле	2	2
101	в которой	8	2
102	но все	1	2
103	к чему	5	2
104	она может	2	2
105	и во	5	2
106	той же	3	2
107	о жизни	1	2
108	могут быть	2	2
109	в нашем	2	2
110	уже не	8	2
111	и есть	21	2
112	что все	5	2
113	и именно	2	2
114	на этот	2	2
115	говорить об	1	2
116	первый период	1	2
117	на этом	5	2
118	роль в	2	2
119	не менее	1	2
120	приводит к	2	2
121	и по	4	2
122	из одного	1	2
123	тот же	1	2
124	всяком случае	1	2
125	он должен	4	2
126	как угодно	1	2
127	во всех	3	1
128	все они	1	1
129	только одно	3	1
130	та самая	1	1
131	которые в	2	1
132	к которому	1	1
133	в социальном	2	1
134	и гармонии	1	1
135	это и	7	1
136	его и	2	1
137	в свое	1	1
138	том случае	1	1
139	а потому	1	1
140	во втором	1	1
141	то он	3	1
142	и все-таки	1	1
143	человека в	26	1
144	не допускает	1	1
145	до сих	5	1
146	все его	3	1
147	этот свой	1	1
148	он уже	8	1
149	и более	2	1
150	та же	4	1
151	по преимуществу	4	1
152	все три	1	1
153	от его	3	1
154	что иное	4	1
155	и красота	1	1
156	не имеют	2	1
157	быть при	1	1
158	этот процесс	5	1
159	если в	2	1
160	должно быть	5	1
161	мы уже	1	1
162	к области	1	1
163	человек и	7	1
164	же этот	2	1
165	в первый	1	1
166	значение но	1	1
167	вот где	1	1
168	его с	4	1
169	она не	9	1
170	образуются два	1	1
171	в течение	1	1
172	она в	1	1
173	все свои	1	1
174	на друга	1	1
175	она всегда	1	1
176	ничто не	1	1
177	одна и	3	1
178	мы имеем	1	1
179	и у	3	1
180	быть в	1	1
181	и речи	1	1
182	в другом	1	1
183	не стремится	1	1
184	почва под	1	1
185	совсем не	3	1
186	не быть	2	1
187	в ней	23	1
188	которых он	5	1
189	из всех	1	1
190	друг на	1	1
191	уже к	1	1
192	кто этот	1	1
193	мы опять	1	1
194	человека как	3	1
195	этот был	1	1
196	а может	1	1
197	они одинаково	1	1
198	это значит	3	1
199	хотя и	2	1
200	человек с	1	1
