N	2gram	Medvedev_B	Sotsiolo
1	все это	2	7
2	не только	1	3
3	и в	1	3
4	что в	1	2
5	таким образом	1	2
6	было бы	1	2
7	как будто	1	2
8	за пределы	1	2
9	должна быть	1	2
10	далеко не	1	2
11	тем более	1	2
12	еще не	1	2
13	литературы как	1	1
14	не было	1	1
15	словесного творчества	1	1
16	точке зрения	1	1
17	в своей	1	1
18	во всяком	1	1
19	и потому	1	1
20	все же	1	1
21	по крайней	1	1
22	с другой	1	1
23	и более	1	1
24	никак не	1	1
25	в данном	1	1
26	в области	1	1
27	так и	1	1
28	отнюдь не	1	1
29	и не	2	1
30	стр и	2	1
31	выходит за	1	1
32	всяком случае	1	1
33	и о	1	1
34	прежде всего	1	1
35	стр в	1	1
36	же не	1	1
37	представляется нам	1	1
38	крайней мере	1	1
39	поэтики и	1	1
40	между ними	1	1
41	что все	1	1
