N	3gram	Vygotskiy_	RusskieA
1	в том что	30	49
2	состоит в том	2	29
3	и т д	6	21
4	в этом случае	2	12
5	вместе с тем	4	11
6	о том что	15	10
7	том что в	2	9
8	в том чтобы	6	9
9	для того чтобы	41	8
10	в данном случае	3	8
11	подобно тому как	1	8
12	мы не можем	2	7
13	не может быть	4	6
14	во многих случаях	1	6
15	по этому поводу	4	6
16	в это время	1	6
17	так же как	3	6
18	после того как	1	6
19	к тому что	8	5
20	мы видели что	1	5
21	не что иное	2	4
22	в отличие от	3	4
23	что в этом	6	4
24	что иное как	2	4
25	в то время	4	4
26	можно было бы	4	4
27	во всяком случае	1	4
28	один из них	1	4
29	это имеет место	1	3
30	тех пор пока	2	3
31	но вместе с	1	3
32	по отношению к	2	3
33	еще далеко не	1	3
34	мы должны признать	2	3
35	более или менее	1	3
36	до сих пор	9	3
37	с тем и	1	3
38	же как и	1	3
39	и в том	2	3
40	мы не имеем	1	3
41	в свою очередь	1	3
42	на другой день	1	3
43	на то что	25	3
44	с точки зрения	5	3
45	до тех пор	2	3
46	все же не	1	3
47	и что в	5	3
48	с тем что	3	3
49	может быть и	2	3
50	друг к другу	5	3
51	о том как	1	2
52	и т п	5	2
53	быть только человек	1	2
54	об этом не	1	2
55	решить вопрос о	2	2
56	для наших целей	1	2
57	совершенно очевидно что	2	2
58	может быть только	1	2
59	друг с другом	6	2
60	ничего общего с	1	2
61	потому что он	3	2
62	том что на	2	2
63	мы должны будем	3	2
64	так как это	6	2
65	так как они	1	2
66	полагает что это	1	2
67	с другой стороны	8	2
68	но так как	1	2
69	в евгении онегине	1	2
70	т д и	1	2
71	равно как и	2	2
72	между собой в	1	2
73	одна из основных	1	2
74	но она не	1	2
75	мы увидим что	7	2
76	каждый из этих	1	2
77	можно сказать что	3	2
78	вопрос о том	3	2
79	на самом деле	8	2
80	иметь в виду	3	2
81	ни одна из	2	2
82	мы имеем здесь	1	2
83	не только в	5	2
84	во всех этих	2	2
85	и в этом	2	2
86	и в некоторых	1	2
87	по его мнению	4	2
88	привело к тому	1	2
89	одна из них	2	2
90	с одной стороны	15	2
91	в этом отношении	3	2
92	взад и вперед	1	2
93	показывают что в	1	1
94	он должен был	2	1
95	он полагает что	1	1
96	и как она	1	1
97	в отдельности может	1	1
98	а может быть	1	1
99	и как бы	4	1
100	принадлежат к числу	1	1
101	как будто бы	1	1
102	это приводит к	1	1
103	а как раз	2	1
104	говорят не своим	1	1
105	не могло бы	1	1
106	говорится о том	2	1
107	никак не может	3	1
108	но если это	1	1
109	как и вообще	1	1
110	только одна из	1	1
111	не в этом	1	1
112	указывает что в	1	1
113	пишет для того	1	1
114	сих пор в	1	1
115	в первый раз	1	1
116	в совершенно ином	1	1
117	и другую сторону	1	1
118	но далеко не	1	1
119	видели в ней	1	1
120	то что им	2	1
121	на кладбище в	1	1
122	потому что она	1	1
123	потому что в	4	1
124	только потому что	1	1
