N	2gram	Tiupa_Anal	UchenyiS
1	и в	36	14
2	не только	40	10
3	а не	16	10
4	и не	14	8
5	прежде всего	7	8
6	то что	5	7
7	в этом	19	7
8	не может	3	7
9	может быть	19	6
10	эстетического объекта	6	6
11	в искусстве	3	6
12	хотя бы	1	5
13	то же	7	5
14	в художественном	1	5
15	и только	1	5
16	все это	5	5
17	художественное произведение	1	5
18	в конечном	5	4
19	с другой	10	4
20	в этой	10	4
21	конечном счете	5	4
22	что такое	1	4
23	но и	26	4
24	в их	7	4
25	было бы	6	3
26	не о	2	3
27	и то	2	3
28	и формы	1	3
29	по нашему	3	3
30	только к	2	3
31	или точнее	2	3
32	и т.д	3	3
33	для этого	1	3
34	очевидно что	2	3
35	произведения искусства	1	3
36	это не	4	3
37	как и	27	3
38	то ни	1	3
39	вряд ли	1	3
40	для него	8	3
41	в своей	12	3
42	все же	6	3
43	в частности	19	3
44	в то	8	3
45	не как	3	3
46	у нас	1	3
47	другой стороны	7	3
48	не следует	5	3
49	но в	8	3
50	же время	7	3
51	все они	2	2
52	таким образом	4	2
53	в самом	7	2
54	если не	1	2
55	в противном	2	2
56	могли бы	2	2
57	его и	1	2
58	если бы	2	2
59	самом деле	2	2
60	могут быть	4	2
61	является в	1	2
62	не в	9	2
63	это было	2	2
64	бы и	2	2
65	для всех	5	2
66	и с	1	2
67	в противовес	2	2
68	до сих	1	2
69	одним из	1	2
70	крайней мере	5	2
71	но не	13	2
72	по существу	1	2
73	тем менее	1	2
74	мы и	1	2
75	тем что	3	2
76	более чем	2	2
77	в себе	7	2
78	в его	12	2
79	искусства как	1	2
80	в конце	6	2
81	т.е в	2	2
82	мы не	4	2
83	ничего не	3	2
84	всех этих	1	2
85	между тем	8	2
86	что она	3	2
87	не есть	6	2
88	художественного произведения	1	2
89	что он	5	2
90	на каждом	1	2
91	в широком	1	2
92	конце концов	1	2
93	на эту	2	2
94	при таком	1	2
95	этом отношении	3	2
96	противном случае	2	2
97	о чем	5	2
98	как раз	8	2
99	тех или	1	2
100	не могут	2	2
101	что мы	2	2
102	сводится к	5	2
103	в том	16	2
104	представляется нам	2	2
105	это уже	1	2
106	том что	19	2
107	или иных	1	2
108	неудивительно что	1	2
109	нас в	1	2
110	но это	3	2
111	этом смысле	1	2
112	работы по	1	2
113	но даже	1	2
114	а о	2	2
115	и для	4	2
116	в системе	1	2
117	в итоге	4	2
118	и является	3	2
119	что и	10	2
120	в сторону	2	2
121	не столько	4	2
122	не случайно	13	2
123	а между	1	2
124	смысле этого	1	2
125	с его	15	2
126	и у	1	2
127	превращается в	3	2
128	сих пор	1	2
129	по крайней	5	2
130	только в	9	2
131	формы и	1	2
132	по себе	6	2
133	что все	1	2
134	не все	1	2
135	вопроса о	2	2
136	нам представляется	2	2
137	как основной	1	1
138	в той	3	1
139	и исторически	1	1
140	литературы в	1	1
141	было и	1	1
142	в г	1	1
143	признать что	1	1
144	что было	1	1
145	что в	15	1
146	к лицу	1	1
147	героя не	1	1
148	с которыми	1	1
149	иначе говоря	5	1
150	не было	3	1
151	эстетический объект	2	1
152	остается в	1	1
153	так или	5	1
154	и даже	12	1
155	связанных с	1	1
156	этого и	1	1
157	т.д в	1	1
158	и потому	3	1
159	нам известно	1	1
160	но он	1	1
161	отказаться от	1	1
162	этом случае	1	1
163	исторических фактов	1	1
164	в свое	4	1
165	в которой	1	1
166	можно сказать	5	1
167	несомненно что	1	1
168	литературного произведения	8	1
169	мы можем	2	1
170	иначе в	1	1
171	что же	1	1
172	или иначе	5	1
173	в данном	12	1
174	у кого	1	1
175	все его	2	1
176	а для	3	1
177	еще раз	1	1
178	как на	1	1
179	себе еще	1	1
180	и вы	1	1
181	сложного и	1	1
182	данного произведения	2	1
183	и все	3	1
184	объекта и	3	1
185	которые могли	1	1
186	что этот	1	1
187	из самых	1	1
188	существенным для	1	1
189	такое что	1	1
190	к изучению	1	1
191	состоит из	1	1
192	же как	1	1
193	сказать что	2	1
194	произведения как	4	1
195	как нам	6	1
196	достаточно ясно	1	1
197	претендует на	2	1
198	данном случае	11	1
199	его как	3	1
200	тезис о	1	1
201	смену их	1	1
202	то есть	15	1
203	и служит	1	1
204	выхода в	1	1
205	и др	1	1
206	нас самих	1	1
207	ее как	1	1
208	ролью в	2	1
209	очень часто	1	1
210	впадая в	1	1
211	того как	1	1
212	в эстетический	1	1
213	отсюда и	2	1
214	в таком	2	1
215	придется отказаться	1	1
216	сводятся к	1	1
217	ссылка на	1	1
218	перестают быть	1	1
219	она не	3	1
220	степени и	1	1
221	характер к	1	1
222	быть в	1	1
223	в произведении	3	1
224	смысле и	1	1
225	в течение	1	1
226	в своем	7	1
227	с тем	2	1
228	в значительной	3	1
229	входит в	4	1
230	для себя	2	1
231	объекта в	1	1
232	стороны в	1	1
233	только как	1	1
234	тем в	2	1
235	только при	1	1
236	еще одно	1	1
237	одной стороны	3	1
238	он становится	1	1
239	возвращается в	1	1
240	мы имеем	5	1
241	на роль	1	1
242	для читателя	3	1
243	во мне	1	1
244	начала и	1	1
245	анализа в	1	1
246	в отдельности	2	1
247	искусства и	1	1
248	что по	4	1
249	их в	1	1
250	же в	5	1
251	не для	2	1
252	с новой	1	1
253	с самим	3	1
254	в ней	2	1
255	впрочем в	1	1
256	или даже	1	1
257	впервые в	3	1
258	частности с	1	1
259	художественное впечатление	2	1
260	из первых	1	1
261	всего только	1	1
262	не поднимается	1	1
263	и так	1	1
264	отдельности и	1	1
265	и прежде	2	1
266	место и	1	1
267	в этот	1	1
268	идет не	1	1
269	на то	1	1
270	он и	4	1
271	был первым	1	1
272	строго говоря	1	1
273	но если	1	1
274	для первого	1	1
275	значимость и	2	1
276	бы ни	1	1
277	сам по	2	1
278	читателя который	1	1
279	не столь	1	1
280	по мнению	1	1
281	к этому	3	1
282	так и	19	1
283	обе эти	2	1
284	что с	1	1
285	сам автор	2	1
286	из которых	2	1
287	ее в	2	1
288	в современном	1	1
289	отнюдь не	7	1
290	о которой	2	1
291	в качестве	22	1
292	где за	1	1
293	о котором	2	1
294	в нем	3	1
295	художественного впечатления	9	1
296	это верно	1	1
297	он не	9	1
298	как целого	1	1
299	содержания и	1	1
300	к убийству	1	1
301	независимо от	1	1
302	может служить	2	1
303	всего лишь	13	1
304	поскольку он	3	1
305	все что	2	1
306	искусстве от	1	1
307	на его	3	1
308	и что	2	1
309	содержание в	1	1
310	в известном	2	1
311	одно из	3	1
312	с одной	3	1
313	он был	3	1
314	как живой	1	1
315	и всякого	1	1
316	когда бы	1	1
317	и литературного	1	1
318	за пределы	3	1
319	и делает	1	1
320	они в	1	1
321	имеет свою	2	1
322	должно быть	1	1
323	что при	2	1
324	об этом	3	1
325	не обладает	1	1
326	быть обоснованы	1	1
327	правда не	1	1
328	то о	1	1
329	в виду	1	1
330	само по	1	1
331	присущей ему	1	1
332	в пределах	5	1
333	так возникает	2	1
334	тот же	3	1
335	уже не	9	1
336	научного мышления	1	1
337	о том	9	1
338	по его	4	1
339	произведения в	4	1
340	далеко не	8	1
341	тем более	3	1
342	того что	4	1
343	любопытно что	1	1
344	определяется не	1	1
345	у него	2	1
346	в словах	1	1
347	вне пределов	1	1
348	жанра в	1	1
349	бы это	2	1
350	у пушкина	3	1
351	доказывает что	2	1
352	бы в	1	1
353	той же	7	1
354	приводит к	5	1
355	никогда не	7	1
356	его эстетической	2	1
357	и конструктивное	1	1
358	человека и	2	1
