N	3gram	Tiupa_Disk	Tragedij
1	то же время	9	5
2	в то же	7	5
3	так и в	4	3
4	в том что	18	2
5	и как бы	5	2
6	в данном случае	6	2
7	о том что	8	2
8	но все же	1	2
9	в отличие от	12	2
10	сам по себе	1	1
11	и не быть	1	1
12	не только по	1	1
13	прежде всего отметим	1	1
14	том что он	1	1
15	не только о	1	1
16	друг друга и	1	1
17	что он не	1	1
18	на всем протяжении	1	1
19	в обоих случаях	1	1
20	одну из своих	1	1
21	мысль о том	1	1
22	в этом состоит	1	1
23	как в первом	1	1
24	если можно так	2	1
25	не может быть	5	1
26	в этом мире	2	1
27	в известной степени	1	1
28	но при этом	3	1
29	в этом случае	3	1
30	необходимо отметить что	1	1
31	и от литературы	1	1
32	с самого начала	2	1
33	в евангелии от	1	1
34	и то что	2	1
35	как и все	1	1
36	в xix веке	1	1
37	не могут быть	1	1
38	в литературе это	1	1
39	хотя бы и	1	1
40	как и в	3	1
41	в связи с	1	1
42	и все же	3	1
43	может быть в	1	1
44	в самом деле	1	1
45	приходит в голову	1	1
46	во всяком случае	2	1
47	тем не менее	1	1
48	несмотря на все	1	1
49	позиции в мире	1	1
50	это и есть	1	1
51	быть отнесены к	1	1
52	ее к себе	1	1
53	по природе своей	6	1
54	и не может	3	1
55	можно так выразиться	2	1
