N	2gram	Berdyaev_M	DiskursI
1	а не	36	60
2	может быть	42	56
3	не только	42	49
4	и в	61	49
5	как и	14	47
6	и не	26	44
7	в том	9	44
8	то есть	3	41
9	том что	7	40
10	в этом	34	38
11	в себе	12	37
12	в частности	1	36
13	но и	34	35
14	но не	8	31
15	отличие от	1	28
16	но в	12	28
17	так и	5	28
18	в отличие	1	27
19	не может	39	27
20	по своей	4	26
21	как в	9	25
22	такого рода	1	24
23	еще не	1	23
24	а также	1	20
25	в своей	18	19
26	все же	2	19
27	в нем	26	19
28	прежде всего	18	19
29	в основе	4	18
30	то же	4	17
31	с другой	1	17
32	в мире	12	17
33	по отношению	4	17
34	отношению к	4	17
35	точки зрения	6	16
36	только в	7	16
37	о том	5	15
38	то что	10	15
39	роль в	2	15
40	в его	10	15
41	не менее	1	14
42	не в	16	14
43	ни к	2	14
44	это не	10	14
45	как бы	10	13
46	для него	28	13
47	в своих	4	12
48	ведет к	16	12
49	в своем	17	12
50	природе своей	2	12
51	и на	9	12
52	и все	13	12
53	по природе	2	11
54	не было	25	11
55	что в	12	11
56	с его	6	11
57	и как	3	11
58	не столько	1	10
59	а с	1	10
60	для себя	1	10
61	а в	4	10
62	также и	6	10
63	в них	5	9
64	уже не	8	9
65	себя в	6	9
66	между тем	2	9
67	в силу	1	9
68	в то	2	9
69	еще в	4	9
70	в этих	6	8
71	и даже	1	8
72	к тому	6	8
73	в котором	9	8
74	в противоположность	1	8
75	в творчестве	13	8
76	в одном	1	8
77	хотя и	2	8
78	он не	34	8
79	если в	2	8
80	не на	1	8
81	жизни в	3	8
82	потому что	25	8
83	этом отношении	1	8
84	человека в	26	8
85	не с	1	8
86	и о	1	8
87	о чем	3	7
88	в русской	4	7
89	одной из	1	7
90	что и	6	7
91	его в	6	7
92	к этому	3	7
93	в этой	12	7
94	я в	1	7
95	могут быть	2	7
96	ни в	3	7
97	приводит к	2	7
98	той же	3	7
99	но это	8	7
100	и для	7	7
101	в пределах	1	7
102	лишь в	8	7
103	и ее	2	7
104	и его	13	7
105	мира в	2	7
106	не как	4	6
107	одно из	3	6
108	никогда не	30	6
109	то в	2	6
110	с точки	1	6
111	в ее	3	6
112	можно признать	1	6
113	не знает	12	6
114	во всех	3	6
115	в сущности	2	6
116	и то	2	6
117	что он	16	6
118	к его	1	6
119	в которых	5	6
