N	3gram	Nazirov_Tv	Tragedij
1	униженных и оскорбленных	5	16
2	униженные и оскорбленные	3	9
3	в униженных и	2	6
4	то же время	18	5
5	в то же	19	5
6	так и в	2	3
7	в романе идиот	6	3
8	в том что	8	2
9	и как бы	1	2
10	но в то	5	2
11	в году в	3	2
12	бросается в глаза	1	2
13	точно так же	3	2
14	по сей день	2	2
15	преступлении и наказании	9	2
16	в данном случае	2	2
17	и оскорбленных в	1	2
18	и в дальнейшем	1	2
19	о том что	6	2
20	записках из мертвого	1	2
21	в записках из	6	2
22	из мертвого дома	1	2
23	в образе князя	2	2
24	и в самом	1	2
25	сам достоевский не	1	2
26	в отличие от	2	2
27	не в силах	1	2
28	в преступлении и	10	2
29	в iii части	1	1
30	свидригайлов перед раскольниковым	1	1
31	который в своей	1	1
32	в рассказе бобок	1	1
33	достоевский и в	1	1
34	мы узнаем в	1	1
35	в неточке незвановой	1	1
36	творчество молодого достоевского	1	1
37	что достоевский стремился	1	1
38	петербургские сновидения в	1	1
39	неточка незванова прошедшая	1	1
40	бедных людей достоевский	1	1
41	иваном петровичем как	1	1
42	и добро и	1	1
43	прекрасное и высокое	2	1
44	у него есть	1	1
45	мертвого дома и	1	1
46	в этом романе	2	1
47	большие голубые и	1	1
48	в одном из	2	1
49	это тот самый	1	1
50	имеет в виду	1	1
51	что он не	1	1
52	не может жить	1	1
53	на всем протяжении	1	1
54	же время показывает	1	1
55	за то что	1	1
56	в бесах с	1	1
57	ненависть к обществу	1	1
58	возникший в недрах	1	1
59	в конце концов	1	1
60	мы понимаем что	1	1
61	это как бы	3	1
62	в эпилоге романа	1	1
63	этой теме в	1	1
64	в мире достоевского	2	1
65	так можно выразиться	1	1
66	и должно быть	1	1
67	как и его	1	1
68	объясняется тем что	1	1
69	в применении к	1	1
70	если можно так	1	1
71	не может быть	2	1
72	из подполья это	1	1
73	в году и	1	1
74	в романе униженные	1	1
75	по нашему мнению	9	1
76	в окончательном тексте	2	1
77	он сам сознает	1	1
78	записках из подполья	5	1
79	с ним она	1	1
80	и т п	4	1
81	но при этом	1	1
82	же время он	2	1
83	степан трофимович в	1	1
84	же время с	1	1
85	не так ли	1	1
86	в чем же	1	1
87	петр александрович валковский	1	1
88	с самого начала	3	1
89	он перестает быть	1	1
90	из неточки незвановой	1	1
91	в xix веке	3	1
92	не могли удовлетворить	1	1
93	у достоевского не	2	1
94	застывших языковых метафор	1	1
95	не могут быть	2	1
96	добро и зло	1	1
97	стихах и прозе	1	1
98	бы и в	1	1
99	мечтателя из белых	1	1
100	с потрясающей силой	1	1
101	и сам автор	2	1
102	хотя бы и	1	1
103	отцов и детей	1	1
104	романе униженные и	1	1
105	как и в	2	1
106	в связи с	2	1
107	прошедшая через каторгу	1	1
108	бы неточка незванова	1	1
109	и все же	3	1
110	может быть в	1	1
111	в самом деле	2	1
112	ведет к тому	1	1
113	незванова прошедшая через	1	1
114	окончательном тексте в	1	1
115	если так можно	1	1
116	во всяком случае	2	1
117	это не просто	1	1
118	в этой борьбе	1	1
119	к тому что	1	1
120	что все это	3	1
121	братьях карамазовых не	1	1
122	тем не менее	2	1
123	в братьях карамазовых	6	1
124	и в истории	1	1
125	бессмысленной и ненормальной	2	1
126	к этой теме	1	1
127	достоевский никогда не	2	1
128	в своей книге	1	1
129	сновидения в стихах	1	1
130	в этой связи	2	1
131	году в петербурге	1	1
132	в известной мере	2	1
133	отнюдь не был	1	1
134	в стихах и	1	1
135	в третий раз	1	1
136	не способен на	1	1
137	с такой силой	1	1
138	из белых ночей	1	1
139	у себя на	1	1
140	это и есть	1	1
141	отметить что в	1	1
142	в больших романах	1	1
143	достоевский в то	1	1
144	л п гроссмана	1	1
145	как бы неточка	1	1
146	в двух больших	1	1
147	заставляет вспомнить о	1	1
148	у достоевского в	5	1
149	из униженных и	1	1
150	все же не	1	1
151	еще ничего не	1	1
152	имеет исключительное значение	1	1
153	и не может	2	1
154	и в этом	1	1
155	о золотом веке	1	1
156	можно так выразиться	1	1
157	рассказывает о своих	1	1
