N	2gram	Nazirov_Tv	Myslijsy
1	потому что	10	182
2	то есть	16	142
3	и в	40	121
4	может быть	11	107
5	в том	13	103
6	то что	9	83
7	что в	17	73
8	и не	12	73
9	только в	7	72
10	т с	1	71
11	не только	16	67
12	а не	9	67
13	таким образом	14	64
14	в этом	11	59
15	но и	10	59
16	том что	14	59
17	так как	6	59
18	то же	19	56
19	не в	3	54
20	если бы	4	53
21	в себе	3	53
22	по себе	2	52
23	не может	9	52
24	того что	3	47
25	в сознании	1	46
26	в душе	4	45
27	было бы	2	45
28	в нем	4	45
29	не есть	2	42
30	как и	16	42
31	так что	4	39
32	вместе с	4	39
33	что и	3	38
34	мы не	3	38
35	при этом	14	37
36	как в	10	37
37	так и	5	37
38	точно так	3	35
39	тем что	2	33
40	и что	2	32
41	по отношению	3	30
42	а в	10	30
43	что не	5	29
44	между тем	2	29
45	но не	7	29
46	вовсе не	5	28
47	для него	9	28
48	есть только	1	28
49	с этим	2	27
50	могут быть	4	27
51	не было	3	26
52	и т	14	26
53	то и	1	26
54	отношению к	3	26
55	этого слова	1	25
56	в то	23	24
57	с тем	1	23
58	как бы	26	23
59	а потому	1	22
60	по мере	2	22
61	то это	2	22
62	с другой	4	22
63	не имеет	2	22
64	но в	11	22
65	и потому	4	21
66	не менее	8	21
67	вместе и	1	21
68	мысль о	3	20
69	в одном	3	20
70	это не	9	20
71	в ней	2	20
72	мысли и	5	19
73	и как	5	19
74	но это	10	19
75	сказать что	3	19
76	с ним	4	19
77	того же	2	19
78	тем не	2	19
79	что это	1	19
80	из этих	1	19
81	о том	9	19
82	заключает в	1	19
83	тем самым	10	19
84	должно быть	1	19
85	есть не	2	19
86	в самом	6	18
87	в таком	4	18
88	там же	11	18
89	по поводу	1	18
90	в мысли	2	18
91	не могут	2	18
92	в человеке	4	18
93	бы не	1	18
94	для меня	1	18
95	тогда как	3	18
96	что я	4	18
97	еще не	5	18
98	крайней мере	4	17
99	со стороны	1	17
100	по крайней	4	17
101	слова и	1	17
102	заметить что	1	17
103	что оно	2	17
104	уже в	5	17
105	в его	19	17
106	во всяком	2	17
107	только что	2	16
108	и на	12	16
109	к тому	2	16
110	так же	6	16
111	в своем	4	16
112	в которой	5	16
113	а только	1	16
114	в них	1	16
115	или же	1	16
116	если б	1	16
117	что если	1	16
118	же с	10	16
119	каждый раз	1	16
120	на то	1	16
121	быть может	3	15
122	в этих	2	15
123	уже не	6	15
124	только как	2	15
125	с одной	2	15
126	с другими	1	15
127	и тем	2	15
128	в нас	1	15
129	и по	5	15
130	что он	11	15
131	в свою	8	15
132	т д	10	15
133	прежде всего	10	15
134	думать что	1	15
135	на деле	3	14
136	все же	9	14
137	в одно	2	14
138	в котором	8	14
139	в действительности	1	14
140	свою очередь	2	14
141	то в	2	14
142	связи с	2	14
143	так сказать	4	14
144	во всех	2	14
145	столь же	2	14
146	в истории	2	14
147	же время	18	14
148	и без	2	14
149	мы должны	1	14
150	например в	3	13
151	а между	1	13
152	как на	1	13
153	из них	4	13
154	что все	4	13
155	в смысле	1	13
156	т п	4	13
157	и все	6	13
158	зависит от	4	13
159	образом в	1	13
160	и его	14	13
161	от него	2	12
162	одно из	1	12
163	другой стороны	2	12
164	до сих	1	12
165	мысли о	1	12
166	не то	2	12
167	никогда не	13	12
168	хотя и	5	12
169	в чем	4	12
170	сих пор	1	12
171	в каждом	4	12
172	оно не	1	12
173	всяком случае	2	12
174	что же	1	12
175	друг друга	2	12
176	только потому	1	12
177	что такое	1	12
178	все это	14	12
179	тем более	1	12
180	человека и	6	12
181	как мы	1	12
182	что на	3	12
183	и если	3	11
184	что человек	3	11
185	в первом	3	11
186	только для	2	11
187	из себя	2	11
188	только на	2	11
189	и это	2	11
190	к нему	1	11
191	души и	2	11
192	его в	2	11
193	и притом	2	11
194	для человека	3	11
195	мы видели	1	11
196	сами по	2	11
197	сравнительно с	1	11
198	к ней	3	11
199	той же	4	11
200	что для	3	11
201	если не	4	11
202	к одному	2	11
203	и только	2	11
204	и их	2	11
205	же что	1	11
206	указывает на	2	11
207	же в	1	11
208	но тем	1	10
209	и с	9	10
210	хотя бы	5	10
211	одной стороны	1	10
212	мы видим	3	10
213	и мы	1	10
214	а и	1	10
215	не от	1	10
216	что как	2	10
217	в других	1	10
218	если же	1	10
219	и от	8	10
220	и есть	2	10
221	он не	10	10
222	мы говорим	1	10
223	том как	1	10
224	если мы	1	10
225	образ и	2	10
226	и другое	1	10
227	так в	1	10
228	между прочим	1	10
229	тому что	2	10
230	и того	2	9
231	и даже	8	9
232	а вместе	1	9
233	об отношении	1	9
234	связь между	1	9
235	с в	1	9
236	до того	1	9
237	на него	2	9
238	что она	5	9
239	зрения и	1	9
240	в нее	1	9
241	во время	2	9
242	одного и	1	9
243	не будет	2	9
244	один из	5	9
245	известно что	4	9
246	себе не	3	9
247	самом деле	4	9
248	таком случае	2	9
249	это было	1	9
250	не все	2	9
251	и других	5	9
252	далеко не	3	9
253	в целом	7	9
254	нам кажется	1	9
255	и о	2	9
256	можно сказать	2	9
257	язык в	1	9
258	таким же	1	9
259	говорить о	1	8
260	но все	1	8
261	вслед за	2	8
262	именно в	6	8
263	что по	1	8
264	их в	1	8
265	в более	1	8
266	художественное произведение	1	8
267	так например	3	8
268	перестает быть	1	8
269	была бы	2	8
270	что они	3	8
271	только не	1	8
272	влияние на	3	8
273	от них	1	8
274	одним словом	1	8
275	не так	5	8
276	отношений между	2	8
277	с ними	3	8
278	в ребенке	1	8
279	в которых	3	8
280	между ними	1	8
281	внимание на	1	8
282	и тогда	2	8
283	при помощи	4	8
284	в глазах	2	8
285	не из	1	8
286	в самой	1	8
287	тот же	3	8
288	на вопрос	1	8
289	то мы	1	8
290	на самом	3	8
291	слова не	2	8
292	все равно	1	8
293	или в	2	8
294	и более	2	8
295	на все	1	8
296	человеческой природы	1	8
297	самого себя	1	7
298	с этой	4	7
299	тем как	1	7
300	но что	1	7
301	связь с	3	7
302	все эти	3	7
303	к другим	1	7
304	в жизни	3	7
305	в собственном	1	7
306	но мы	1	7
307	в данном	2	7
308	не существует	3	7
309	было в	2	7
310	даже и	1	7
311	превращается в	2	7
312	самого начала	3	7
313	к этому	4	7
314	к языку	1	7
315	что у	5	7
316	одном из	2	7
317	к мысли	1	7
318	в эту	1	7
319	на себе	1	7
320	в своих	8	7
321	когда я	2	7
322	она не	2	7
323	и та	2	7
324	а как	2	7
325	его с	1	7
326	для себя	1	7
327	находятся в	1	7
328	к сознанию	1	7
329	вряд ли	2	7
330	себя и	1	7
331	о котором	2	7
332	этот образ	1	7
333	бы и	1	7
334	то все	2	7
335	том же	3	7
336	дает нам	1	7
337	в таких	2	7
338	как она	2	7
339	не имеют	4	7
340	его к	2	7
341	с самого	3	7
342	в искусстве	3	7
343	место в	6	7
344	и к	1	6
345	для всех	1	6
346	же и	2	6
347	нас в	1	6
348	образом и	1	6
349	в виду	3	6
350	вопрос об	1	6
351	в речи	1	6
352	давно уже	2	6
353	в своей	8	6
354	в зародыше	1	6
355	имеют для	1	6
356	к ним	1	6
357	к которому	3	6
358	связанное с	1	6
359	я как	1	6
360	ни было	1	6
361	в ее	3	6
362	у него	11	6
363	но он	3	6
364	что его	4	6
365	в мире	8	6
366	выше мы	1	6
367	представляется нам	1	6
368	могло бы	1	6
369	к слову	1	6
370	мы уже	2	6
371	хотя в	1	6
372	же самое	1	6
373	заставляет нас	2	6
374	главным образом	1	6
375	показывает что	5	6
376	в сущности	1	6
377	никак не	1	6
378	от их	1	6
379	заключается в	1	6
380	к нам	1	6
381	да и	1	6
382	ничего общего	1	6
383	с а	1	6
384	и уже	1	6
385	лишь в	1	6
386	в этой	7	6
387	и до	2	6
