N	2gram	Losev_Vlad	Myslijsy
1	потому что	16	182
2	то есть	5	142
3	и в	56	121
4	может быть	12	107
5	в том	26	103
6	то что	30	83
7	для нас	9	75
8	что в	24	73
9	и не	33	73
10	только в	11	72
11	не только	35	67
12	а не	5	67
13	таким образом	6	64
14	в этом	30	59
15	но и	26	59
16	том что	22	59
17	так как	11	59
18	то же	10	56
19	не в	12	54
20	если бы	2	53
21	в себе	5	53
22	по себе	3	52
23	не может	12	52
24	того что	6	47
25	в душе	1	45
26	было бы	7	45
27	в нем	7	45
28	не есть	4	42
29	как и	7	42
30	так что	13	39
31	вместе с	9	39
32	что и	6	38
33	мы не	2	38
34	при этом	5	37
35	как в	6	37
36	так и	11	37
37	тогда когда	1	36
38	что мы	2	36
39	точно так	2	35
40	тем что	2	33
41	и что	11	32
42	по отношению	1	30
43	а в	20	30
44	что не	3	29
45	но не	5	29
46	вовсе не	8	28
47	мы можем	1	28
48	для него	16	28
49	есть только	1	28
50	с этим	3	27
51	не было	12	26
52	независимо от	1	26
53	и т	3	26
54	то и	3	26
55	этого слова	1	25
56	в то	15	24
57	с тем	4	23
58	как бы	5	23
59	того как	2	23
60	от того	2	23
61	то это	4	22
62	с другой	3	22
63	чувства и	1	22
64	не имеет	2	22
65	но в	19	22
66	и потому	8	21
67	не менее	9	21
68	мысль о	1	20
69	в одном	2	20
70	это не	3	20
71	в ней	5	20
72	мысли и	5	19
73	и как	7	19
74	но это	6	19
75	сказать что	14	19
76	с ним	10	19
77	того же	11	19
78	тем не	8	19
79	что это	2	19
80	и то	13	19
81	из этих	5	19
82	о том	13	19
83	тем самым	2	19
84	должно быть	1	19
85	есть не	1	19
86	в самом	3	18
87	в таком	2	18
88	там же	24	18
89	для того	4	18
90	по поводу	15	18
91	не могут	2	18
92	в каком	3	18
93	для меня	8	18
94	тогда как	1	18
95	что я	5	18
96	еще не	2	18
97	точки зрения	4	17
98	крайней мере	1	17
99	со стороны	5	17
100	по крайней	1	17
101	заметить что	2	17
102	уже в	9	17
103	в его	18	17
104	во всяком	8	17
105	только что	2	16
106	и на	7	16
107	к тому	5	16
108	так же	4	16
109	в своем	10	16
110	в которой	8	16
111	в них	5	16
112	если б	1	16
113	есть нечто	2	16
114	что если	3	16
115	же с	22	16
116	на то	7	16
117	быть может	1	15
118	в этих	5	15
119	уже не	6	15
120	только как	1	15
121	с одной	1	15
122	с другими	1	15
123	и тем	2	15
124	в нас	4	15
125	и по	10	15
126	что он	22	15
127	в свою	3	15
128	т д	3	15
129	прежде всего	5	15
130	думать что	1	15
131	все же	11	14
132	в природе	1	14
133	в котором	10	14
134	в действительности	1	14
135	свою очередь	2	14
136	то в	6	14
137	связи с	7	14
138	так сказать	2	14
139	во всех	4	14
140	когда мы	2	14
141	столь же	1	14
142	сам по	1	14
143	в истории	4	14
144	же время	7	14
145	и без	2	14
146	мы должны	3	14
147	само по	1	14
148	те же	2	13
149	например в	1	13
150	как на	2	13
151	из них	3	13
152	что все	2	13
153	т п	1	13
154	есть для	2	13
155	и все	8	13
156	не следует	1	13
157	смысле этого	1	13
158	образом в	2	13
159	и его	12	13
160	от него	3	12
161	одно из	1	12
162	другой стороны	3	12
163	более или	5	12
164	не то	3	12
165	никогда не	15	12
166	и при	2	12
167	хотя и	9	12
168	и вместе	1	12
169	в чем	4	12
170	под влиянием	6	12
171	в каждом	1	12
172	всяком случае	8	12
173	человеческого духа	1	12
174	что же	11	12
175	себе представить	2	12
176	относится к	1	12
177	друг друга	3	12
178	только потому	1	12
179	что такое	3	12
180	все это	7	12
181	или менее	5	12
182	тем более	4	12
183	как мы	17	12
184	что на	2	12
185	все что	2	11
186	и если	8	11
187	что человек	1	11
188	которые мы	1	11
189	только на	3	11
190	и это	4	11
191	к нему	6	11
192	в состоянии	1	11
193	его в	3	11
194	и притом	5	11
195	в силу	1	11
196	мы видели	1	11
197	сравнительно с	3	11
198	того чтобы	4	11
199	быть не	1	11
200	к ней	7	11
201	той же	6	11
202	с нею	1	11
203	что для	5	11
204	если не	4	11
205	и вообще	12	11
206	к одному	1	11
207	и только	1	11
208	другими словами	1	11
209	указывает на	2	11
210	же в	3	11
211	но тем	1	10
212	и с	27	10
213	хотя бы	5	10
214	одной стороны	1	10
215	одной и	1	10
216	духа и	1	10
217	и мы	6	10
218	а и	1	10
219	что как	1	10
220	в других	1	10
221	бы в	1	10
222	тем и	1	10
223	что только	1	10
224	и от	6	10
225	и есть	2	10
226	он не	13	10
227	то время	6	10
228	такой степени	1	10
229	том как	1	10
