N	3gram	Bakhtin_fo	UchenyiS
1	не может быть	4	4
2	с другой стороны	1	3
3	в то же	10	3
4	то же время	13	3
5	в том что	4	2
6	в самом деле	1	2
7	не могут быть	1	2
8	до сих пор	4	2
9	и в частности	2	2
10	в конце концов	1	2
11	то же самое	1	2
12	в этом отношении	5	2
13	то что было	2	1
14	имеем в виду	3	1
15	друг с другом	5	1
16	и в различных	1	1
17	другой стороны в	1	1
18	и в их	1	1
19	должно быть по	1	1
20	что мы и	1	1
21	в широком смысле	3	1
22	так много в	1	1
23	не входит в	1	1
24	но в то	2	1
25	для всех этих	1	1
26	но по существу	2	1
27	с тем что	2	1
28	которых так много	1	1
29	с одной стороны	3	1
30	можно сказать что	1	1
31	равно как и	4	1
32	конечно не в	1	1
33	в значительной мере	2	1
34	на первый план	2	1
35	весь и сплошь	1	1
36	в той же	1	1
37	и не только	2	1
38	только в этом	1	1
39	не только в	6	1
40	и прежде всего	4	1
41	и в то	7	1
42	в данном случае	2	1
43	мы имеем в	2	1
44	не о чем	1	1
45	и все они	1	1
46	в точном смысле	3	1
47	общего и основного	1	1
48	в этом случае	1	1
49	в буквальном смысле	2	1
50	в частности с	2	1
51	но конечно не	1	1
